fund_name_raw,standardized_fund_name,fund_family,fund_id,decision_status,seen_in_agents,source_files,a_count,b_count,merge_note
A10 USD (Feeder) L.P.,A10 USD (Feeder) L.P.,,FUND_0260,decided,06-statements-and-economics,SRC407,2,0,distinct; separate feeder vehicle from the A9 feeders
A9 EUR (Feeder) L.P.,A9 EUR (Feeder) L.P.,,FUND_0261,decided,06-statements-and-economics,SRC407,2,0,distinct; EUR feeder is a separate vehicle from the USD feeder
A9 USD (Feeder) L.P.,A9 USD (Feeder) L.P.,,FUND_0262,decided,06-statements-and-economics,SRC407,2,0,distinct; USD feeder is a separate vehicle from the EUR feeder
Abacus Multi-Family Partners VI LP,Abacus Multi-Family Partners VI LP,,FUND_0263,decided,02-performance,SRC058,6,0,confirmed; only printed variant and no sibling vehicle here
"ABRY Partners IX, L.P.","ABRY Partners IX, L.P.",ABRY,FUND_0264,decided,06-statements-and-economics,SRC407,2,0,confirmed; only printed variant
"ABRY Senior Equity V, L.P.","ABRY Senior Equity V, L.P.",ABRY,FUND_0265,decided,06-statements-and-economics,SRC407,2,0,distinct; separate ABRY series from Partners IX
"ABS Capital Partners IX, L.P.","ABS Capital Partners IX, L.P.",ABS Capital Partners,FUND_0266,decided,06-statements-and-economics,SRC407,2,0,distinct; Fund IX is its own series
"ABS Capital Partners VII Offshore, L.P.","ABS Capital Partners VII Offshore, L.P.",ABS Capital Partners,FUND_0267,decided,06-statements-and-economics,SRC407,2,0,distinct; offshore parallel vehicle of Fund VII
"ABS Capital Partners VII, L.P.","ABS Capital Partners VII, L.P.",ABS Capital Partners,FUND_0268,decided,06-statements-and-economics,SRC407,2,0,distinct; onshore Fund VII kept apart from the Offshore vehicle
"Accel-KKR Capital Partners CV III, LP","Accel-KKR Capital Partners CV III, LP",Accel-KKR,FUND_0269,decided,06-statements-and-economics,SRC407,2,0,distinct; continuation vehicle is its own fund
Accel-KKR Capital Partners VII LP,Accel-KKR Capital Partners VII LP,Accel-KKR,FUND_0270,decided,06-statements-and-economics,SRC407,2,0,distinct; separate series from the CV and Growth vehicles
Accel-KKR Growth Capital Partners IV LP,Accel-KKR Growth Capital Partners IV LP,Accel-KKR,FUND_0271,decided,06-statements-and-economics,SRC407,2,0,distinct; growth series is separate from Capital Partners
Actis Energy 5 LP,Actis Energy 5 LP,,FUND_0272,decided,06-statements-and-economics,SRC407,2,0,confirmed; only printed variant and no sibling vehicle here
Advent Global Technology II Limited Partnership,Advent Global Technology II Limited Partnership,Advent,FUND_0273,decided,06-statements-and-economics,SRC407,2,0,distinct; technology series is separate from the GPE funds
Advent International GPE VI-A Limited Partnership,Advent International GPE VI-A Limited Partnership,Advent,FUND_0274,decided,06-statements-and-economics,SRC407,2,0,distinct; GPE VI-A is its own series
Advent International GPE VII-B Limited Partnership,Advent International GPE VII-B Limited Partnership,Advent,FUND_0275,decided,06-statements-and-economics,SRC407,2,0,distinct; GPE VII-B is its own series
Advent International GPE VIII-B-2 Limited Partnership,Advent International GPE VIII-B-2 Limited Partnership,Advent,FUND_0276,decided,06-statements-and-economics,SRC407,2,0,distinct; GPE VIII-B-2 is a separate parallel vehicle from VIII-C
Advent International GPE VIII-C Limited Partnership,Advent International GPE VIII-C Limited Partnership,Advent,FUND_0277,decided,06-statements-and-economics,SRC407,2,0,distinct; GPE VIII-C is a separate parallel vehicle from VIII-B-2
"Adventure Fund I, L.P.","Adventure Fund I, L.P.",,FUND_0004,decided,A+B,SRC035,1,1,confirmed; unrelated to the Advent funds despite the shared stem
AEA EXC CF LP,AEA EXC CF LP,,FUND_0278,decided,06-statements-and-economics,SRC407,2,0,confirmed; only printed variant and no sibling vehicle here
"Aerospace, Transportation and Logistics Fund II LP","Aerospace, Transportation and Logistics Fund II LP",,FUND_0279,decided,06-statements-and-economics,SRC407,2,0,confirmed; sector name prints no sponsor stem so family left blank
Aetos Capital Asia TE II,Aetos Capital Asia TE II,Aetos Capital,FUND_0280,decided,02-performance,SRC058,6,0,distinct; TE II is its own series
Aetos Capital Asia TE III,Aetos Capital Asia TE III,Aetos Capital,FUND_0281,decided,02-performance,SRC058,6,0,distinct; TE III is its own series
AEW Core Property Trust,AEW Core Property Trust,AEW,FUND_0282,decided,02-performance,SRC058,6,0,confirmed; only printed variant
"AEW Essential Housing Fund, L.P.","AEW Essential Housing Fund, L.P.",AEW,FUND_0283,decided,02-performance,SRC058,6,0,distinct; separate AEW vehicle from the Core Property Trust
"AG Asia Realty Fund II, L.P.","AG Asia Realty Fund II, L.P.",,FUND_0284,decided,02-performance,SRC058,6,0,confirmed; AG stem too generic to use as a family key
"AG Core Plus Realty Fund III, L.P.","AG Core Plus Realty Fund III, L.P.",,FUND_0158,decided,A+B,SRC137,1,1,confirmed; AG stem too generic to use as a family key
Alinda Infrastructure Fund II,"Alinda Infrastructure Fund II, L.P.",,,decided,02-performance,SRC060,6,0,merged; same vehicle as the fuller printed form
"Alinda Infrastructure Fund II, L.P.","Alinda Infrastructure Fund II, L.P.",,,decided,02-performance,SRC063,1,0,merged; fullest printed form is the standard
"Allos Ventures II, L.P.","Allos Ventures II, L.P.",,FUND_0076,decided,A+B,SRC036,1,1,confirmed; only printed variant and no sibling vehicle here
"Almanac Realty Securities V, L.P.","Almanac Realty Securities V, L.P.",Almanac Realty Securities,FUND_0159,decided,A+B,SRC137,1,1,distinct; Fund V and Fund VI stay two standards
"Almanac Realty Securities VI, L.P.","Almanac Realty Securities VI, L.P.",Almanac Realty Securities,FUND_0160,decided,A+B,SRC137,1,1,distinct; Fund VI and Fund V stay two standards
Alpha Asia Macro Trends Fund,Alpha Asia Macro Trends Fund,Alpha Asia Macro Trends,FUND_0285,decided,02-performance,SRC058,6,0,distinct; first fund of the series is not Fund II
Alpha Asia Macro Trends Fund II,Alpha Asia Macro Trends Fund II,Alpha Asia Macro Trends,FUND_0286,decided,02-performance,SRC058,6,0,distinct; Fund II is a separate vehicle from the first fund
Alpha Private Equity Fund 7 (SCA) SICAR,Alpha Private Equity Fund 7 (SCA) SICAR,,FUND_0287,decided,06-statements-and-economics,SRC407,2,0,confirmed; shares only the word Alpha with the Asia Macro Trends funds
Alterna Core Capital Assets Fund II,Alterna Core Capital Assets Fund II,,FUND_0288,decided,02-performance,SRC060,6,0,confirmed; only printed variant and no sibling vehicle here
"American Industrial Partners Fund IV, L.P.","American Industrial Partners Fund IV, L.P.",,FUND_0289,decided,06-statements-and-economics,SRC407,2,0,confirmed; different sponsor from American Securities despite the shared word
