"fund_name_raw","standardized_fund_name","fund_family","fund_id","decision_status","seen_in_agents","source_files","a_count","b_count","merge_note"
"Oregon Angel Conferences 2013","Oregon Angel Conferences 2013","","FUND_0032","decided","A+B","SRC035","1","1","distinct vintage"
"Oregon Angel Conferences 2014","Oregon Angel Conferences 2014","","FUND_0033","decided","A+B","SRC035","1","1","distinct vintage"
"Oregon Angel Fund 2008, LLC","Oregon Angel Fund 2008, LLC","Oregon Angel Fund","FUND_0034","decided","A+B","SRC035","1","1","distinct annual vintage"
"Oregon Angel Fund 2009, LLC","Oregon Angel Fund 2009, LLC","Oregon Angel Fund","FUND_0035","decided","A+B","SRC035","1","1","distinct annual vintage"
"Oregon Angel Fund 2010, LLC","Oregon Angel Fund 2010, LLC","Oregon Angel Fund","FUND_0036","decided","A+B","SRC035","1","1","distinct annual vintage"
"Oregon Angel Fund 2011, LLC","Oregon Angel Fund 2011, LLC","Oregon Angel Fund","FUND_0037","decided","A+B","SRC035","1","1","distinct annual vintage"
"Oregon Angel Fund 2012, LLC","Oregon Angel Fund 2012, LLC","Oregon Angel Fund","FUND_0038","decided","A+B","SRC035","1","1","distinct annual vintage"
"Oregon Angel Fund 2013, LLC","Oregon Angel Fund 2013, LLC","Oregon Angel Fund","FUND_0039","decided","A+B","SRC035","1","1","distinct annual vintage"
"Oregon Angel Fund 2014, LLC","Oregon Angel Fund 2014, LLC","Oregon Angel Fund","FUND_0040","decided","A+B","SRC035","1","1","distinct annual vintage"
"Oregon Angel Fund 2015, LLC","Oregon Angel Fund 2015, LLC","Oregon Angel Fund","FUND_0041","decided","A+B","SRC035","1","1","distinct annual vintage"
"Oregon Angel Fund 2016, LLC","Oregon Angel Fund 2016, LLC","Oregon Angel Fund","FUND_0042","decided","A+B","SRC035","1","1","distinct annual vintage"
"Oregon Angel Fund 2017, LLC","Oregon Angel Fund 2017, LLC","Oregon Angel Fund","FUND_0043","decided","A+B","SRC035","1","1","distinct annual vintage"
"Oregon Venture Fund XII, LLC","Oregon Venture Fund XII, LLC","","FUND_0044","decided","A+B","SRC035","1","1","sole printed variant"
"Orion Mine Finance (Master) Fund I","Orion Mine Finance (Master) Fund I","","FUND_0800","decided","02-performance","SRC060","6","0","sole printed variant"
"OVP Venture Partners VII, L.P.","OVP Venture Partners VII, L.P.","","FUND_0045","decided","A+B","SRC035","1","1","sole printed variant"
"PA Middle Market Fund, LP","PA Middle Market Fund, LP","","FUND_0801","decided","06-statements-and-economics","SRC407","2","0","sole printed variant"
"Pacific Multifamily Investors, LLC","Pacific Multifamily Investors, LLC","","FUND_0802","decided","02-performance","SRC063","4","0","sole printed variant"
"Pacific Realty","Pacific Realty","","FUND_0803","decided","02-performance","SRC058","4","0","sole printed variant"
"Page Mill","Page Mill","","FUND_0804","decided","02-performance","SRC058","5","0","sole printed variant"
"PAI Mid-Market Fund SCSp","PAI Mid-Market Fund SCSp","PAI","FUND_0805","decided","06-statements-and-economics","SRC407","2","0","distinct"
