"fund_name_raw","standardized_fund_name","fund_family","fund_id","decision_status","seen_in_agents","source_files","a_count","b_count","merge_note"
"Rockpoint RE Special Fund, L.P.","Rockpoint RE Special Fund, L.P.","Rockpoint","FUND_0864","decided","02-performance","SRC058","6","0","distinct: special fund and not a member of the numbered Real Estate series"
"Rockpoint Real Estate Fund I, L.P.","Rockpoint Real Estate Fund I, L.P.","Rockpoint","FUND_0865","decided","02-performance","SRC058","6","0","distinct: Fund I of the Rockpoint Real Estate series"
"Rockpoint Real Estate Fund II, L.P.","Rockpoint Real Estate Fund II, L.P.","Rockpoint","FUND_0866","decided","02-performance","SRC058","6","0","distinct: Fund II of the Rockpoint Real Estate series"
"Rockpoint Real Estate Fund III, L.P.","Rockpoint Real Estate Fund III, L.P.","Rockpoint","FUND_0867","decided","02-performance","SRC058","6","0","distinct: Fund III of the Rockpoint Real Estate series"
"Rockpoint Real Estate Fund IV, L.P.","Rockpoint Real Estate Fund IV, L.P.","Rockpoint","FUND_0868","decided","02-performance;04-quarterly-report","SRC058;SRC457","22","0","distinct: Fund IV of the Rockpoint Real Estate series"
"Rockpoint Real Estate Fund V, L.P.","Rockpoint Real Estate Fund V, L.P.","Rockpoint","FUND_0869","decided","04-quarterly-report","SRC457","15","0","distinct: Fund V of the Rockpoint Real Estate series"
"Rockwood Capital RE Partners VII","Rockwood Capital RE Partners VII","Rockwood Capital","FUND_0870","decided","02-performance","SRC058","6","0","distinct: Rockwood is a different sponsor from Rockpoint"
"Rockwood Capital RE Partners VIII","Rockwood Capital RE Partners VIII","Rockwood Capital","FUND_0871","decided","02-performance","SRC058","6","0","distinct: Fund VIII is a later vehicle than Fund VII"
"ROX II MED CENTER LP","ROX II MED CENTER LP","","FUND_0872","decided","03-institutional-report","SRC356","1","0","sole printed variant"
"RREEF America Fund II","RREEF America Fund II","RREEF America","FUND_0873","decided","02-performance","SRC058","6","0","distinct: printed as a fund and not as the REIT II vehicle"
"RREEF America REIT II, Inc.","RREEF America REIT II, Inc.","RREEF America","FUND_0241","decided","A+B","SRC137","1","1","distinct: REIT vehicle printed separately from RREEF America Fund II"
"Rural Pre-Seed Investment Fund","Rural Pre-Seed Investment Fund","","FUND_0150","decided","B","SRC040","0","1","sole printed variant"
"Sacramento Venture Hines Base","Sacramento Venture Hines Base","Sacramento Venture Hines","FUND_0874","decided","02-performance","SRC063","3","0","distinct: Base and DT are separate vehicles"
"Sacramento Venture Hines DT","Sacramento Venture Hines DT","Sacramento Venture Hines","FUND_0875","decided","02-performance","SRC063","3","0","distinct: DT is a separate vehicle from Base"
"SailingStone Global Natural Resources Portfolio","SailingStone Global Natural Resources Portfolio","","FUND_0876","decided","02-performance","SRC060","6","0","sole printed variant"
"Samson Brunello 1, L.P.","Samson Brunello 1, L.P.","Samson","FUND_0877","decided","06-statements-and-economics","SRC407","2","0","distinct: Brunello 1 is its own vehicle"
"Samson Brunello 2, L.P.","Samson Brunello 2, L.P.","Samson","FUND_0878","decided","06-statements-and-economics","SRC407","2","0","distinct: Brunello 2 is its own vehicle"
"Samson Hockey 2, L.P.","Samson Hockey 2, L.P.","Samson","FUND_0879","decided","06-statements-and-economics","SRC407","2","0","distinct: Hockey 2 is its own vehicle"
"Samson Shield 1, L.P.","Samson Shield 1, L.P.","Samson","FUND_0880","decided","06-statements-and-economics","SRC407","2","0","distinct: Shield 1 is its own vehicle"
"Samson Shield 2, L.P.","Samson Shield 2, L.P.","Samson","FUND_0881","decided","06-statements-and-economics","SRC407","2","0","distinct: Shield 2 is its own vehicle"
"SANTÉ HEALTH VENTURES II LP","SANTÉ HEALTH VENTURES II LP","","FUND_0882","decided","03-institutional-report","SRC356","1","0","sole printed variant"
