"fund_name_raw","standardized_fund_name","fund_family","fund_id","decision_status","seen_in_agents","source_files","a_count","b_count","merge_note"
"Lone Star Fund II","Lone Star Fund II","Lone Star","FUND_0711","decided","02-performance","SRC058","6","0","distinct series vintage; no fuller printed form"
"Lone Star Fund III","Lone Star Fund III","Lone Star","FUND_0712","decided","02-performance","SRC058","6","0","distinct series vintage; no fuller printed form"
"Lone Star Fund IV","Lone Star Fund IV","Lone Star","FUND_0713","decided","02-performance","SRC058","6","0","distinct series vintage; no fuller printed form"
"Lone Star Fund IX","Lone Star Fund IX","Lone Star","FUND_0714","decided","02-performance","SRC058","6","0","distinct series vintage; no fuller printed form"
"Lone Star Fund V","Lone Star Fund V","Lone Star","FUND_0715","decided","02-performance","SRC058","6","0","distinct series vintage; no fuller printed form"
"Lone Star Fund VI","Lone Star Fund VI","Lone Star","FUND_0716","decided","02-performance","SRC058","6","0","distinct series vintage; no fuller printed form"
"Lone Star Fund VII","Lone Star Fund VII (U.S.), L.P.","Lone Star","FUND_0717","decided","02-performance","SRC058","6","0","merged into the fuller printed U.S. L.P. form of Fund VII"
"Lone Star Fund VII (U.S.), L.P.","Lone Star Fund VII (U.S.), L.P.","Lone Star","FUND_0718","decided","04-quarterly-report","SRC457","16","0","fullest printed form for Fund VII; absorbs the short variant"
"Lone Star Fund VIII","Lone Star Fund VIII (U.S.), L.P.","Lone Star","FUND_0719","decided","02-performance","SRC058","6","0","merged into the fuller printed U.S. L.P. form of Fund VIII"
"Lone Star Fund VIII (U.S.), L.P.","Lone Star Fund VIII (U.S.), L.P.","Lone Star","FUND_0720","decided","04-quarterly-report","SRC457","17","0","fullest printed form for Fund VIII; absorbs the short variant"
"Lone Star Fund X (U.S.), L.P.","Lone Star Fund X (U.S.), L.P.","Lone Star","FUND_0721","decided","04-quarterly-report","SRC457","15","0","distinct series vintage; sole printed variant of Fund X"
"Lone Star Fund XI (U.S.), L.P.","Lone Star Fund XI (U.S.), L.P.","Lone Star","FUND_0722","decided","04-quarterly-report","SRC457","3","0","fullest printed form for Fund XI; absorbs the shorter L.P. variant"
"Lone Star Fund XI, L.P.","Lone Star Fund XI (U.S.), L.P.","Lone Star","FUND_0723","decided","04-quarterly-report","SRC457","11","0","same Fund XI printed without the U.S. designator in the same report"
"Lone Star Real Estate Fund","Lone Star Real Estate Fund","Lone Star","FUND_0724","decided","02-performance","SRC058","6","0","distinct from the numbered real estate funds and from Lone Star Fund II"
"Lone Star Real Estate Fund II","Lone Star Real Estate Fund II (U.S.), L.P.","Lone Star","FUND_0725","decided","02-performance","SRC058","6","0","merged into the fuller printed U.S. L.P. form; not Lone Star Fund II"
"Lone Star Real Estate Fund II (U.S.), L.P.","Lone Star Real Estate Fund II (U.S.), L.P.","Lone Star","FUND_0726","decided","04-quarterly-report","SRC457","17","0","fullest printed form for Real Estate Fund II; absorbs the short variant"
"Lone Star Real Estate Fund III","Lone Star Real Estate Fund III","Lone Star","FUND_0727","decided","02-performance","SRC058","6","0","distinct series vintage; no fuller printed form"
"Lone Star Real Estate Fund IV","Lone Star Real Estate Fund IV","Lone Star","FUND_0728","decided","02-performance","SRC058","6","0","distinct series vintage; no fuller printed form"
"Lone Star Real Estate Fund V","Lone Star Real Estate Fund V (U.S.), L.P.","Lone Star","FUND_0729","decided","02-performance","SRC058","6","0","merged into the fuller printed U.S. L.P. form of Real Estate Fund V"
"Lone Star Real Estate Fund V (U.S.), L.P.","Lone Star Real Estate Fund V (U.S.), L.P.","Lone Star","FUND_0730","decided","04-quarterly-report","SRC457","15","0","fullest printed form for Real Estate Fund V; absorbs the short variant"
"Lone Star Real Estate Fund VI, L.P.","Lone Star Real Estate Fund VI, L.P.","Lone Star","FUND_0731","decided","04-quarterly-report","SRC457","12","0","distinct series vintage; sole printed variant of Real Estate Fund VI"
"LORE One, L.P. (Core)","LORE One, L.P. (Core)","LORE One","FUND_0732","decided","02-performance","SRC058","4","0","distinct strategy sleeve from the Value Add sleeve"
"LORE One, L.P. (Value Add)","LORE One, L.P. (Value Add)","LORE One","FUND_0733","decided","02-performance","SRC058","4","0","distinct strategy sleeve from the Core sleeve"
"Lovell Minnick Equity Partners III LP","Lovell Minnick Equity Partners III LP","","FUND_0734","decided","06-statements-and-economics","SRC407","2","0","sole printed variant; no sibling in range"
"LS Power Equity Partners III","LS Power Equity Partners III","LS Power","FUND_0735","decided","02-performance","SRC060","6","0","distinct series vintage"
"LS Power Equity Partners IV","LS Power Equity Partners IV","LS Power","FUND_0736","decided","02-performance","SRC060","6","0","distinct series vintage"
"Lubert-Adler Real Estate Fund II","Lubert-Adler Real Estate Fund II","Lubert-Adler","FUND_0216","decided","A+B","SRC137","1","1","distinct series vintage"
"Lubert-Adler Real Estate Fund III","Lubert-Adler Real Estate Fund III","Lubert-Adler","FUND_0217","decided","A+B","SRC137","1","1","distinct series vintage"
"Lubert-Adler Real Estate Fund IV","Lubert-Adler Real Estate Fund IV","Lubert-Adler","FUND_0218","decided","A+B","SRC137","1","1","distinct series vintage"
"Lubert-Adler Real Estate Fund V","Lubert-Adler Real Estate Fund V","Lubert-Adler","FUND_0219","decided","A+B","SRC137","1","1","distinct series vintage"
"Lubert-Adler Real Estate Fund VI","Lubert-Adler Real Estate Fund VI","Lubert-Adler","FUND_0220","decided","A+B","SRC137","1","1","distinct series vintage"
"Lubert-Adler Real Estate Fund VII, L.P.","Lubert-Adler Real Estate Fund VII, L.P.","Lubert-Adler","FUND_0737","decided","05-fund-legal-docs","SRC607","3","0","distinct series vintage"
"Madison Dearborn Capital Partners VII","Madison Dearborn Capital Partners VII","Madison Dearborn","FUND_0738","decided","06-statements-and-economics","SRC407","2","0","distinct series vintage"
"Madison Dearborn Capital Partners VIII-A, L.P.","Madison Dearborn Capital Partners VIII-A, L.P.","Madison Dearborn","FUND_0739","decided","06-statements-and-economics","SRC407","2","0","distinct series vintage; VIII-A is its own vehicle"
"Madison Marquette Retail Enhancement Fund LP","Madison Marquette Retail Enhancement Fund LP","","FUND_0221","decided","A+B","SRC137","1","1","distinct sponsor from Madison Dearborn and Madison Realty; shared word is not a family"
"Madison Realty Capital Debt Fund III, LP","Madison Realty Capital Debt Fund III, LP","","FUND_0740","decided","02-performance","SRC058","6","0","distinct sponsor from Madison Dearborn and Madison Marquette; shared word is not a family"
"Madrona Venture Fund III, L.P.","Madrona Venture Fund III, L.P.","","FUND_0027","decided","A+B","SRC035","1","1","sole printed variant; no sibling in range"
"Main Capital IX Feeder (A) C.V.","Main Capital IX Feeder (A) C.V.","","FUND_0741","decided","03-institutional-report","SRC216","1","0","distinct vehicle from Main Foundation III; stem too generic for a family"
"Main Foundation III Feeder (A) C.V.","Main Foundation III Feeder (A) C.V.","","FUND_0742","decided","03-institutional-report","SRC216","1","0","distinct vehicle from Main Capital IX; stem too generic for a family"
"Marlin Equity III, L.P.","Marlin Equity III, L.P.","","FUND_0743","decided","06-statements-and-economics","SRC407","2","0","sole printed variant; no sibling in range"
"Maryland Technology Commercialization Fund","Maryland Technology Commercialization Fund","","FUND_0148","decided","B","SRC040","0","1","distinct vehicle from Maryland Venture Fund; geographic word is not a family"
"Maryland Venture Fund","Maryland Venture Fund","","FUND_0149","decided","B","SRC040","0","1","distinct vehicle from Maryland Technology Commercialization Fund; geographic word is not a family"
"MDCP Insurance SPV, L.P.","MDCP Insurance SPV, L.P.","","FUND_0744","decided","06-statements-and-economics","SRC407","2","0","sole printed variant; abbreviation is not a printed family stem"
"Media Technology Ventures V","Media Technology Ventures V","","FUND_0114","decided","A+B","SRC037","1","1","sole printed variant; no sibling in range"
"Merit Mezzanine Fund VI, L.P.","Merit Mezzanine Fund VI, L.P.","","FUND_0745","decided","06-statements-and-economics","SRC407","2","0","sole printed variant; distinct from the generic Mezzanine Fund row"
"MGPA Asia Fund III, L.P.","MGPA Asia Fund III, L.P.","MGPA","FUND_0222","decided","A+B","SRC137","1","1","distinct regional fund from MGPA Europe Fund III"
"MGPA Europe Fund III, L.P.","MGPA Europe Fund III, L.P.","MGPA","FUND_0223","decided","A+B","SRC137","1","1","distinct regional fund from MGPA Asia Fund III"
"Mid Europa Fund V LP","Mid Europa Fund V LP","","FUND_0746","decided","06-statements-and-economics","SRC407","2","0","sole printed variant; no sibling in range"
"Milestone Partners II, L.P.","Milestone Partners II, L.P.","","FUND_0002","decided","A+B","SRC029","1","1","sole printed variant; no sibling in range"
"Montagu+ SCSp","Montagu+ SCSp","","FUND_0747","decided","06-statements-and-economics","SRC407","2","0","sole printed variant; no sibling in range"
"Montlake Capital II, L.P.","Montlake Capital II, L.P.","","FUND_0028","decided","A+B","SRC035","1","1","sole printed variant; no sibling in range"
"Morgan Stanley Global REIT","Morgan Stanley Global REIT","Morgan Stanley","FUND_0748","decided","02-performance","SRC058","3","0","distinct vehicle from the real estate fund series"
"Morgan Stanley Prime Property Fund","Morgan Stanley Prime Property Fund","Morgan Stanley","FUND_0749","decided","02-performance","SRC058","6","0","distinct open-end vehicle from the real estate fund series"
"Morgan Stanley Real Estate Fund II","Morgan Stanley Real Estate Fund II","Morgan Stanley","FUND_0224","decided","A+B","SRC137","1","1","distinct series vintage"
"Morgan Stanley Real Estate Fund IV Spec Dom","Morgan Stanley Real Estate Fund IV Spec Dom","Morgan Stanley","FUND_0225","decided","A+B","SRC137","1","1","distinct sleeve of Fund IV from Spec Intl"
"Morgan Stanley Real Estate Fund IV Spec Intl","Morgan Stanley Real Estate Fund IV Spec Intl","Morgan Stanley","FUND_0226","decided","A+B","SRC137","1","1","distinct sleeve of Fund IV from Spec Dom"
"Morgan Stanley Real Estate Fund V Spec Intl","Morgan Stanley Real Estate Fund V Spec Intl","Morgan Stanley","FUND_0227","decided","A+B","SRC137","1","1","distinct sleeve of Fund V from the U.S. sleeve"
"Morgan Stanley Real Estate Fund V U.S.","Morgan Stanley Real Estate Fund V U.S.","Morgan Stanley","FUND_0228","decided","A+B","SRC137","1","1","distinct sleeve of Fund V from Spec Intl"
"Morgan Stanley Real Estate Fund VI Spec Intl","Morgan Stanley Real Estate Fund VI Spec Intl","Morgan Stanley","FUND_0229","decided","A+B","SRC137","1","1","distinct series vintage"
"Morgan Stanley Real Estate Fund VII Global, L.P.","Morgan Stanley Real Estate Fund VII Global, L.P.","Morgan Stanley","FUND_0230","decided","A+B","SRC137","1","1","distinct series vintage"
"MPE Partners II, L.P.","MPE Partners II, L.P.","","FUND_0750","decided","06-statements-and-economics","SRC407","1","0","sole printed variant; no sibling in range"
"National Office Partners, LLC (CWP)","National Office Partners, LLC (CWP)","","FUND_0751","decided","02-performance","SRC063","1","0","sole printed variant; joint venture entity with no sibling in range"
"NB Credit Opportunities II Cayman Feeder LP","NB Credit Opportunities II Cayman Feeder LP","","FUND_0753","decided","06-statements-and-economics","SRC407","2","0","sole printed variant; abbreviation is not a printed family stem"
"NB SPV, L.P.","NB SPV, L.P.","","FUND_0754","decided","06-statements-and-economics","SRC407","2","0","sole printed variant; abbreviation is not a printed family stem"
"NCT Ventures Fund I, L.P.","NCT Ventures Fund I, L.P.","NCT Ventures","FUND_0096","decided","A+B","SRC036","1","1","distinct series vintage"
"NCT Ventures Fund II, L.P.","NCT Ventures Fund II, L.P.","NCT Ventures","FUND_0097","decided","A+B","SRC036","1","1","distinct series vintage"
"NCV SELECT I LP","NCV SELECT I LP","","FUND_0755","decided","03-institutional-report","SRC356","1","0","sole printed variant; no sibling in range"
"Neptune Regional Transmission System, LLC","Neptune Regional Transmission System, LLC","","FUND_0756","decided","02-performance","SRC063","5","0","sole printed variant; asset holding company with no sibling in range"
"New Capital Partners Private Equity Fund II, L.P.","New Capital Partners Private Equity Fund II, L.P.","","FUND_0757","decided","06-statements-and-economics","SRC407","1","0","sole printed variant; no sibling in range"
"New Enterprise Associates 12, Limited Partnership","New Enterprise Associates 12, Limited Partnership","New Enterprise Associates","FUND_0758","decided","06-statements-and-economics","SRC407","2","0","distinct series vintage from fund 13"
"New Enterprise Associates 13","New Enterprise Associates 13","New Enterprise Associates","FUND_0115","decided","A+B","SRC037","1","1","distinct series vintage from fund 12"
"NEW HORIZONS EL PASO LP","NEW HORIZONS EL PASO LP","","FUND_0759","decided","03-institutional-report","SRC356","1","0","sole printed variant; case preserved as printed"
"New Mountain Partners III, L.P.","New Mountain Partners III, L.P.","New Mountain","FUND_0761","decided","06-statements-and-economics","SRC407","2","0","distinct series vintage"
"New Mountain Partners IV, L.P.","New Mountain Partners IV, L.P.","New Mountain","FUND_0003","decided","A+B","SRC029","1","1","distinct series vintage"
"New Mountain Partners V, L.P.","New Mountain Partners V, L.P.","New Mountain","FUND_0762","decided","06-statements-and-economics","SRC407","2","0","distinct series vintage"
