lookup_key,lookup_kind,member_count,member_funds,a_manager_name,a_source
Hampstead,family,3,Hampstead I | Hampstead II | Hampstead III,,WEB_MANAGER: no public manager match found
LCCG,family,3,"LCCG Diversified Risk CMBS Fund II, LLC | LCCG High Yield CMBS Fund III, LLC | LCCG R E Special Situations Mortgage Fund",,WEB_MANAGER: no public manager match found
LORE One,family,2,"LORE One, L.P. (Core) | LORE One, L.P. (Value Add)",,WEB_MANAGER: no public manager match found
AREFIN Co-Invest Corporation,fund,1,AREFIN Co-Invest Corporation,,WEB_MANAGER: no public manager match found
"Adventure Fund I, L.P.",fund,1,"Adventure Fund I, L.P.",,WEB_MANAGER: no public manager match found
Barley (No.1) Limited Partnership,fund,1,Barley (No.1) Limited Partnership,,WEB_MANAGER: no public manager match found
BioScience Facilities Fund,fund,1,BioScience Facilities Fund,,WEB_MANAGER: no public manager match found
Bolt Energy LLC,fund,1,Bolt Energy LLC,,WEB_MANAGER: no public manager match found
CCF II Industrial,fund,1,CCF II Industrial,,WEB_MANAGER: no public manager match found
CCF III Industrial,fund,1,CCF III Industrial,,WEB_MANAGER: no public manager match found
CCP 2020,fund,1,CCP 2020,,WEB_MANAGER: no public manager match found
CCP Climb LP,fund,1,CCP Climb LP,,WEB_MANAGER: no public manager match found
CCP Strider LP,fund,1,CCP Strider LP,,WEB_MANAGER: no public manager match found
"CHP III, L.P.",fund,1,"CHP III, L.P.",,WEB_MANAGER: no public manager match found
"CP VII Investors, L.P.",fund,1,"CP VII Investors, L.P.",,WEB_MANAGER: no public manager match found
Cameron Village,fund,1,Cameron Village,,WEB_MANAGER: no public manager match found
Clift,fund,1,Clift,,WEB_MANAGER: no public manager match found
Connecticut Capital Access Fund,fund,1,Connecticut Capital Access Fund,,WEB_MANAGER: no public manager match found
Connecticut Works Fund,fund,1,Connecticut Works Fund,,WEB_MANAGER: no public manager match found
Connecticut Works Guarantee Fund,fund,1,Connecticut Works Guarantee Fund,,WEB_MANAGER: no public manager match found
DW-Columbia Perfco LP,fund,1,DW-Columbia Perfco LP,,WEB_MANAGER: no public manager match found
"Emerging Market Fund, LLC",fund,1,"Emerging Market Fund, LLC",,WEB_MANAGER: no public manager match found
FSP - Base,fund,1,FSP - Base,,WEB_MANAGER: no public manager match found
FSP - DT 2012 and Beyond,fund,1,FSP - DT 2012 and Beyond,,WEB_MANAGER: no public manager match found
