lookup_key,lookup_kind,member_count,member_funds,b_manager_name,b_source
Gap Investment Fund,fund,1,Gap Investment Fund,,WEB_MANAGER: no public manager match found
Greystar Residential,fund,1,Greystar Residential,,WEB_MANAGER: no public manager match found
Growth Fund,fund,1,Growth Fund,,WEB_MANAGER: no public manager match found
Heritage Fields Capital,fund,1,Heritage Fields Capital,,WEB_MANAGER: no public manager match found
HighYield Opportunities Fund,fund,1,HighYield Opportunities Fund,,WEB_MANAGER: no public manager match found
Incubator Development Fund,fund,1,Incubator Development Fund,,WEB_MANAGER: no public manager match found
Life Science Investment Fund,fund,1,Life Science Investment Fund,,WEB_MANAGER: no public manager match found
Lincoln CIP Industrial Value Add,fund,1,Lincoln CIP Industrial Value Add,,WEB_MANAGER: no public manager match found
Lincoln Holdings,fund,1,Lincoln Holdings,,WEB_MANAGER: no public manager match found
Lincoln Non Mandate,fund,1,Lincoln Non Mandate,,WEB_MANAGER: no public manager match found
"PRO SPV, LP",fund,1,"PRO SPV, LP",,WEB_MANAGER: no public manager match found
PSERS Short-Term Investment Fund,fund,1,PSERS Short-Term Investment Fund,,"WEB_MANAGER: no public manager match found | not a third-party fund, PSERS' own internal short-term cash vehicle"
"PT2-A, L.P.",fund,1,"PT2-A, L.P.",,WEB_MANAGER: no public manager match found
"PTEV-A, L.P.",fund,1,"PTEV-A, L.P.",,WEB_MANAGER: no public manager match found
Pacific Realty,fund,1,Pacific Realty,,WEB_MANAGER: no public manager match found
Page Mill,fund,1,Page Mill,,WEB_MANAGER: no public manager match found
PreSeed Fund,fund,1,PreSeed Fund,,WEB_MANAGER: no public manager match found
"SH Group I, LP",fund,1,"SH Group I, LP",,WEB_MANAGER: no public manager match found
SV Fund IV,fund,1,SV Fund IV,,WEB_MANAGER: no public manager match found
Seed Fund,fund,1,Seed Fund,,WEB_MANAGER: no public manager match found
Sierra Nevada Investment Partners LP,fund,1,Sierra Nevada Investment Partners LP,,WEB_MANAGER: no public manager match found
TransEuropean I,fund,1,TransEuropean I,,WEB_MANAGER: no public manager match found
U.S. Value Income REIT Strategy,fund,1,U.S. Value Income REIT Strategy,,WEB_MANAGER: no public manager match found
"WRPV XI CK Expansion, L.L.C",fund,1,"WRPV XI CK Expansion, L.L.C",,WEB_MANAGER: no public manager match found
