expansion_document_id,proposed_doc_type,report_subtype,dispatch_scope,schema_discovery_required,native_file_ext,pdf_materialization_required,canonical_merge_blocked,note
EXPDOC-001,Secondary_Pricing,Market_Report,UNSCHEDULED,TRUE,pdf,FALSE,TRUE,new doc_type Secondary_Pricing is not in document-types.csv; canonical corpus pins remain 442; no merge this run
EXPDOC-002,Secondary_Pricing,Market_Report,UNSCHEDULED,TRUE,pdf,FALSE,TRUE,new doc_type Secondary_Pricing is not in document-types.csv; canonical corpus pins remain 442; no merge this run
EXPDOC-003,Secondary_Pricing,Market_Report,UNSCHEDULED,TRUE,pdf,FALSE,TRUE,new doc_type Secondary_Pricing is not in document-types.csv; canonical corpus pins remain 442; no merge this run
EXPDOC-004,Secondary_Pricing,Market_Report,UNSCHEDULED,TRUE,pdf,FALSE,TRUE,new doc_type Secondary_Pricing is not in document-types.csv; canonical corpus pins remain 442; no merge this run
EXPDOC-005,Secondary_Pricing,Market_Report,UNSCHEDULED,TRUE,pdf,FALSE,TRUE,new doc_type Secondary_Pricing is not in document-types.csv; canonical corpus pins remain 442; no merge this run
EXPDOC-006,Secondary_Pricing,Market_Report,UNSCHEDULED,TRUE,html,TRUE,TRUE,new doc_type Secondary_Pricing is not in document-types.csv; native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
EXPDOC-007,Continuation_Fund,Continuation_Disclosure,UNSCHEDULED,TRUE,pdf,FALSE,TRUE,new doc_type Continuation_Fund is not in document-types.csv; canonical corpus pins remain 442; no merge this run
EXPDOC-008,Continuation_Fund,Continuation_Disclosure,REFERENCE,TRUE,pdf,FALSE,TRUE,new doc_type Continuation_Fund is not in document-types.csv; template or mock; dispatch would be REFERENCE if admitted; canonical corpus pins remain 442; no merge this run
EXPDOC-009,Continuation_Fund,Continuation_Disclosure,REFERENCE,TRUE,pdf,FALSE,TRUE,new doc_type Continuation_Fund is not in document-types.csv; template or mock; dispatch would be REFERENCE if admitted; canonical corpus pins remain 442; no merge this run
EXPDOC-010,Cash_Flow_Notice,Capital_Call_Detail,REFERENCE,FALSE,pdf,FALSE,TRUE,template or mock; dispatch would be REFERENCE if admitted; canonical corpus pins remain 442; no merge this run
EXPDOC-011,Cash_Flow_Notice,Capital_Call_Detail,UNSCHEDULED,FALSE,pdf,FALSE,TRUE,canonical corpus pins remain 442; no merge this run
EXPDOC-012,Portfolio_Company_Report,ILPA_PortCo_Template,REFERENCE,TRUE,xlsx,TRUE,TRUE,new doc_type Portfolio_Company_Report is not in document-types.csv; native is not PDF; merge and page pipeline require a canonical PDF; template or mock; dispatch would be REFERENCE if admitted; canonical corpus pins remain 442; no merge this run
EXPDOC-013,Cash_Flow_Notice,Capital_Call_Detail,REFERENCE,FALSE,xlsx,TRUE,TRUE,native is not PDF; merge and page pipeline require a canonical PDF; template or mock; dispatch would be REFERENCE if admitted; canonical corpus pins remain 442; no merge this run
EXPDOC-014,Continuation_Fund,Continuation_Disclosure,REFERENCE,TRUE,docx,TRUE,TRUE,new doc_type Continuation_Fund is not in document-types.csv; native is not PDF; merge and page pipeline require a canonical PDF; template or mock; dispatch would be REFERENCE if admitted; canonical corpus pins remain 442; no merge this run
EXPDOC-015,Cash_Flow_Notice,Capital_Call_Detail,REFERENCE,FALSE,xlsx,TRUE,TRUE,native is not PDF; merge and page pipeline require a canonical PDF; template or mock; dispatch would be REFERENCE if admitted; canonical corpus pins remain 442; no merge this run
EXPDOC-016,Financials,N_CSR,UNSCHEDULED,FALSE,html,TRUE,TRUE,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
EXPDOC-017,Schedule_Inv,NPORT_EX,UNSCHEDULED,FALSE,html,TRUE,TRUE,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
EXPDOC-018,Schedule_Inv,NPORT_P,UNSCHEDULED,FALSE,xml,TRUE,TRUE,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
EXPDOC-019,PPM,N_2,UNSCHEDULED,FALSE,html,TRUE,TRUE,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
EXPDOC-020,Financials,N_CSR,UNSCHEDULED,FALSE,html,TRUE,TRUE,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
EXPDOC-021,Schedule_Inv,NPORT_EX,UNSCHEDULED,FALSE,html,TRUE,TRUE,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
EXPDOC-022,Schedule_Inv,NPORT_P,UNSCHEDULED,FALSE,xml,TRUE,TRUE,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
EXPDOC-023,Institutional_Report,Secondary_Sale_RFP,UNSCHEDULED,FALSE,html,TRUE,TRUE,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
EXPDOC-024,Financials,N_CSR,UNSCHEDULED,FALSE,html,TRUE,TRUE,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
EXPDOC-025,Schedule_Inv,NPORT_EX,UNSCHEDULED,FALSE,html,TRUE,TRUE,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
EXPDOC-026,Schedule_Inv,NPORT_P,UNSCHEDULED,FALSE,xml,TRUE,TRUE,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
EXPDOC-027,Institutional_Report,Secondary_Sale_RFP,UNSCHEDULED,FALSE,html,TRUE,TRUE,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
EXPDOC-028,Financials,N_CSR,UNSCHEDULED,FALSE,html,TRUE,TRUE,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
EXPDOC-029,Schedule_Inv,NPORT_EX,UNSCHEDULED,FALSE,html,TRUE,TRUE,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
EXPDOC-030,Schedule_Inv,NPORT_P,UNSCHEDULED,FALSE,xml,TRUE,TRUE,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
EXPDOC-031,Institutional_Report,Secondary_Sale_RFP,UNSCHEDULED,FALSE,html,TRUE,TRUE,native is not PDF; merge and page pipeline require a canonical PDF; canonical corpus pins remain 442; no merge this run
