kind,entity_id,standardized_name
fund,FUND_0001,"Incline Equity Partners III (PSERS), L.P."
fund,FUND_0002,"Milestone Partners II, L.P."
fund,FUND_0003,"New Mountain Partners IV, L.P."
fund,FUND_0004,"Adventure Fund I, L.P."
fund,FUND_0005,Builders VC Fund II
fund,FUND_0006,"Cascade Angels Fund 2016, L.P."
fund,FUND_0007,"Cascade Angels Fund V, LLC"
fund,FUND_0008,"Cascade Seed Fund I, LLC"
fund,FUND_0009,Cascade Seed Fund II
fund,FUND_0010,"DFJ Frontier Fund II, L.P."
fund,FUND_0011,"Ecotrust Forests II, LLC"
fund,FUND_0012,Elevate Capital Fund II
fund,FUND_0013,"Endeavour Capital Fund III, L.P."
fund,FUND_0014,"Enlightened Hospitality Investments, L.P."
fund,FUND_0015,"Epic Venture Fund IV, L.P."
fund,FUND_0016,"Epic Venture Fund V, L.P."
fund,FUND_0017,"Epic Ventures VI, L.P."
fund,FUND_0018,"Fluke Venture Partners II, L.P."
fund,FUND_0019,"Founders' Co-op III, L.P."
fund,FUND_0020,"Founders’ Co-op IV, L.P."
fund,FUND_0021,"Goode Partners Consumer Fund III, L.P."
fund,FUND_0022,"Grain Communications Opportunity Fund III, L.P."
fund,FUND_0023,"Homestead Capital USA Farmland Fund III, L.P."
fund,FUND_0024,"K1 Special Opportunities Fund, L.P."
fund,FUND_0025,"K4 Private Investors, L.P."
fund,FUND_0026,"K5 Private Investors, L.P."
fund,FUND_0027,"Madrona Venture Fund III, L.P."
fund,FUND_0028,"Montlake Capital II, L.P."
fund,FUND_0029,"Northwest Technology Ventures, L.P."
fund,FUND_0030,Oregon Angel Conferences 2011
fund,FUND_0031,Oregon Angel Conferences 2012
fund,FUND_0032,Oregon Angel Conferences 2013
fund,FUND_0033,Oregon Angel Conferences 2014
fund,FUND_0034,"Oregon Angel Fund 2008, LLC"
fund,FUND_0035,"Oregon Angel Fund 2009, LLC"
fund,FUND_0036,"Oregon Angel Fund 2010, LLC"
fund,FUND_0037,"Oregon Angel Fund 2011, LLC"
fund,FUND_0038,"Oregon Angel Fund 2012, LLC"
fund,FUND_0039,"Oregon Angel Fund 2013, LLC"
fund,FUND_0040,"Oregon Angel Fund 2014, LLC"
fund,FUND_0041,"Oregon Angel Fund 2015, LLC"
fund,FUND_0042,"Oregon Angel Fund 2016, LLC"
fund,FUND_0043,"Oregon Angel Fund 2017, LLC"
fund,FUND_0044,"Oregon Venture Fund XII, LLC"
fund,FUND_0045,"OVP Venture Partners VII, L.P."
fund,FUND_0046,"Phoenix Venture Partners II, L.P."
fund,FUND_0047,"Phoenix Venture Partners III, L.P."
fund,FUND_0048,"Phoenix Venture Partners, L.P."
fund,FUND_0049,Pioneer Square Ventures Fund II
fund,FUND_0050,"Pivotal Investments Partners Fund I, L.P."
fund,FUND_0051,"Portland Seed Fund I, L.P."
fund,FUND_0052,"Portland Seed Fund II, L.P."
fund,FUND_0053,"Portland Seed Fund III, L.P."
fund,FUND_0054,"Portland Seed Fund III - Side Car, L.P."
fund,FUND_0055,Rethink Impact Fund II
fund,FUND_0056,"Riverlake Equity Partners I, L.P."
fund,FUND_0057,"Riverlake Equity Partners II, L.P."
fund,FUND_0058,"Seven Peaks Ventures Fund II, L.P."
fund,FUND_0059,"Seven Peaks Ventures Fund, L.P."
fund,FUND_0060,"SmartForest Ventures I, L.P."
fund,FUND_0061,Stellex Capital Partners II
fund,FUND_0062,"Tamarack Mezzanine Partners, L.P."
fund,FUND_0063,"Timberline Annex Fund, L.P."
fund,FUND_0064,"Timberline Venture Partners, L.P."
fund,FUND_0065,"Tiverton AgriFinance II, L.P."
fund,FUND_0066,"TL Ventures VII, L.P."
fund,FUND_0067,"Updata Partners V, L.P."
fund,FUND_0068,"Updata Partners VI, L.P."
fund,FUND_0069,"VamosVentures Fund I, L.P."
fund,FUND_0070,"VFC - Burnside Fund, L.P."
fund,FUND_0071,"Voyager Capital Fund IV, L.P."
fund,FUND_0072,"Voyager Capital Fund V, L.P."
fund,FUND_0073,"Women's VC Fund II, L.P."
fund,FUND_0074,"Women's Venture Capital Fund, L.P."
fund,FUND_0075,"Yaletown Ventures II (USA), L.P."
fund,FUND_0076,"Allos Ventures II, L.P."
fund,FUND_0077,"Arboretum Ventures IIa, L.P."
fund,FUND_0078,"Arsenal Venture Partners IIa, L.P."
fund,FUND_0079,Arsenal Ventures IIa
fund,FUND_0080,"Athenian Venture Partners III, L.P."
fund,FUND_0081,"Charter Life Sciences (Ohio) II, L.P."
fund,FUND_0082,"Chrysalis Ventures (Ohio) III, L.P."
fund,FUND_0083,Draper Triangle III
fund,FUND_0084,"Draper Triangle Ohio Ventures, L.P."
