lp_name_raw,standardized_lp_name,lp_id,decision_status,seen_in_agents,source_files,a_count,b_count,merge_note
Bear Stearns employees,Bear Stearns employees,LP_0006,auto,05-fund-legal-docs,SRC107,1,0,auto: only printed variant of this name in the corpus
BILL & MELINDA GATES FOUNDATION TRUST,BILL & MELINDA GATES FOUNDATION TRUST,LP_0007,auto,01-financials,SRC377,1,0,auto: only printed variant of this name in the corpus
Bill and Melinda Gates,Bill and Melinda Gates,LP_0008,auto,01-financials,SRC377,1,0,auto: only printed variant of this name in the corpus
Bill Gates,Bill Gates,LP_0009,auto,01-financials,SRC377,2,0,auto: only printed variant of this name in the corpus
Commonwealth of Pennsylvania State Employees' Retirement System,Commonwealth of Pennsylvania State Employees' Retirement System,LP_0033,decided,05-fund-legal-docs,SRC607,11,0,Case variants consolidated to the printed title-case institutional name.
COMMONWEALTH OF PENNSYLVANIA STATE EMPLOYEES' RETIREMENT SYSTEM,Commonwealth of Pennsylvania State Employees' Retirement System,LP_0033,decided,05-fund-legal-docs,SRC612,1,0,Case variants consolidated to the printed title-case institutional name.
General Partner,General Partner,LP_0010,auto,01-financials,SRC034,4,0,auto: only printed variant of this name in the corpus
Guardians of New Zealand Superannuation,Guardians of New Zealand Superannuation,LP_0011,auto,07-institutional-mission,SRC339,61,0,auto: only printed variant of this name in the corpus
James Cayne,James Cayne,LP_0012,auto,05-fund-legal-docs,SRC107,1,0,auto: only printed variant of this name in the corpus
"JPIV G.P., L.P.","JPIV G.P., L.P.",LP_0013,auto,01-financials,SRC102,14,0,auto: only printed variant of this name in the corpus
largest investor,largest investor,LP_0014,auto,05-fund-legal-docs,SRC107,1,0,auto: only printed variant of this name in the corpus
Limited Partners,Limited Partners,LP_0015,auto,01-financials,SRC034,4,0,auto: only printed variant of this name in the corpus
New Mexico Educational Retirement Board,New Mexico Educational Retirement Board,LP_0016,auto,04-quarterly-report,SRC457,1,0,auto: only printed variant of this name in the corpus
New York State Common Retirement Fund,New York State Common Retirement Fund,LP_0017,auto,03-institutional-report,SRC216,1,0,auto: only printed variant of this name in the corpus
Northumberland County Council,Northumberland County Council acting in its capacity as the administering authority for the Northumberland County Council Pension Fund,LP_0001,decided,A+B,SRC462,1,1,same administering authority; fullest observed form
