fund_id,standardized_fund_name,observation_rows,source_files,vintage_year,vintage_year_status,vintage_year_variants,vintage_year_filled_rows,vintage_year_blank_rows,vintage_year_source_files,strategy,strategy_status,strategy_variants,strategy_filled_rows,strategy_blank_rows,strategy_source_files,asset_class,asset_class_status,asset_class_variants,asset_class_filled_rows,asset_class_blank_rows,asset_class_source_files,geography,geography_status,geography_variants,geography_filled_rows,geography_blank_rows,geography_source_files,merge_note
FUND_0003,"New Mountain Partners IV, L.P.",2,SRC407,,none,,0,2,,Secondary Investments,unique,Secondary Investments,2,0,SRC407,Private Equity Investments,unique,Private Equity Investments,2,0,SRC407,North America,unique,North America,2,0,SRC407,
FUND_0004,"Adventure Fund I, L.P.",7,SRC035,2007,unique,2007,7,0,SRC035,Growth Equity,unique,Growth Equity,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0005,Builders VC Fund II,5,SRC035,2020,unique,2020,5,0,SRC035,Venture Capital,unique,Venture Capital,5,0,SRC035,,none,,0,5,,,none,,0,5,,
FUND_0006,"Cascade Angels Fund 2016, L.P.",7,SRC035,2016,unique,2016,7,0,SRC035,Venture Capital,unique,Venture Capital,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0007,"Cascade Angels Fund V, LLC",7,SRC035,2018,unique,2018,7,0,SRC035,Venture Capital,unique,Venture Capital,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0008,"Cascade Seed Fund I, LLC",5,SRC035,2019,unique,2019,5,0,SRC035,Venture Capital,unique,Venture Capital,5,0,SRC035,,none,,0,5,,,none,,0,5,,
FUND_0009,Cascade Seed Fund II,5,SRC035,2021,unique,2021,5,0,SRC035,Venture Capital,unique,Venture Capital,5,0,SRC035,,none,,0,5,,,none,,0,5,,
FUND_0010,"DFJ Frontier Fund II, L.P.",7,SRC035,2007,unique,2007,7,0,SRC035,Venture Capital,unique,Venture Capital,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0011,"Ecotrust Forests II, LLC",7,SRC035,2015,unique,2015,7,0,SRC035,Natural Resources,unique,Natural Resources,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0012,Elevate Capital Fund II,5,SRC035,2020,unique,2020,5,0,SRC035,Venture Capital,unique,Venture Capital,5,0,SRC035,,none,,0,5,,,none,,0,5,,
FUND_0013,"Endeavour Capital Fund III, L.P.",7,SRC035,2000,unique,2000,7,0,SRC035,Buyout,unique,Buyout,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0014,"Enlightened Hospitality Investments, L.P.",7,SRC035,2017,unique,2017,7,0,SRC035,Growth Equity,unique,Growth Equity,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0015,"Epic Venture Fund IV, L.P.",7,SRC035,2009,unique,2009,7,0,SRC035,Venture Capital,unique,Venture Capital,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0016,"Epic Venture Fund V, L.P.",7,SRC035,2016,unique,2016,7,0,SRC035,Venture Capital,unique,Venture Capital,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0017,"Epic Ventures VI, L.P.",5,SRC035,2020,unique,2020,5,0,SRC035,Venture Capital,unique,Venture Capital,5,0,SRC035,,none,,0,5,,,none,,0,5,,
FUND_0018,"Fluke Venture Partners II, L.P.",7,SRC035,2004,unique,2004,7,0,SRC035,Venture Capital,unique,Venture Capital,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0019,"Founders' Co-op III, L.P.",7,SRC035,2014,unique,2014,7,0,SRC035,Venture Capital,unique,Venture Capital,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0020,"Founders’ Co-op IV, L.P.",7,SRC035,2018,unique,2018,7,0,SRC035,Venture Capital,unique,Venture Capital,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0021,"Goode Partners Consumer Fund III, L.P.",7,SRC035,2016,unique,2016,7,0,SRC035,Growth Equity,unique,Growth Equity,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0022,"Grain Communications Opportunity Fund III, L.P.",5,SRC035,2021,unique,2021,5,0,SRC035,Infrastructure,unique,Infrastructure,5,0,SRC035,,none,,0,5,,,none,,0,5,,
FUND_0023,"Homestead Capital USA Farmland Fund III, L.P.",7,SRC035,2018,unique,2018,7,0,SRC035,Natural Resources,unique,Natural Resources,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0024,"K1 Special Opportunities Fund, L.P.",7,SRC035,2016,unique,2016,7,0,SRC035,Buyout,unique,Buyout,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0025,"K4 Private Investors, L.P.",7,SRC035,2018,unique,2018,7,0,SRC035,Buyout,unique,Buyout,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0026,"K5 Private Investors, L.P.",5,SRC035,2020,unique,2020,5,0,SRC035,Buyout,unique,Buyout,5,0,SRC035,,none,,0,5,,,none,,0,5,,
FUND_0027,"Madrona Venture Fund III, L.P.",7,SRC035,2005,unique,2005,7,0,SRC035,Venture Capital,unique,Venture Capital,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0028,"Montlake Capital II, L.P.",7,SRC035,2007,unique,2007,7,0,SRC035,Growth Equity,unique,Growth Equity,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0029,"Northwest Technology Ventures, L.P.",7,SRC035,2002,unique,2002,7,0,SRC035,Venture Capital,unique,Venture Capital,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0030,Oregon Angel Conferences 2011,7,SRC035,2011,unique,2011,7,0,SRC035,Special Situations,unique,Special Situations,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0031,Oregon Angel Conferences 2012,7,SRC035,2012,unique,2012,7,0,SRC035,Special Situations,unique,Special Situations,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0032,Oregon Angel Conferences 2013,7,SRC035,2013,unique,2013,7,0,SRC035,Special Situations,unique,Special Situations,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0033,Oregon Angel Conferences 2014,7,SRC035,2014,unique,2014,7,0,SRC035,Special Situations,unique,Special Situations,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0034,"Oregon Angel Fund 2008, LLC",7,SRC035,2008,unique,2008,7,0,SRC035,Venture Capital,unique,Venture Capital,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0035,"Oregon Angel Fund 2009, LLC",7,SRC035,2009,unique,2009,7,0,SRC035,Venture Capital,unique,Venture Capital,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0036,"Oregon Angel Fund 2010, LLC",7,SRC035,2010,unique,2010,7,0,SRC035,Venture Capital,unique,Venture Capital,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0037,"Oregon Angel Fund 2011, LLC",7,SRC035,2011,unique,2011,7,0,SRC035,Venture Capital,unique,Venture Capital,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0038,"Oregon Angel Fund 2012, LLC",7,SRC035,2012,unique,2012,7,0,SRC035,Venture Capital,unique,Venture Capital,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0039,"Oregon Angel Fund 2013, LLC",7,SRC035,2013,unique,2013,7,0,SRC035,Venture Capital,unique,Venture Capital,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0040,"Oregon Angel Fund 2014, LLC",7,SRC035,2014,unique,2014,7,0,SRC035,Venture Capital,unique,Venture Capital,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0041,"Oregon Angel Fund 2015, LLC",7,SRC035,2015,unique,2015,7,0,SRC035,Venture Capital,unique,Venture Capital,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0042,"Oregon Angel Fund 2016, LLC",7,SRC035,2016,unique,2016,7,0,SRC035,Venture Capital,unique,Venture Capital,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0043,"Oregon Angel Fund 2017, LLC",7,SRC035,2017,unique,2017,7,0,SRC035,Venture Capital,unique,Venture Capital,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0044,"Oregon Venture Fund XII, LLC",7,SRC035,2018,unique,2018,7,0,SRC035,Venture Capital,unique,Venture Capital,7,0,SRC035,,none,,0,7,,,none,,0,7,,
FUND_0045,"OVP Venture Partners VII, L.P.",7,SRC035,2006,unique,2006,7,0,SRC035,Venture Capital,unique,Venture Capital,7,0,SRC035,,none,,0,7,,,none,,0,7,,
