lookup_key,lookup_kind,member_count,member_funds,a_manager_name,a_source,b_manager_name,b_source,final_manager_name,final_source
ABRY,family,2,"ABRY Partners IX, L.P. | ABRY Senior Equity V, L.P.",Abry Partners,"WEB_MANAGER: https://abry.com/funds/ | Abry Partners manages approximately $5.4 billion in active capital through four investment strategies, including ABRY Partners IX and ABRY Senior Equity VI.",Abry Partners,WEB_MANAGER: https://abry.com/fund/senior-equity/ | Abry Partners' own fund page presents ABRY Senior Equity (ASE) alongside its Flagship funds as strategies the firm runs.,Abry Partners,"WEB_MANAGER: https://abry.com/funds/ | Abry Partners manages approximately $5.4 billion in active capital through four investment strategies, including ABRY Partners IX and ABRY Senior Equity VI.  [AUTO: identical]"
ABS Capital Partners,family,3,"ABS Capital Partners IX, L.P. | ABS Capital Partners VII Offshore, L.P. | ABS Capital Partners VII, L.P.",ABS Capital Partners,"WEB_MANAGER: https://abscapital.com/abs-capital-announces-final-close-of-fund-ix-and-first-three-fund-investments/ | ABS Capital, a growth equity investment firm, announced the final close of ABS Capital Partners IX.",ABS Capital Partners,WEB_MANAGER: https://abscapital.com/abs-capital-announces-final-close-of-fund-ix-and-first-three-fund-investments/ | ABS Capital announced the final close of ABS Capital Partners IX and its first three fund investments.,ABS Capital Partners,"WEB_MANAGER: https://abscapital.com/abs-capital-announces-final-close-of-fund-ix-and-first-three-fund-investments/ | ABS Capital, a growth equity investment firm, announced the final close of ABS Capital Partners IX.  [AUTO: identical]"
AEW,family,2,"AEW Core Property Trust | AEW Essential Housing Fund, L.P.",AEW Capital Management,WEB_MANAGER: https://pitchbook.com/profiles/fund/19417-15F | AEW Essential Housing Fund is a real estate core fund managed by AEW Capital Management.,"AEW Capital Management, L.P.","WEB_MANAGER: https://www.aew.com/ | AEW Capital Management, L.P. has provided real estate investment management services to investors worldwide for nearly 45 years.","AEW Capital Management, L.P.","WEB_MANAGER: https://www.aew.com/ | AEW Capital Management, L.P. has provided real estate investment management services to investors worldwide for nearly 45 years.  [AUTO: AEW Capital Management = AEW Capital Management, L.P.]"
AUSTIN VENTURES,family,2,AUSTIN VENTURES IX LP | AUSTIN VENTURES X LP,Austin Ventures,"WEB_MANAGER: https://en.wikipedia.org/wiki/Austin_Ventures | Austin Ventures is a venture capital firm founded in 1984 and headquartered in Austin, Texas.",Austin Ventures,WEB_MANAGER: https://en.wikipedia.org/wiki/Austin_Ventures | Austin Ventures is a private equity firm focused on venture capital and growth equity investments that has raised approximately $3.9 billion across ten funds.,Austin Ventures,"WEB_MANAGER: https://en.wikipedia.org/wiki/Austin_Ventures | Austin Ventures is a venture capital firm founded in 1984 and headquartered in Austin, Texas.  [AUTO: identical]"
Accel-KKR,family,3,"Accel-KKR Capital Partners CV III, LP | Accel-KKR Capital Partners VII LP | Accel-KKR Growth Capital Partners IV LP",Accel-KKR,WEB_MANAGER: https://www.accel-kkr.com/accel-kkr-raises-seventh-flagship-buyout-fund-and-second-emerging-buyout-fund-representing-5-3-billion-in-new-capital-commitments/ | Accel-KKR completed fundraising for Accel-KKR Capital Partners VII LP on its hard cap with $4.4 billion of equity capital commitments.,Accel-KKR,WEB_MANAGER: https://www.accel-kkr.com/accel-kkr-raises-seventh-flagship-buyout-fund-and-second-emerging-buyout-fund-representing-5-3-billion-in-new-capital-commitments/ | Accel-KKR announced the close of Accel-KKR Capital Partners VII on its hard cap with $4.4 billion of equity capital commitments.,Accel-KKR,WEB_MANAGER: https://www.accel-kkr.com/accel-kkr-raises-seventh-flagship-buyout-fund-and-second-emerging-buyout-fund-representing-5-3-billion-in-new-capital-commitments/ | Accel-KKR completed fundraising for Accel-KKR Capital Partners VII LP on its hard cap with $4.4 billion of equity capital commitments.  [AUTO: identical]
Advent,family,5,Advent Global Technology II Limited Partnership | Advent International GPE VI-A Limited Partnership | Advent International GPE VII-B Limited Partnership | Advent International GPE VIII-B-2 Limited Partnership | Advent International GPE VIII-C Limited Partnership,Advent International,WEB_MANAGER: https://pitchbook.com/profiles/fund/15118-21F | Advent Global Private Equity VIII is a 2016 vintage buyout fund managed by Advent International.,Advent International,"WEB_MANAGER: https://jsg.legis.state.pa.us/resources/documents/ftp/act5/pdf/Appendix%202/SERS%20Data%20Request%20Responses/SERS-004%20Complete/SERS%20004-5%20Advent%20GPE%20VIII-B%20-%20Subscription%20Agreement%20-%20Final_Redacted.pdf | Advent is the manager of Advent International GPE VIII, LLC, which is the general partner of the GPE VIII partnerships.",Advent International,WEB_MANAGER: https://pitchbook.com/profiles/fund/15118-21F | Advent Global Private Equity VIII is a 2016 vintage buyout fund managed by Advent International.  [AUTO: identical]
Aetos Capital,family,2,Aetos Capital Asia TE II | Aetos Capital Asia TE III,Aetos Capital Real Estate,WEB_MANAGER: https://www.pei-privaterealestate.com/institution-profiles/aetos-capital-real-estate.html | Aetos Capital Real Estate is a New York-headquartered investment management firm founded in 2001 that has sponsored four institutional funds investing primarily across Japan and Greater China.,Aetos Capital Real Estate,WEB_MANAGER: https://pitchbook.com/profiles/fund/12734-92F | Aetos Capital Asia III is a 2008 vintage real estate value added fund managed by Aetos Capital Real Estate.,Aetos Capital Real Estate,WEB_MANAGER: https://www.pei-privaterealestate.com/institution-profiles/aetos-capital-real-estate.html | Aetos Capital Real Estate is a New York-headquartered investment management firm founded in 2001 that has sponsored four institutional funds investing primarily across Japan and Greater China.  [AUTO: identical]
Almanac Realty Securities,family,2,"Almanac Realty Securities V, L.P. | Almanac Realty Securities VI, L.P.",,,,,"Almanac Realty Investors, LLC","WEB_MANAGER: https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2017/res52.pdf | PSERS: Almanac Realty Securities I-VI are in the ARS series managed by Almanac Realty Investors, LLC."
Alpha Asia Macro Trends,family,2,Alpha Asia Macro Trends Fund | Alpha Asia Macro Trends Fund II,Alpha Investment Partners,"WEB_MANAGER: https://www.keppel.com/media/keppel-capital-achieves-first-closing-of-us295-million-for-its-follow-on-alpha-asia-macro-trends-fund-iv/ | Alpha Investment Partners is a wholly-owned subsidiary of Keppel Capital, and the flagship Alpha Asia Macro Trends Funds series focuses on value-add investments in the Asia Pacific region.",Alpha Investment Partners,WEB_MANAGER: https://www.keppel.com/media/keppel-capital-achieves-first-closing-of-us295-million-for-its-follow-on-alpha-asia-macro-trends-fund-iv/ | AAMTF IV is the fourth value-add pan-Asian fund in Alpha's flagship Alpha Asia Macro Trends series.,Alpha Investment Partners,"WEB_MANAGER: https://www.keppel.com/media/keppel-capital-achieves-first-closing-of-us295-million-for-its-follow-on-alpha-asia-macro-trends-fund-iv/ | Alpha Investment Partners is a wholly-owned subsidiary of Keppel Capital, and the flagship Alpha Asia Macro Trends Funds series focuses on value-add investments in the Asia Pacific region.  [AUTO: identical]"
American Securities,family,2,"American Securities Partners VI, L.P. | American Securities Partners VII, L.P.",American Securities,WEB_MANAGER: https://www.prnewswire.com/news-releases/american-securities-closes-5-billion-private-equity-fund-at-hard-cap-300019525.html | American Securities closed American Securities Partners VII with $5 billion of total capital commitments at its hard cap.,American Securities LLC,"WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/1589526/000114036121008279/brhc10021635_sc13da.htm | American Securities LLC provides investment advisory services to each Sponsor, including American Securities Partners VII, L.P.",American Securities LLC,"WEB_MANAGER: https://www.sec.gov/Archives/edgar/data/1589526/000114036121008279/brhc10021635_sc13da.htm | American Securities LLC provides investment advisory services to each Sponsor, including American Securities Partners VII, L.P.  [AUTO: American Securities = American Securities LLC]"
