"source_page","a_page_status","b_page_status","a_layout_checked","b_layout_checked","a_expected_observation_count","b_expected_observation_count","a_source_structures","b_source_structures","a_relevant_record_families","b_relevant_record_families","difference_fields"
"1","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","Financial Statements","","financial_statement_observation","source_structures|relevant_record_families"
"2","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","Independent Auditors’ Report","","financial_statement_observation","source_structures|relevant_record_families"
"3","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","11","11","Financial Statements | Statements of Financial Position","Statements of Financial Position","document_context | financial_statement_observation","document_context | financial_statement_observation","source_structures"
"4","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","8","10","Statements of Activities","Statements of Activities","financial_statement_observation","financial_statement_observation","expected_observation_count"
"5","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","6","20","Statements of Cash Flows","Statements of Cash Flows","financial_statement_observation","financial_statement_observation","expected_observation_count"
"6","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","Notes to Financial Statements; Organization; Summary of Significant Accounting Policies","","financial_statement_observation","source_structures|relevant_record_families"
"7","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","7","0","Contributed Services | Contributions Received","Notes to Financial Statements; Contributed Services; Contributions Received","financial_statement_observation","financial_statement_observation","page_status|expected_observation_count|source_structures"
"8","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","93","93","Investments","(3) Investments","financial_statement_observation","financial_statement_observation","source_structures"
"9","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","93","103","Investment income (losses) | Investments","(3) Investments | Investment income (losses) comprises the following for the years ended December 31, 2016 and 2015","financial_statement_observation","financial_statement_observation","expected_observation_count|source_structures"
"10","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","Notes to Financial Statements; Derivative Financial Instruments","","financial_statement_observation","source_structures|relevant_record_families"
"11","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","16","38","Fair Values of Derivative Instruments","The fair values of forward contracts, futures, options, and swaps as of December 31, 2016 and 2015 are as follows","financial_statement_observation","financial_statement_observation","expected_observation_count|source_structures"
"12","REFERENCE_ONLY","ELIGIBLE_DATA_EXTRACTED","YES","YES","0","16","","Outstanding notional purchases and sales were as follows","","position_observation","page_status|expected_observation_count|source_structures|relevant_record_families"
"13","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","5","14","Berkshire Hathaway “B” shares contributed","Berkshire Hathaway “B” shares contributed","financial_statement_observation","financial_statement_observation | position_observation","expected_observation_count|relevant_record_families"
