check_id,scope,record_id,fund_id,rule,status,actual_value,expected_value,difference,notes
REC_FA5B0B84D5EB44D98EA0,GLOBAL,FUND_MASTER,,IDENTITY_SPINE_COMPLETE,PASS,934,934,,
REC_4CB9672B9C2E142ECB3C,GLOBAL,TARGET_PERIODS,,ONE_TARGET_PERIOD_PER_FUND,PASS,934,934,,
REC_CF68C8ADD889EF50E970,GLOBAL,REAL_IDENTITIES,,NO_STANDALONE_SYNTHETIC_IDS,PASS,0,0,,
REC_8BCEA0AF9C75CDEFC467,GLOBAL,FUND_PERIODS,,EXTRACTED_PERIOD_ROWS_PRESERVED,PASS,378,378,,
REC_896A78234399B327463D,GLOBAL,FUND_CASHFLOWS,,EXTRACTED_CASHFLOW_ROWS_PRESERVED,PASS,16,16,,
REC_5F17D4AB3068EB9BDA3F,GLOBAL,FUND_HOLDINGS,,EXTRACTED_HOLDING_ROWS_PRESERVED,PASS,32,32,,
REC_757C6CF054ECEBCA447E,GLOBAL,FUND_TERMS,,ONE_COMPLETED_TERM_PER_FUND,PASS,934,934,,
REC_0BFE45E656F86FC2A857,GLOBAL,FUND_HOLDINGS,,THREE_COMPLETED_HOLDINGS_PER_FUND,PASS,2802,2802,,
REC_46DF8D1BDBBA791601C0,GLOBAL,CELL_LINEAGE,,AUGMENTATION_LINEAGE_PRESENT,PASS,49598,>0,,
REC_A74C24CCBF8045C63384,FUND_PERIOD,FPRINT_9B25F06EAD31B88B05FF,FUND_0001,FINANCIAL_IDENTITIES,PASS,0.0000000261,<=0.005,0.0000000261,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_0824DB9E761509C19331,FUND_PERIOD,FPRINT_D89D3607251F631B9972,FUND_0002,FINANCIAL_IDENTITIES,PASS,0.0000000093,<=0.005,0.0000000093,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_48FF2F8D5750E5D5B250,FUND_PERIOD,FPRINT_CD32EC1729642FDD0E79,FUND_0003,FINANCIAL_IDENTITIES,PASS,0.0000000009,<=0.005,0.0000000009,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_125D8D900D8182A8F385,FUND_PERIOD,FPRINT_CDA69B0F87B24F979F5B,FUND_0004,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_B6FE4A1807BB12EE5F3B,FUND_PERIOD,FPRINT_3070A16ABD92E47E85D9,FUND_0005,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_FB407145B829612C6D0B,FUND_PERIOD,FPRINT_EE11E0E4375F8FA0AAFA,FUND_0006,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
REC_04BA3C76A29B2711774F,FUND_PERIOD,FPRINT_5F2702995A2C854D5690,FUND_0007,FINANCIAL_IDENTITIES,PASS,0.0000000000,<=0.005,0.0000000000,"DPI, RVPI, TVPI, and commitment identities are checked together."
