"pair_id","decision","reason","contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status"
"PAIR_3AE755523813D9B10ACE6CFA","MERGE","printed and eligible, and A missed two of these five cells. SUBJECT RULING applied to every row measuring Glass Lewis's own business or activity: subject_type service_provider and subject_name Glass Lewis, the reporting entity, where B varied it per block (Glass Lewis clients, Glass Lewis research); the block is already carried in source_table, so nothing is lost. CATEGORY RULING: coverage for the extent of the firm's reach over an external universe (clients, pensions, companies, countries) and aum for the US$35 trillion the clients hold. The 200+ analysts bullet is a staff headcount, which is reach over nothing and has no home in the controlled category list, so it stays out and is recorded in the coverage row. STRUCTURE RULING, applied to every row of this document: source_section takes the slide title, source_table takes the printed blue block, figure or table heading that governs the row, and source_row_label takes the printed line or category label the value sits on. A copied the slide title into source_table, which loses which block a row belongs to and forces one row label to cover several printed lines.","2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_observation","3","NARRATIVE","GLASS LEWIS","Glass Lewis clients","1,200+ clients with US$35 trillion in assets.","","1","service_provider","Glass Lewis","","","","","","","","","","","","","coverage","clients","1,200+","clients","","","","","1,200+ clients with US$35 trillion in assets.","actual","client coverage","",""
"PAIR_F8E37F55D158EB95F277C864","MERGE","printed and eligible, and A missed two of these five cells. SUBJECT RULING applied to every row measuring Glass Lewis's own business or activity: subject_type service_provider and subject_name Glass Lewis, the reporting entity, where B varied it per block (Glass Lewis clients, Glass Lewis research); the block is already carried in source_table, so nothing is lost. CATEGORY RULING: coverage for the extent of the firm's reach over an external universe (clients, pensions, companies, countries) and aum for the US$35 trillion the clients hold. The 200+ analysts bullet is a staff headcount, which is reach over nothing and has no home in the controlled category list, so it stays out and is recorded in the coverage row. STRUCTURE RULING, applied to every row of this document: source_section takes the slide title, source_table takes the printed blue block, figure or table heading that governs the row, and source_row_label takes the printed line or category label the value sits on. A copied the slide title into source_table, which loses which block a row belongs to and forces one row label to cover several printed lines.","2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_observation","3","NARRATIVE","GLASS LEWIS","Glass Lewis clients","1,200+ clients with US$35 trillion in assets.","","2","service_provider","Glass Lewis","","","","","","","","","","","","trillion","aum","assets","US$35","","","","","","1,200+ clients with US$35 trillion in assets.","actual","client assets","",""
"PAIR_AE83B160F95964CB20F76D95","REJECT","narrative, not a provision. PROVISION RULING, decided once for the document and applied to every page: a sentence is a stewardship_policy only where it states an operative rule, threshold or obligation binding Glass Lewis, which on this deck is the separately headed 2018 guideline revisions on pages 17 and 18. Company background and policy-orientation language (Case-by-case approach with emphasis on materiality; Policy is focused on addressing governance concerns) describes what the firm is like, binds nothing, and states no threshold.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_0024ED59873FFCB8D418B7AA","MERGE","neither lane is complete. subject_name must name the document, so it takes the deck's own printed title 2017 PROXY SEASON REVIEW & 2018 PREVIEW, where A put that title in title case and B named the issuer instead; the issuer moves to manager_name. source_table stays blank because no printed table governs a document identity row, and B's literal DOCUMENT is not a printed title. Both lanes filed the row on page 3, so there is no page disagreement to settle and the row stays where they cited it.","2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","document_context","3","DOCUMENT","GLASS LEWIS","","DOCUMENT","","1","document","2017 PROXY SEASON REVIEW & 2018 PREVIEW","","","","Glass Lewis","","","","","","","","","","","","","","","","","GLASS LEWIS","actual","document title as printed on page 1; row filed on the page both lanes cited","",""
"PAIR_1B1AE91A7DE74231D555F287","REJECT","duplicate of the same printed cell, already published from the other lane's row for it. One printed cell is one row. The kept row carries the printed block in source_table and the printed line in source_row_label under the structure ruling, which this row does not.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_8C00BE5627D15C4B04708858","MERGE","printed and eligible, and A missed two of these five cells. SUBJECT RULING applied to every row measuring Glass Lewis's own business or activity: subject_type service_provider and subject_name Glass Lewis, the reporting entity, where B varied it per block (Glass Lewis clients, Glass Lewis research); the block is already carried in source_table, so nothing is lost. CATEGORY RULING: coverage for the extent of the firm's reach over an external universe (clients, pensions, companies, countries) and aum for the US$35 trillion the clients hold. The 200+ analysts bullet is a staff headcount, which is reach over nothing and has no home in the controlled category list, so it stays out and is recorded in the coverage row. STRUCTURE RULING, applied to every row of this document: source_section takes the slide title, source_table takes the printed blue block, figure or table heading that governs the row, and source_row_label takes the printed line or category label the value sits on. A copied the slide title into source_table, which loses which block a row belongs to and forces one row label to cover several printed lines.","2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_observation","3","NARRATIVE","GLASS LEWIS","Research and policy","Guarantee recommendations on 20,000+ companies across 100 countries","","1","service_provider","Glass Lewis","","","","","","","","","","","","","coverage","companies","20,000+","companies","","","","","Guarantee recommendations on 20,000+ companies across 100 countries","actual","recommendation coverage","",""
"PAIR_B4F325AD7EC6BAAECC750E7E","MERGE","printed and eligible, and A missed two of these five cells. SUBJECT RULING applied to every row measuring Glass Lewis's own business or activity: subject_type service_provider and subject_name Glass Lewis, the reporting entity, where B varied it per block (Glass Lewis clients, Glass Lewis research); the block is already carried in source_table, so nothing is lost. CATEGORY RULING: coverage for the extent of the firm's reach over an external universe (clients, pensions, companies, countries) and aum for the US$35 trillion the clients hold. The 200+ analysts bullet is a staff headcount, which is reach over nothing and has no home in the controlled category list, so it stays out and is recorded in the coverage row. STRUCTURE RULING, applied to every row of this document: source_section takes the slide title, source_table takes the printed blue block, figure or table heading that governs the row, and source_row_label takes the printed line or category label the value sits on. A copied the slide title into source_table, which loses which block a row belongs to and forces one row label to cover several printed lines.","2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_observation","3","NARRATIVE","GLASS LEWIS","Research and policy","Guarantee recommendations on 20,000+ companies across 100 countries","","2","service_provider","Glass Lewis","","","","","","","","","","","","","coverage","countries","100","countries","","","","","Guarantee recommendations on 20,000+ companies across 100 countries","actual","geographic coverage","",""
"PAIR_A63A3F137AFC06C3235E3A5F","MERGE","printed and eligible, and A missed two of these five cells. SUBJECT RULING applied to every row measuring Glass Lewis's own business or activity: subject_type service_provider and subject_name Glass Lewis, the reporting entity, where B varied it per block (Glass Lewis clients, Glass Lewis research); the block is already carried in source_table, so nothing is lost. CATEGORY RULING: coverage for the extent of the firm's reach over an external universe (clients, pensions, companies, countries) and aum for the US$35 trillion the clients hold. The 200+ analysts bullet is a staff headcount, which is reach over nothing and has no home in the controlled category list, so it stays out and is recorded in the coverage row. STRUCTURE RULING, applied to every row of this document: source_section takes the slide title, source_table takes the printed blue block, figure or table heading that governs the row, and source_row_label takes the printed line or category label the value sits on. A copied the slide title into source_table, which loses which block a row belongs to and forces one row label to cover several printed lines.","2026-08-22.2","SRC151","5cc8128360b5ed8c4cc0ad7d9f9b52cb19de87d105ed8a745ffd0db6e53373e3","Stewardship_Proxy_Report","07-institutional-mission","SECONDARY","ADJUDICATED","stewardship_observation","3","NARRATIVE","GLASS LEWIS","Glass Lewis clients","Majority of world’s largest pensions, mutual funds and asset managers including 9 of the 15 largest pensions in the United States.","","1","service_provider","Glass Lewis","","","","","","","","","","","","","coverage","largest pensions in the United States","9 of the 15","pensions","","","","","9 of the 15 largest pensions in the United States.","actual","client coverage","",""
"PAIR_E64987176BF56091F7C1EA96","REJECT","narrative, not a provision. PROVISION RULING, decided once for the document and applied to every page: a sentence is a stewardship_policy only where it states an operative rule, threshold or obligation binding Glass Lewis, which on this deck is the separately headed 2018 guideline revisions on pages 17 and 18. Company background and policy-orientation language (Case-by-case approach with emphasis on materiality; Policy is focused on addressing governance concerns) describes what the firm is like, binds nothing, and states no threshold.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_93D764CAA4EC95E652C6996D","REJECT","duplicate of the same printed cell, already published from the other lane's row for it. One printed cell is one row. The kept row carries the printed block in source_table and the printed line in source_row_label under the structure ruling, which this row does not.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
