"source_page","a_page_status","b_page_status","a_layout_checked","b_layout_checked","a_expected_observation_count","b_expected_observation_count","a_source_structures","b_source_structures","a_relevant_record_families","b_relevant_record_families","difference_fields"
"1","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","2017 PROXY SEASON REVIEW & 2018 PREVIEW","","","source_structures"
"2","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","AGENDA","2017 Proxy Season Review | 2018 Proxy Season Preview | AGENDA | Glass Lewis | Questions & Follow Up","","","source_structures"
"3","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","4","8","GLASS LEWIS","DOCUMENT | Glass Lewis clients | Research and policy | What we do","document_context | stewardship_observation","document_context | stewardship_observation | stewardship_policy","expected_observation_count|source_structures|relevant_record_families"
"4","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","2","5","ENGAGEMENT & EMPHASIS ON STEWARDSHIP","Emphasis on Investor Stewardship | Engagement is a growing focus for investors","stewardship_observation","stewardship_observation | stewardship_policy","expected_observation_count|source_structures|relevant_record_families"
"7","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","YES","YES","0","5","2017 SHAREHOLDER PROPOSALS BY CATEGORY","2017 SHAREHOLDER PROPOSALS BY CATEGORY","","stewardship_observation","page_status|expected_observation_count|relevant_record_families"
"8","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","2","3","SHAREHOLDER PROPOSAL HIGHLIGHTS","Focus on Climate Disclosure | Significant decline in compensation-related proposals","stewardship_observation","stewardship_observation","expected_observation_count|source_structures"
"9","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","1","1","ELECTION OF DIRECTORS","NYC Comptroller’s Board Accountability Project 2.0","stewardship_observation","stewardship_observation","source_structures"
"10","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","6","14","Vote Results","DRIVERS OF MAJORITY OPPOSITION TO DIRECTORS | Vote Results","stewardship_observation","stewardship_observation","expected_observation_count|source_structures"
"11","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","YES","YES","0","25","A WELLS FARGO WAKE UP CALL!","A WELLS FARGO WAKE UP CALL! | Shareholder support for Wells Fargo board wanes","","stewardship_observation","page_status|expected_observation_count|source_structures|relevant_record_families"
"12","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","8","8","EXECUTIVE COMPENSATION","High volume SOP year | Other Compensation Proposals | Say on Pay Votes in 2017","stewardship_observation","stewardship_observation","source_structures"
"15","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","2018 PROXY SEASON KEY TOPICS","2018 PROXY SEASON KEY TOPICS | Activism | Director Elections | Dual-Class Share Structures | Executive Compensation | Shareholder Proposals","","","source_structures"
"17","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","6","6","2018 GUIDELINE REVISIONS – UNITED STATES","Board Gender Diversity | Board Responsiveness | CEO Pay Ratio | Dual-Class Share Structures | Virtual Shareholder Meetings","stewardship_policy","stewardship_policy","source_structures"
"18","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","4","4","2018 GUIDELINE REVISIONS - INTERNATIONAL","Board responsiveness | Dual-Class Share Structures | Election of directors | Executive Compensation","stewardship_policy","stewardship_policy","source_structures"
"19","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","QUESTIONS & FOLLOW UP","QUESTIONS & FOLLOW UP","","","DETERMINISTIC_SAMPLE"
