target_id,target_kind,canonical_name,printed_name_primary,legal_name,company_entity_id,investee_fund_id,parent_target_id,sector,canonical_sector,sub_sector,country,identity_status,identity_confidence,identity_confidence_basis,identity_confidence_reason,provenance_type,synthetic_parameter_set_id,record_status,created_at
TARGET_COMPANY_SYNTH_000001_01,PORTFOLIO_COMPANY,Synthetic Portfolio Company 000001-01,Synthetic Portfolio Company 000001-01,,COMPANY_SYNTH_000001_01,,,Energy Transition,,,North America,RESOLVED,HIGH,generated holding identity,The generated holding supplies one explicit portfolio company identity or name.,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
TARGET_COMPANY_SYNTH_000001_02,PORTFOLIO_COMPANY,Synthetic Portfolio Company 000001-02,Synthetic Portfolio Company 000001-02,,COMPANY_SYNTH_000001_02,,,Consumer,,,North America,RESOLVED,HIGH,generated holding identity,The generated holding supplies one explicit portfolio company identity or name.,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
TARGET_COMPANY_SYNTH_000001_03,PORTFOLIO_COMPANY,Synthetic Portfolio Company 000001-03,Synthetic Portfolio Company 000001-03,,COMPANY_SYNTH_000001_03,,,Software,,,North America,RESOLVED,HIGH,generated holding identity,The generated holding supplies one explicit portfolio company identity or name.,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
TARGET_COMPANY_SYNTH_000001_04,PORTFOLIO_COMPANY,Synthetic Portfolio Company 000001-04,Synthetic Portfolio Company 000001-04,,COMPANY_SYNTH_000001_04,,,Industrials,,,North America,RESOLVED,HIGH,generated holding identity,The generated holding supplies one explicit portfolio company identity or name.,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
TARGET_COMPANY_SYNTH_000001_05,PORTFOLIO_COMPANY,Synthetic Portfolio Company 000001-05,Synthetic Portfolio Company 000001-05,,COMPANY_SYNTH_000001_05,,,Industrials,,,North America,RESOLVED,HIGH,generated holding identity,The generated holding supplies one explicit portfolio company identity or name.,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
TARGET_COMPANY_SYNTH_000001_06,PORTFOLIO_COMPANY,Synthetic Portfolio Company 000001-06,Synthetic Portfolio Company 000001-06,,COMPANY_SYNTH_000001_06,,,Business Services,,,North America,RESOLVED,HIGH,generated holding identity,The generated holding supplies one explicit portfolio company identity or name.,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
TARGET_COMPANY_SYNTH_000001_07,PORTFOLIO_COMPANY,Synthetic Portfolio Company 000001-07,Synthetic Portfolio Company 000001-07,,COMPANY_SYNTH_000001_07,,,Software,,,North America,RESOLVED,HIGH,generated holding identity,The generated holding supplies one explicit portfolio company identity or name.,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
TARGET_COMPANY_SYNTH_000002_01,PORTFOLIO_COMPANY,Synthetic Portfolio Company 000002-01,Synthetic Portfolio Company 000002-01,,COMPANY_SYNTH_000002_01,,,Energy Transition,,,North America,RESOLVED,HIGH,generated holding identity,The generated holding supplies one explicit portfolio company identity or name.,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
TARGET_COMPANY_SYNTH_000002_02,PORTFOLIO_COMPANY,Synthetic Portfolio Company 000002-02,Synthetic Portfolio Company 000002-02,,COMPANY_SYNTH_000002_02,,,Energy Transition,,,North America,RESOLVED,HIGH,generated holding identity,The generated holding supplies one explicit portfolio company identity or name.,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
TARGET_COMPANY_SYNTH_000002_03,PORTFOLIO_COMPANY,Synthetic Portfolio Company 000002-03,Synthetic Portfolio Company 000002-03,,COMPANY_SYNTH_000002_03,,,Healthcare,,,North America,RESOLVED,HIGH,generated holding identity,The generated holding supplies one explicit portfolio company identity or name.,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
TARGET_COMPANY_SYNTH_000002_04,PORTFOLIO_COMPANY,Synthetic Portfolio Company 000002-04,Synthetic Portfolio Company 000002-04,,COMPANY_SYNTH_000002_04,,,Healthcare,,,North America,RESOLVED,HIGH,generated holding identity,The generated holding supplies one explicit portfolio company identity or name.,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
TARGET_COMPANY_SYNTH_000002_05,PORTFOLIO_COMPANY,Synthetic Portfolio Company 000002-05,Synthetic Portfolio Company 000002-05,,COMPANY_SYNTH_000002_05,,,Consumer,,,North America,RESOLVED,HIGH,generated holding identity,The generated holding supplies one explicit portfolio company identity or name.,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
TARGET_COMPANY_SYNTH_000003_01,PORTFOLIO_COMPANY,Synthetic Portfolio Company 000003-01,Synthetic Portfolio Company 000003-01,,COMPANY_SYNTH_000003_01,,,Consumer,,,North America,RESOLVED,HIGH,generated holding identity,The generated holding supplies one explicit portfolio company identity or name.,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
TARGET_COMPANY_SYNTH_000003_02,PORTFOLIO_COMPANY,Synthetic Portfolio Company 000003-02,Synthetic Portfolio Company 000003-02,,COMPANY_SYNTH_000003_02,,,Consumer,,,North America,RESOLVED,HIGH,generated holding identity,The generated holding supplies one explicit portfolio company identity or name.,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
TARGET_COMPANY_SYNTH_000003_03,PORTFOLIO_COMPANY,Synthetic Portfolio Company 000003-03,Synthetic Portfolio Company 000003-03,,COMPANY_SYNTH_000003_03,,,Consumer,,,North America,RESOLVED,HIGH,generated holding identity,The generated holding supplies one explicit portfolio company identity or name.,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
TARGET_COMPANY_SYNTH_000003_04,PORTFOLIO_COMPANY,Synthetic Portfolio Company 000003-04,Synthetic Portfolio Company 000003-04,,COMPANY_SYNTH_000003_04,,,Consumer,,,North America,RESOLVED,HIGH,generated holding identity,The generated holding supplies one explicit portfolio company identity or name.,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
TARGET_COMPANY_SYNTH_000004_01,PORTFOLIO_COMPANY,Synthetic Portfolio Company 000004-01,Synthetic Portfolio Company 000004-01,,COMPANY_SYNTH_000004_01,,,Consumer,,,North America,RESOLVED,HIGH,generated holding identity,The generated holding supplies one explicit portfolio company identity or name.,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
TARGET_COMPANY_SYNTH_000004_02,PORTFOLIO_COMPANY,Synthetic Portfolio Company 000004-02,Synthetic Portfolio Company 000004-02,,COMPANY_SYNTH_000004_02,,,Healthcare,,,North America,RESOLVED,HIGH,generated holding identity,The generated holding supplies one explicit portfolio company identity or name.,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
