owner_id,owner_kind,owner_role,canonical_name,source_entity_id,owner_fund_id,parent_owner_id,identity_status,identity_confidence,identity_confidence_basis,identity_confidence_reason,decision_id,provenance_type,source_document_id,source_page,source_anchor,synthetic_parameter_set_id,record_status,created_at
OWNER_FUND_SYNTH_000001,fund,REPORTING_FUND,Synthetic Buyout Fund 0001,FUND_SYNTH_000001,FUND_SYNTH_000001,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000002,fund,REPORTING_FUND,Synthetic Infrastructure Fund 0002,FUND_SYNTH_000002,FUND_SYNTH_000002,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000003,fund,REPORTING_FUND,Synthetic Venture Fund 0003,FUND_SYNTH_000003,FUND_SYNTH_000003,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000004,fund,REPORTING_FUND,Synthetic Venture Fund 0004,FUND_SYNTH_000004,FUND_SYNTH_000004,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000005,fund,REPORTING_FUND,Synthetic Real Estate Fund 0005,FUND_SYNTH_000005,FUND_SYNTH_000005,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000006,fund,REPORTING_FUND,Synthetic Buyout Fund 0006,FUND_SYNTH_000006,FUND_SYNTH_000006,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000007,fund,REPORTING_FUND,Synthetic Growth Fund 0007,FUND_SYNTH_000007,FUND_SYNTH_000007,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000008,fund,REPORTING_FUND,Synthetic Venture Fund 0008,FUND_SYNTH_000008,FUND_SYNTH_000008,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000009,fund,REPORTING_FUND,Synthetic Venture Fund 0009,FUND_SYNTH_000009,FUND_SYNTH_000009,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000010,fund,REPORTING_FUND,Synthetic Fund Of Funds Fund 0010,FUND_SYNTH_000010,FUND_SYNTH_000010,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000011,fund,REPORTING_FUND,Synthetic Private Credit Fund 0011,FUND_SYNTH_000011,FUND_SYNTH_000011,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000012,fund,REPORTING_FUND,Synthetic Buyout Fund 0012,FUND_SYNTH_000012,FUND_SYNTH_000012,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000013,fund,REPORTING_FUND,Synthetic Buyout Fund 0013,FUND_SYNTH_000013,FUND_SYNTH_000013,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000014,fund,REPORTING_FUND,Synthetic Fund Of Funds Fund 0014,FUND_SYNTH_000014,FUND_SYNTH_000014,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000015,fund,REPORTING_FUND,Synthetic Buyout Fund 0015,FUND_SYNTH_000015,FUND_SYNTH_000015,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000016,fund,REPORTING_FUND,Synthetic Growth Fund 0016,FUND_SYNTH_000016,FUND_SYNTH_000016,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000017,fund,REPORTING_FUND,Synthetic Private Credit Fund 0017,FUND_SYNTH_000017,FUND_SYNTH_000017,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
OWNER_FUND_SYNTH_000018,fund,REPORTING_FUND,Synthetic Buyout Fund 0018,FUND_SYNTH_000018,FUND_SYNTH_000018,,RESOLVED,HIGH,fund_master.fund_id,The generated holding owner is the fund_id carried by fund_holdings.,GENERATED_FROM_FUND_MASTER,SYNTHETIC,,,,SYNTH_ASSUMED_DEMO_V1,ACTIVE,
