instrument_id,target_id,instrument_kind,security_title_raw,security_type_raw,currency,seniority,secured_status,stated_rate,rate_type,rate_basis_raw,spread_bps,maturity_date_raw,maturity_date,identifier_type,identifier_value,instrument_status,classification_confidence,classification_confidence_basis,classification_confidence_reason,provenance_type,synthetic_parameter_set_id,record_status
NORM_INSTR_SYNTH_000001_01,TARGET_COMPANY_SYNTH_000001_01,LOAN,Synthetic Instrument 000001-01,Unitranche,USD,,,0.08840250,,,500,2022-12-31,2022-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000001_02,TARGET_COMPANY_SYNTH_000001_02,LOAN,Synthetic Instrument 000001-02,Senior Debt,USD,,,0.09079397,,,450,2024-12-31,2024-12-31,,,ACTIVE,HIGH,generated security_type,Senior Debt,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000001_03,TARGET_COMPANY_SYNTH_000001_03,LOAN,Synthetic Instrument 000001-03,Senior Debt,USD,,,0.11099599,,,725,2025-12-31,2025-12-31,,,ACTIVE,HIGH,generated security_type,Senior Debt,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000001_04,TARGET_COMPANY_SYNTH_000001_04,LOAN,Synthetic Instrument 000001-04,Unitranche,USD,,,0.09876017,,,625,2025-12-31,2025-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000001_05,TARGET_COMPANY_SYNTH_000001_05,PREFERRED_EQUITY,Synthetic Instrument 000001-05,Preferred Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Preferred Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000001_06,TARGET_COMPANY_SYNTH_000001_06,PREFERRED_EQUITY,Synthetic Instrument 000001-06,Preferred Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Preferred Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000001_07,TARGET_COMPANY_SYNTH_000001_07,OTHER_EQUITY,Synthetic Instrument 000001-07,Equity,USD,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000002_01,TARGET_COMPANY_SYNTH_000002_01,LOAN,Synthetic Instrument 000002-01,Unitranche,EUR,,,0.10019490,,,350,2028-12-31,2028-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000002_02,TARGET_COMPANY_SYNTH_000002_02,LOAN,Synthetic Instrument 000002-02,Unitranche,EUR,,,0.07771931,,,375,2029-12-31,2029-12-31,,,ACTIVE,HIGH,generated security_type,Unitranche,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
NORM_INSTR_SYNTH_000002_03,TARGET_COMPANY_SYNTH_000002_03,PREFERRED_EQUITY,Synthetic Instrument 000002-03,Preferred Equity,EUR,,,,,,,,,,,ACTIVE,HIGH,generated security_type,Preferred Equity,SYNTHETIC,SYNTH_ASSUMED_DEMO_V1,ACTIVE
