parameter_id,parameter_set_id,strategy,sub_strategy,parameter_name,value_numeric,value_text,unit,provenance_type,source_document_id,source_page,source_anchor,formula_id,input_record_ids,assumption_basis,adjudication_status,active
PAR_ASSUMED_BUYOUT_CARRY_RATE,SYNTH_ASSUMED_DEMO_V1,buyout,,carry_rate,0.2,,decimal,ASSUMED,,,,,,Demonstration-only private-markets range selected to exercise pipeline identities; replace with adjudicated source calibration.,NOT_APPLICABLE,true
PAR_ASSUMED_BUYOUT_COMMITMENT_RATIO,SYNTH_ASSUMED_DEMO_V1,buyout,,commitment_ratio,1,,decimal,ASSUMED,,,,,,Demonstration-only private-markets range selected to exercise pipeline identities; replace with adjudicated source calibration.,NOT_APPLICABLE,true
PAR_ASSUMED_BUYOUT_DOMICILE,SYNTH_ASSUMED_DEMO_V1,buyout,,domicile,,"Delaware, US",text,ASSUMED,,,,,,Demonstration-only private-markets range selected to exercise pipeline identities; replace with adjudicated source calibration.,NOT_APPLICABLE,true
PAR_ASSUMED_BUYOUT_DPI_MEAN,SYNTH_ASSUMED_DEMO_V1,buyout,,dpi_mean,1.68,,text,ASSUMED,,,,,,Demonstration-only private-markets range selected to exercise pipeline identities; replace with adjudicated source calibration.,NOT_APPLICABLE,true
PAR_ASSUMED_BUYOUT_DPI_SD,SYNTH_ASSUMED_DEMO_V1,buyout,,dpi_sd,0.34,,decimal,ASSUMED,,,,,,Demonstration-only private-markets range selected to exercise pipeline identities; replace with adjudicated source calibration.,NOT_APPLICABLE,true
PAR_ASSUMED_BUYOUT_EXTENSION_YEARS,SYNTH_ASSUMED_DEMO_V1,buyout,,extension_years,2,,years,ASSUMED,,,,,,Demonstration-only private-markets range selected to exercise pipeline identities; replace with adjudicated source calibration.,NOT_APPLICABLE,true
PAR_ASSUMED_BUYOUT_FUND_SIZE_CV,SYNTH_ASSUMED_DEMO_V1,buyout,,fund_size_cv,0.45,,decimal,ASSUMED,,,,,,Demonstration-only private-markets range selected to exercise pipeline identities; replace with adjudicated source calibration.,NOT_APPLICABLE,true
PAR_ASSUMED_BUYOUT_FUND_SIZE_MEAN,SYNTH_ASSUMED_DEMO_V1,buyout,,fund_size_mean,650,,USD_millions,ASSUMED,,,,,,Demonstration-only private-markets range selected to exercise pipeline identities; replace with adjudicated source calibration.,NOT_APPLICABLE,true
PAR_ASSUMED_BUYOUT_FUND_TERM_YEARS,SYNTH_ASSUMED_DEMO_V1,buyout,,fund_term_years,10,,years,ASSUMED,,,,,,Demonstration-only private-markets range selected to exercise pipeline identities; replace with adjudicated source calibration.,NOT_APPLICABLE,true
PAR_ASSUMED_BUYOUT_GEOGRAPHY,SYNTH_ASSUMED_DEMO_V1,buyout,,geography,,North America,text,ASSUMED,,,,,,Demonstration-only private-markets range selected to exercise pipeline identities; replace with adjudicated source calibration.,NOT_APPLICABLE,true
