allocation_id,portfolio_id,as_of_date,fund_id,strategy,sub_strategy,target_weight,minimum_weight,maximum_weight,commitment_amount,nav_amount,unfunded_amount,expected_return,expected_volatility,liquidity_score,provenance_type,source_document_id,synthetic_parameter_set_id,optimization_run_id,record_status
ALLOC_SYNTH_0000001,PORTFOLIO_SYNTH_EQUAL_WEIGHT,2026-06-30,FUND_SYNTH_000001,buyout,middle_market,0.00125000,0.00000000,0.05000000,1257.04,495.49,342.62,0.10535962,0.18000000,0.35000000,SYNTHETIC,,SYNTH_ASSUMED_DEMO_V1,NOT_OPTIMIZED_BASELINE_EQUAL_WEIGHT,ACTIVE
ALLOC_SYNTH_0000002,PORTFOLIO_SYNTH_EQUAL_WEIGHT,2026-06-30,FUND_SYNTH_000002,infrastructure,core_plus,0.00125000,0.00000000,0.05000000,1140.27,685.15,573.58,0.16941179,0.13000000,0.38000000,SYNTHETIC,,SYNTH_ASSUMED_DEMO_V1,NOT_OPTIMIZED_BASELINE_EQUAL_WEIGHT,ACTIVE
ALLOC_SYNTH_0000003,PORTFOLIO_SYNTH_EQUAL_WEIGHT,2026-06-30,FUND_SYNTH_000003,venture,early_stage,0.00125000,0.00000000,0.05000000,131.60,64.35,29.96,0.19117329,0.34000000,0.20000000,SYNTHETIC,,SYNTH_ASSUMED_DEMO_V1,NOT_OPTIMIZED_BASELINE_EQUAL_WEIGHT,ACTIVE
ALLOC_SYNTH_0000004,PORTFOLIO_SYNTH_EQUAL_WEIGHT,2026-06-30,FUND_SYNTH_000004,venture,early_stage,0.00125000,0.00000000,0.05000000,317.63,148.72,39.88,0.20997213,0.34000000,0.20000000,SYNTHETIC,,SYNTH_ASSUMED_DEMO_V1,NOT_OPTIMIZED_BASELINE_EQUAL_WEIGHT,ACTIVE
ALLOC_SYNTH_0000005,PORTFOLIO_SYNTH_EQUAL_WEIGHT,2026-06-30,FUND_SYNTH_000005,real_estate,value_add,0.00125000,0.00000000,0.05000000,523.82,184.13,142.04,0.02147660,0.16000000,0.32000000,SYNTHETIC,,SYNTH_ASSUMED_DEMO_V1,NOT_OPTIMIZED_BASELINE_EQUAL_WEIGHT,ACTIVE
ALLOC_SYNTH_0000006,PORTFOLIO_SYNTH_EQUAL_WEIGHT,2026-06-30,FUND_SYNTH_000006,buyout,middle_market,0.00125000,0.00000000,0.05000000,499.78,64.05,51.36,0.06107830,0.18000000,0.35000000,SYNTHETIC,,SYNTH_ASSUMED_DEMO_V1,NOT_OPTIMIZED_BASELINE_EQUAL_WEIGHT,ACTIVE
ALLOC_SYNTH_0000007,PORTFOLIO_SYNTH_EQUAL_WEIGHT,2026-06-30,FUND_SYNTH_000007,growth,growth_equity,0.00125000,0.00000000,0.05000000,262.48,50.76,13.98,0.06714292,0.24000000,0.30000000,SYNTHETIC,,SYNTH_ASSUMED_DEMO_V1,NOT_OPTIMIZED_BASELINE_EQUAL_WEIGHT,ACTIVE
ALLOC_SYNTH_0000008,PORTFOLIO_SYNTH_EQUAL_WEIGHT,2026-06-30,FUND_SYNTH_000008,venture,early_stage,0.00125000,0.00000000,0.05000000,325.61,156.63,126.00,0.00463530,0.34000000,0.20000000,SYNTHETIC,,SYNTH_ASSUMED_DEMO_V1,NOT_OPTIMIZED_BASELINE_EQUAL_WEIGHT,ACTIVE
ALLOC_SYNTH_0000009,PORTFOLIO_SYNTH_EQUAL_WEIGHT,2026-06-30,FUND_SYNTH_000009,venture,early_stage,0.00125000,0.00000000,0.05000000,173.03,44.97,28.79,0.08781437,0.34000000,0.20000000,SYNTHETIC,,SYNTH_ASSUMED_DEMO_V1,NOT_OPTIMIZED_BASELINE_EQUAL_WEIGHT,ACTIVE
ALLOC_SYNTH_0000010,PORTFOLIO_SYNTH_EQUAL_WEIGHT,2026-06-30,FUND_SYNTH_000010,fund_of_funds,diversified,0.00125000,0.00000000,0.05000000,491.60,57.21,38.35,0.02695320,0.14000000,0.45000000,SYNTHETIC,,SYNTH_ASSUMED_DEMO_V1,NOT_OPTIMIZED_BASELINE_EQUAL_WEIGHT,ACTIVE
ALLOC_SYNTH_0000011,PORTFOLIO_SYNTH_EQUAL_WEIGHT,2026-06-30,FUND_SYNTH_000011,private_credit,direct_lending,0.00125000,0.00000000,0.05000000,418.95,245.70,165.46,0.08965128,0.10000000,0.65000000,SYNTHETIC,,SYNTH_ASSUMED_DEMO_V1,NOT_OPTIMIZED_BASELINE_EQUAL_WEIGHT,ACTIVE
ALLOC_SYNTH_0000012,PORTFOLIO_SYNTH_EQUAL_WEIGHT,2026-06-30,FUND_SYNTH_000012,buyout,middle_market,0.00125000,0.00000000,0.05000000,240.37,128.86,114.00,0.08791896,0.18000000,0.35000000,SYNTHETIC,,SYNTH_ASSUMED_DEMO_V1,NOT_OPTIMIZED_BASELINE_EQUAL_WEIGHT,ACTIVE
ALLOC_SYNTH_0000013,PORTFOLIO_SYNTH_EQUAL_WEIGHT,2026-06-30,FUND_SYNTH_000013,buyout,middle_market,0.00125000,0.00000000,0.05000000,566.72,60.03,93.78,0.03876007,0.18000000,0.35000000,SYNTHETIC,,SYNTH_ASSUMED_DEMO_V1,NOT_OPTIMIZED_BASELINE_EQUAL_WEIGHT,ACTIVE
