input_value,output_value,decided_by,evidence,note,group,channel
fund_legal_name,"\b[A-Z][A-Za-z&.,'\- ]{3,60}(?:Fund|Partners|Partnership|Trust)[A-Za-z0-9 ,.\-]{0,20}(?:L\.?P\.?|LLC|L\.?L\.?C\.?|Ltd|Limited|Inc\.?)\b","pipeline literal, release tooling",src/catalog/census_field_labels.py:31,,identity,txt
manager_general_partner,\bGeneral Partner\b,"pipeline literal, release tooling",src/catalog/census_field_labels.py:31,,identity,txt
manager_investment_manager,\bInvestment (?:Manager|Adviser|Advisor)\b,"pipeline literal, release tooling",src/catalog/census_field_labels.py:31,,identity,txt
manager_managed_by,\bmanaged by\b,"pipeline literal, release tooling",src/catalog/census_field_labels.py:31,,identity,txt
lp_name_limited_partner,\bLimited Partner\b,"pipeline literal, release tooling",src/catalog/census_field_labels.py:31,,identity,txt
share_class_name,\bClass\s+[A-Z](?:-\d)?\b,"pipeline literal, release tooling",src/catalog/census_field_labels.py:31,,identity,txt
portfolio_company_name,\bPortfolio Compan(?:y|ies)\b,"pipeline literal, release tooling",src/catalog/census_field_labels.py:31,,identity,pdf_table
fund_domicile,\b(?:organized|formed|incorporated|domiciled)\s+(?:under|in|pursuant)\b,"pipeline literal, release tooling",src/catalog/census_field_labels.py:31,,identity,txt
vintage_year,\bVintage\s*(?:Year)?\b,"pipeline literal, release tooling",src/catalog/census_field_labels.py:31,,identity,both
strategy,\b(?:Strategy|Asset Class|Sub-?Strategy)\b,"pipeline literal, release tooling",src/catalog/census_field_labels.py:31,,identity,both
geography,\b(?:Geograph|Region|Country of|North America|Western Europe|Asia[- ]Pacific)\w*\b,"pipeline literal, release tooling",src/catalog/census_field_labels.py:31,,identity,both
as_of_date,"\bas of\s+(?:the\s+)?[A-Z][a-z]+\s+\d{1,2},\s*\d{4}","pipeline literal, release tooling",src/catalog/census_field_labels.py:31,,date,txt
period_end_date,"\b(?:quarter|period|year)\s+ended?\s+[A-Z][a-z]+\s+\d{1,2},\s*\d{4}","pipeline literal, release tooling",src/catalog/census_field_labels.py:31,,date,txt
