input_value,output_value,decided_by,evidence,note
a,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
after,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
an,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
and,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
as,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
at,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
before,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
but,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
by,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
for,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
from,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
in,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
into,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
is,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
it,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
its,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
of,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
on,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
or,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
over,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
than,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
that,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
the,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
then,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
these,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
this,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
those,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
to,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
under,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
up,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
was,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
were,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
with,stopword,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:106,
