input_value,output_value,decided_by,evidence,note,context
AGG,FIXED_INCOME,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
EMB,FIXED_INCOME,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
HYG,FIXED_INCOME,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
IEF,FIXED_INCOME,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
LQD,FIXED_INCOME,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
MUB,FIXED_INCOME,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
SHY,FIXED_INCOME,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
TIP,FIXED_INCOME,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
TLT,FIXED_INCOME,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
EEM,INTERNATIONAL_EQUITY,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
EFA,INTERNATIONAL_EQUITY,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
EPI,INTERNATIONAL_EQUITY,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
EWA,INTERNATIONAL_EQUITY,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
EWC,INTERNATIONAL_EQUITY,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
EWG,INTERNATIONAL_EQUITY,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
EWH,INTERNATIONAL_EQUITY,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
EWJ,INTERNATIONAL_EQUITY,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
EWT,INTERNATIONAL_EQUITY,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
EWU,INTERNATIONAL_EQUITY,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
EWW,INTERNATIONAL_EQUITY,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
EWZ,INTERNATIONAL_EQUITY,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
FXI,INTERNATIONAL_EQUITY,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
IEV,INTERNATIONAL_EQUITY,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
INDA,INTERNATIONAL_EQUITY,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
DBA,REAL_ASSET,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
DBC,REAL_ASSET,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
GLD,REAL_ASSET,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
IYR,REAL_ASSET,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
SLV,REAL_ASSET,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
UNG,REAL_ASSET,"pipeline literal, public-market curation",src/market_data/curate_public_markets.py:361|src/market_data/curate_public_markets.py:474,,asset_class
