input_value,output_value,decided_by,evidence,note,grain
document_context,One source-backed document identity and reporting context row.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:543,,one row per document
financial_statement_observation,A whitelisted alternative-investment financial-statement value cell.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:543,,one populated allowed source value cell
performance_observation,"A printed return, multiple, risk, valuation, or benchmark value cell.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:543,,one populated allowed source value cell
fund_economics_observation,"A printed commitment, paid-in, distribution, NAV, unfunded, multiple, or capital-account value cell.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:543,,one populated allowed source value cell
position_observation,A printed holding or private-market position measure.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:543,,one populated allowed source value cell for one named position
allocation_observation,A printed portfolio allocation amount or percentage.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:543,,one populated allowed source value cell for one allocation bucket
fee_observation,"A printed fee, carry, expense, offset, cost, rate, or benchmark value.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:543,,one populated allowed source value cell
cash_flow_observation,"A printed call, contribution, distribution, fee, expense, or other investor cash-flow value.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:543,,one populated allowed source value cell or one notice component the page states in words
nav_observation,"A printed NAV, share-class, transaction-price, component, repurchase, assumption, or sensitivity value.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:543,,one populated allowed source value cell
valuation_observation,"A printed valuation result, method, input, adjustment, frequency, or governance fact.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:543,,one printed valuation fact or one populated value cell
financing_observation,"A printed borrowing, facility, balance, rate, availability, or maturity value.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:543,,one populated allowed source value cell
legal_term,"A whitelisted fund, economic, liquidity, governance, or investor-protection term.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:543,,one printed term or one numbered provision whose primary meaning matches the whitelist
legal_clause,"A listed operative right, duty, restriction, waiver, or trigger.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:543,,one numbered or separately headed operative provision whose primary meaning matches the whitelist
ddq_quantitative_observation,A selected quantitative due-diligence fact; narrative question-and-answer transcription is excluded.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:543,,one printed quantitative answer or table value
stewardship_observation,"A printed stewardship, voting, engagement, climate, or governance metric.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:543,,one populated allowed source value cell
stewardship_policy,A concise operative stewardship policy from a named framework or policy section.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:543,,one separately headed operative policy statement
subscription_reference,A non-sensitive subscription-document reference fact; qualification narratives and personal identifiers are excluded.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:543,,one whitelisted subscription reference fact
definition_context,"One printed footnote, definition, methodology note, or legend entry, captured verbatim with the key it defines.","metric vocabulary review, 2026-09-01","SRC063 p1 footnotes; SRC457 p2 footnotes 1-4; SRC192 footnotes 1/2/4; basis_raw and condition_raw empty on 7199 of 7201 published rows",Phase 2 of the metric-vocabulary lane; extractors read these notes and previously discarded them,"one printed footnote, definition, methodology note, or legend entry"
