input_value,output_value,decided_by,evidence,note,requires_stated,carries_qualifiers
beginning_capital,beginning_nav,"pipeline literal, promotion module",src/load/promote_extracted_to_fund_level.py:81,A category absent from this matrix is a real observation with no column on the period grain; it stays in fund_observations.,,
commitment,commitment,"pipeline literal, promotion module",src/load/promote_extracted_to_fund_level.py:81,A category absent from this matrix is a real observation with no column on the period grain; it stays in fund_observations.,,
contribution,contributions_period,"pipeline literal, promotion module",src/load/promote_extracted_to_fund_level.py:81,A category absent from this matrix is a real observation with no column on the period grain; it stays in fund_observations.,,
distribution,distributions_itd,"pipeline literal, promotion module",src/load/promote_extracted_to_fund_level.py:81,A category absent from this matrix is a real observation with no column on the period grain; it stays in fund_observations.,,
dpi,dpi,"pipeline literal, promotion module",src/load/promote_extracted_to_fund_level.py:81,A category absent from this matrix is a real observation with no column on the period grain; it stays in fund_observations.,,
ending_capital,ending_nav,"pipeline literal, promotion module",src/load/promote_extracted_to_fund_level.py:81,A category absent from this matrix is a real observation with no column on the period grain; it stays in fund_observations.,,
fee,management_fee_period,"pipeline literal, promotion module",src/load/promote_extracted_to_fund_level.py:81,A category absent from this matrix is a real observation with no column on the period grain; it stays in fund_observations.,,
income,net_income_period,"pipeline literal, promotion module",src/load/promote_extracted_to_fund_level.py:81,A category absent from this matrix is a real observation with no column on the period grain; it stays in fund_observations.,,
irr,reported_irr,"promotion qualifier audit, 2026-09-02","audit/pipeline-audit/findings/a4-promotion.csv A4-02, A4-03","An internal rate of return is admitted only where the page states a fee basis; unstated counts as stated and a blank does not, so a net and a gross rate never share reported_irr unlabelled.",fee_basis,fee_basis|method
nav,nav,"pipeline literal, promotion module",src/load/promote_extracted_to_fund_level.py:81,A category absent from this matrix is a real observation with no column on the period grain; it stays in fund_observations.,,
paid_in_capital,paid_in_capital_itd,"pipeline literal, promotion module",src/load/promote_extracted_to_fund_level.py:81,A category absent from this matrix is a real observation with no column on the period grain; it stays in fund_observations.,,
realized_gain_loss,realized_gain_period,"pipeline literal, promotion module",src/load/promote_extracted_to_fund_level.py:81,A category absent from this matrix is a real observation with no column on the period grain; it stays in fund_observations.,,
recallable_distribution,recallable_distributions_itd,"pipeline literal, promotion module",src/load/promote_extracted_to_fund_level.py:81,A category absent from this matrix is a real observation with no column on the period grain; it stays in fund_observations.,,
return,period_return,"promotion qualifier audit, 2026-09-02",audit/pipeline-audit/findings/a4-promotion.csv A4-03,"A return is admitted to a period column only where the page states both a method and a fee basis; unstated counts as stated and a blank does not, so an unqualified rate stays in fund_observations.",method|fee_basis,method|fee_basis
rvpi,rvpi,"pipeline literal, promotion module",src/load/promote_extracted_to_fund_level.py:81,A category absent from this matrix is a real observation with no column on the period grain; it stays in fund_observations.,,
tvpi,tvpi,"pipeline literal, promotion module",src/load/promote_extracted_to_fund_level.py:81,A category absent from this matrix is a real observation with no column on the period grain; it stays in fund_observations.,,
unfunded_commitment,unfunded_commitment,"pipeline literal, promotion module",src/load/promote_extracted_to_fund_level.py:81,A category absent from this matrix is a real observation with no column on the period grain; it stays in fund_observations.,,
unrealized_gain_loss,unrealized_gain_period,"pipeline literal, promotion module",src/load/promote_extracted_to_fund_level.py:81,A category absent from this matrix is a real observation with no column on the period grain; it stays in fund_observations.,,
