input_value,output_value,decided_by,evidence,note,context
context_source,first_cell_in_group,"pipeline literal, wide pivot",src/flatten/pivot_wide.py:224,"The first cell of the group supplies every context column; the categories differ per cell, the context does not.",
qualifier_source,first_stated_cell_per_qualifier_group,"qualifier groups, 2026-09-03",src/flatten/pivot_wide.py:142,"A qualifier belongs to the cell that states it, and only some cells of a printed row state one, so the first stated cell fills the column instead of the first cell. Measured on the published facts, taking the first cell would have published a blank method on 72 rows, a blank value_scope on 73, and blank definition_keys on 76. The fields of one qualifier_group come from one cell, the first that states any of them in the group's order.",
qualifier_note_prefix,cells in this row state different qualifiers: ,"grouping and qualifier carry, 2026-09-02",src/flatten/pivot_wide.py:111,"Written when the cells of one row state more than one value for a qualifier, which a return and an irr sharing a printed row legitimately do.",
1,sector,"grouping and qualifier carry, 2026-09-02",src/flatten/pivot_wide.py:111,The printed company industry and the four readings of the printed groupings under one taxonomy. Measured on the published facts these never differ between the cells of one wide row.,taxonomy_column
2,canonical_asset_class,"grouping and qualifier carry, 2026-09-02",src/flatten/pivot_wide.py:111,,taxonomy_column
3,canonical_strategy,"grouping and qualifier carry, 2026-09-02",src/flatten/pivot_wide.py:111,,taxonomy_column
4,canonical_sub_strategy,"grouping and qualifier carry, 2026-09-02",src/flatten/pivot_wide.py:111,,taxonomy_column
5,canonical_sector,"grouping and qualifier carry, 2026-09-02",src/flatten/pivot_wide.py:111,,taxonomy_column
1,method,"grouping and qualifier carry, 2026-09-02",src/flatten/pivot_wide.py:111,"What a value means: the method and fee basis behind a return, the scope behind a valuation, and the printed note the cell cites.",qualifier_column
2,fee_basis,"grouping and qualifier carry, 2026-09-02",src/flatten/pivot_wide.py:111,,qualifier_column
3,definition_keys,"grouping and qualifier carry, 2026-09-02",src/flatten/pivot_wide.py:111,,qualifier_column
4,value_scope,"grouping and qualifier carry, 2026-09-02",src/flatten/pivot_wide.py:111,,qualifier_column
method,return_basis,"qualifier groups, 2026-09-03",src/flatten/pivot_wide.py:142,"The method and the fee basis describe one measure, so both are read from the first cell that states a method, or on a row with no return from the first that states a fee basis. Read one column at a time, 69 SRC457 rows carried time_weighted from their return beside unstated from the irr printed next to it, a pair no cell of the row states.",qualifier_group
fee_basis,return_basis,"qualifier groups, 2026-09-03",src/flatten/pivot_wide.py:142,,qualifier_group
definition_keys,citation,"qualifier groups, 2026-09-03",src/flatten/pivot_wide.py:142,The note a cell cites is read from the first cell that cites one.,qualifier_group
value_scope,valuation,"qualifier groups, 2026-09-03",src/flatten/pivot_wide.py:142,The scope behind a valuation is read from the first cell that states one.,qualifier_group
