input_value,output_value,decided_by,evidence,note
fund_economics_observation,"Commitment, contributed/paid-in, distributed, remaining or ending value, and the multiples or IRR reported beside them","pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:799,
performance_observation,"Period or annualised returns (1-Yr, 3-Yr, 5-Yr, ITD), benchmark rows, or risk statistics, with no capital-account columns","pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:799,
position_observation,"One row per **named individual** security, holding, or position, with cost, quantity, or market value","pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:799,
financial_statement_observation,"Statement or note line items: totals, subtotals, capital-account movements, or investments **aggregated by asset class** instead of listed individually","pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:799,
fee_observation,"Fees, carried interest, partnership expenses, offsets, rebates, cost ratios, or a fee rate and the basis it is charged on","pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:799,
financing_observation,"Credit facility or borrowing terms: facility commitment, outstanding balance, availability, interest rate, maturity","pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:799,
cash_flow_observation,"A dated call or distribution and its components: capital call, contribution, distribution, recallable amount, expense","pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:799,
allocation_observation,"Target and actual allocation by bucket, with the market value or weight reported against each","pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:799,
nav_observation,"Net asset value and its components: NAV per share or unit, shares outstanding, repurchase or liquidity limits","pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:799,
valuation_observation,"Valuation results and how they were produced: method, frequency, valuer, oversight, independent review, resulting marks","pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:799,
ddq_quantitative_observation,"A printed quantitative answer to a due-diligence question: firm or fund AUM, counts, leverage, liquidity","pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:799,
stewardship_observation,Engagement or proxy-voting activity reported as a count or proportion,"pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:799,
stewardship_policy,A printed stewardship or voting policy statement,"pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:799,
legal_term,"A printed economic or governance term: fee rate, carry, preferred return, term length, key person","pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:799,
legal_clause,A numbered or separately headed operative provision,"pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:799,
subscription_reference,"A subscription's printed commitment, entity type, jurisdiction, or execution detail","pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:799,
definition_context,"no value columns at all: a footnote block, legend, or methodology note keyed by a printed marker","metric vocabulary review, 2026-09-01",SRC063 p1 footnotes; SRC457 p2 footnotes 1-4,one row per printed note; definition_keys carries the marker and text_raw the wording
