input_value,output_value,decided_by,evidence,note,context
"Capital Contributed, Contributed Capital, Paid-In Capital, PIC, Paid-In, Total Contributions",paid_in_capital,"pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:706|src/catalog/simple_pdf_extraction/build_csv_pipeline.py:733,"`paid_in_capital`, never `moic` (PIC is an amount, not a multiple)",paid_in_capital
Contributions for a single period or transaction row,contribution,"pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:706|src/catalog/simple_pdf_extraction/build_csv_pipeline.py:733,`contribution`,contribution
"Capital Commitment, Commitment",commitment,"pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:706|src/catalog/simple_pdf_extraction/build_csv_pipeline.py:733,`commitment`,commitment
"Distributions, Total Distributed, Capital Distributed",distribution,"pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:706|src/catalog/simple_pdf_extraction/build_csv_pipeline.py:733,`distribution`,distribution
"Ending Market Value, Market Value, Net Asset Value, NAV, Remaining Value, Reported Value",nav,"pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:706|src/catalog/simple_pdf_extraction/build_csv_pipeline.py:733,`nav` in a `fund_economics_observation` table,nav
"Ending Market Value, Market Value, Net Asset Value, NAV, Remaining Value, Reported Value",market_value,"pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:706|src/catalog/simple_pdf_extraction/build_csv_pipeline.py:733,`market_value` in a `position_observation` table,market_value
"Fair Value, Estimated Fair Value",fair_value,"pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:706|src/catalog/simple_pdf_extraction/build_csv_pipeline.py:733,`fair_value` in `position_observation`,fair_value
"Fair Value, Estimated Fair Value",investment_fair_value,"pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:706|src/catalog/simple_pdf_extraction/build_csv_pipeline.py:733,`investment_fair_value` in `financial_statement_observation`,investment_fair_value
"Fair Value, Estimated Fair Value",nav,"pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:706|src/catalog/simple_pdf_extraction/build_csv_pipeline.py:733,`nav` in `fund_economics_observation`,nav
"Cost, Cost Basis",cost,"pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:706|src/catalog/simple_pdf_extraction/build_csv_pipeline.py:733,`cost`,cost
"Net IRR, IRR, Since-Inception IRR",irr,"pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:706|src/catalog/simple_pdf_extraction/build_csv_pipeline.py:733,`irr`,irr
"TVPI, Total Value to Paid-In, Investment Multiple",tvpi,"pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:706|src/catalog/simple_pdf_extraction/build_csv_pipeline.py:733,`tvpi`,tvpi
"DPI, Distributions to Paid-In, Realization Multiple",dpi,"pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:706|src/catalog/simple_pdf_extraction/build_csv_pipeline.py:733,`dpi`,dpi
"Unfunded, Remaining Commitment, Uncalled Capital",unfunded_commitment,"pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:706|src/catalog/simple_pdf_extraction/build_csv_pipeline.py:733,`unfunded_commitment`,unfunded_commitment
"Value Added, Excess Return, Difference, Relative Return, Over/Under Benchmark: a row that is the portfolio's return minus its benchmark's",alpha,"pipeline literal, dispatch builder",src/catalog/simple_pdf_extraction/build_csv_pipeline.py:706|src/catalog/simple_pdf_extraction/build_csv_pipeline.py:733,"`alpha`, never `return`",alpha
