input_value,output_value,decided_by,evidence,note,rule_set
R01_NONNEGATIVE_BALANCES,error,"pipeline literal, quality rules",src/quality/run_fund_checks.py:34,,core
R02_TVPI_COMPONENTS,error,"pipeline literal, quality rules",src/quality/run_fund_checks.py:34,,core
R03_DPI_RECOMPUTE,error,"pipeline literal, quality rules",src/quality/run_fund_checks.py:34,,core
R04_RVPI_RECOMPUTE,error,"pipeline literal, quality rules",src/quality/run_fund_checks.py:34,,core
R05_TVPI_RECOMPUTE,error,"pipeline literal, quality rules",src/quality/run_fund_checks.py:34,,core
R06_COMMITMENT_RECONCILIATION,warning,"pipeline literal, quality rules",src/quality/run_fund_checks.py:34,,core
R07_NAV_ROLLFORWARD,error,"pipeline literal, quality rules",src/quality/run_fund_checks.py:34,,core
R08_XIRR_RECOMPUTE,error,"pipeline literal, quality rules",src/quality/run_fund_checks.py:34,,core
R09_VINTAGE_DATE,error,"pipeline literal, quality rules",src/quality/run_fund_checks.py:34,,core
R10_FUND_SIZE_BOUND,warning,"pipeline literal, quality rules",src/quality/run_fund_checks.py:34,,core
R11_PROVENANCE_REQUIREMENTS,error,"pipeline literal, quality rules",src/quality/run_fund_checks.py:34,,core
R12_SYNTHETIC_IDENTITY_SEPARATION,error,"pipeline literal, quality rules",src/quality/run_fund_checks.py:34,,core
R13_DUPLICATE_CASHFLOW,warning,"pipeline literal, quality rules",src/quality/run_fund_checks.py:34,,core
R14_CURRENCY_CONSISTENCY,error,"pipeline literal, quality rules",src/quality/run_fund_checks.py:34,,core
R15_CASHFLOW_SIGN_CONVENTION,error,"pipeline literal, quality rules",src/quality/run_fund_checks.py:34,,core
R16_MANAGER_IDENTITY,error,"pipeline literal, quality rules",src/quality/run_fund_checks.py:34,,extended
R17_MANAGER_AUM_NONNEGATIVE,error,"pipeline literal, quality rules",src/quality/run_fund_checks.py:34,,extended
R18_TERM_SCOPE_IDENTITY,error,"pipeline literal, quality rules",src/quality/run_fund_checks.py:34,,extended
R19_TERM_RATE_BOUNDS,error,"pipeline literal, quality rules",src/quality/run_fund_checks.py:34,,extended
R20_TERM_EFFECTIVE_RANGE,error,"pipeline literal, quality rules",src/quality/run_fund_checks.py:34,,extended
R21_CASHFLOW_DATE_LINEAGE,error,"pipeline literal, quality rules",src/quality/run_fund_checks.py:34,,extended
R22_HOLDING_INSTRUMENT_GRAIN,error,"pipeline literal, quality rules",src/quality/run_fund_checks.py:34,,extended
R23_PERIOD_SOURCE_GRAIN,error,"pipeline literal, quality rules",src/quality/run_fund_checks.py:34,,extended
