input_value,output_value,decided_by,evidence,note,product_tier
Financials,01-financials,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:18|src/catalog/simple_pdf_extraction/csv_wide_contract.py:38|src/catalog/simple_pdf_extraction/csv_wide_contract.py:43,,CORE
Performance,02-performance,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:18|src/catalog/simple_pdf_extraction/csv_wide_contract.py:38|src/catalog/simple_pdf_extraction/csv_wide_contract.py:43,,CORE
Institutional_Report,03-institutional-report,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:18|src/catalog/simple_pdf_extraction/csv_wide_contract.py:38|src/catalog/simple_pdf_extraction/csv_wide_contract.py:43,,CORE
Quarterly_Report,04-quarterly-report,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:18|src/catalog/simple_pdf_extraction/csv_wide_contract.py:38|src/catalog/simple_pdf_extraction/csv_wide_contract.py:43,,CORE
PPM,05-fund-legal-docs,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:18|src/catalog/simple_pdf_extraction/csv_wide_contract.py:38|src/catalog/simple_pdf_extraction/csv_wide_contract.py:43,,CORE
LPA,05-fund-legal-docs,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:18|src/catalog/simple_pdf_extraction/csv_wide_contract.py:38|src/catalog/simple_pdf_extraction/csv_wide_contract.py:43,,CORE
Subscription,05-fund-legal-docs,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:18|src/catalog/simple_pdf_extraction/csv_wide_contract.py:38|src/catalog/simple_pdf_extraction/csv_wide_contract.py:43,,SECONDARY
Side_Letter,05-fund-legal-docs,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:18|src/catalog/simple_pdf_extraction/csv_wide_contract.py:38|src/catalog/simple_pdf_extraction/csv_wide_contract.py:43,,CORE
DDQ,05-fund-legal-docs,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:18|src/catalog/simple_pdf_extraction/csv_wide_contract.py:38|src/catalog/simple_pdf_extraction/csv_wide_contract.py:43,,CORE
Schedule_Inv,06-statements-and-economics,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:18|src/catalog/simple_pdf_extraction/csv_wide_contract.py:38|src/catalog/simple_pdf_extraction/csv_wide_contract.py:43,,CORE
Fee_Report,06-statements-and-economics,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:18|src/catalog/simple_pdf_extraction/csv_wide_contract.py:38|src/catalog/simple_pdf_extraction/csv_wide_contract.py:43,,CORE
Valuation,06-statements-and-economics,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:18|src/catalog/simple_pdf_extraction/csv_wide_contract.py:38|src/catalog/simple_pdf_extraction/csv_wide_contract.py:43,,CORE
NAV_Statement,06-statements-and-economics,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:18|src/catalog/simple_pdf_extraction/csv_wide_contract.py:38|src/catalog/simple_pdf_extraction/csv_wide_contract.py:43,,CORE
Cash_Flow_Notice,06-statements-and-economics,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:18|src/catalog/simple_pdf_extraction/csv_wide_contract.py:38|src/catalog/simple_pdf_extraction/csv_wide_contract.py:43,,CORE
PCAP,06-statements-and-economics,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:18|src/catalog/simple_pdf_extraction/csv_wide_contract.py:38|src/catalog/simple_pdf_extraction/csv_wide_contract.py:43,,CORE
Foundations_Annual,07-institutional-mission,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:18|src/catalog/simple_pdf_extraction/csv_wide_contract.py:38|src/catalog/simple_pdf_extraction/csv_wide_contract.py:43,,SECONDARY
Stewardship_Proxy_Report,07-institutional-mission,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:18|src/catalog/simple_pdf_extraction/csv_wide_contract.py:38|src/catalog/simple_pdf_extraction/csv_wide_contract.py:43,,SECONDARY
product_tiers,CORE|SECONDARY|REFERENCE,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:43,The closed tier list.,
