input_value,output_value,decided_by,evidence,note,context
undeclared_model,UNDECLARED,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,,
-,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
--,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
?,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
agent,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
ai,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
anonymous,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
current model,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
default,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
extractor,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
llm,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
model,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
model name,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
my model,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
n/a,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
na,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
nil,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
none,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
null,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
redacted,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
self,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
tbd,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
the model,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
the model i am running as,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
the model you are running as,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
todo,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
undeclared,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
undisclosed,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
unknown,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
unnamed,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
unspecified,placeholder,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:321,A word meaning the agent did not answer; refused as a model name.,placeholder
attribution_binding,claim_at_last_write,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:352,"A row publishes under the model holding the slot when the file was last written, never the current claim.",
final_row_credit,every_credited_agent,"pipeline literal, extraction workflow",src/catalog/simple_pdf_extraction/csv_workflow.py:2343|src/catalog/simple_pdf_extraction/csv_workflow.py:2368,"source_agents such as A, B, A+B, or ADJUDICATOR name every party; each credited lane's model is named.",
restore_attribution,prior_model_on_unchanged_key,"attribution audit A2-01, 2026-09-02",src/catalog/simple_pdf_extraction/csv_workflow.restore_attribution,"A key already re-attributed by an earlier republish takes back the extractor_model of the archived prior publication the receipt ledger names, when its core fields there are identical. A key whose core fields differ was read again and keeps its current model. Restored 1,809 rows on 02-performance and 55 on 03-institutional-report; 01-financials, 04, 05, 06 and 07 had none.",
republish_attribution,frozen_per_published_key,"attribution audit A2-01, 2026-09-02",src/catalog/simple_pdf_extraction/csv_workflow.freeze_attribution,"A row whose physical key (file_id, source_page, source_row_label, source_column_label, source_occurrence, record_family) is already in the round file keeps that file's extractor_model; only a key new to the round derives one. A coverage row is keyed by file_id and source_page. Republishing a route re-attributed every document because model_that_wrote reads the candidate file's mtime and 46 candidate files share one bulk mtime.",
