input_value,output_value,decided_by,evidence,note
General Partner,locus_label,"pipeline literal, release tooling",src/catalog/sweep_manager_loci.py:45,
Managing General Partner,locus_label,"pipeline literal, release tooling",src/catalog/sweep_manager_loci.py:45,
Investment Manager,locus_label,"pipeline literal, release tooling",src/catalog/sweep_manager_loci.py:45,
Investment Adviser,locus_label,"pipeline literal, release tooling",src/catalog/sweep_manager_loci.py:45,
Investment Advisor,locus_label,"pipeline literal, release tooling",src/catalog/sweep_manager_loci.py:45,
Management Company,locus_label,"pipeline literal, release tooling",src/catalog/sweep_manager_loci.py:45,
Fund Manager,locus_label,"pipeline literal, release tooling",src/catalog/sweep_manager_loci.py:45,
Manager,locus_label,"pipeline literal, release tooling",src/catalog/sweep_manager_loci.py:45,
Adviser,locus_label,"pipeline literal, release tooling",src/catalog/sweep_manager_loci.py:45,
Advisor,locus_label,"pipeline literal, release tooling",src/catalog/sweep_manager_loci.py:45,
Sponsor,locus_label,"pipeline literal, release tooling",src/catalog/sweep_manager_loci.py:45,
Managing Member,locus_label,"pipeline literal, release tooling",src/catalog/sweep_manager_loci.py:45,
Investment Management Company,locus_label,"pipeline literal, release tooling",src/catalog/sweep_manager_loci.py:45,
AIFM,locus_label,"pipeline literal, release tooling",src/catalog/sweep_manager_loci.py:45,
name_pattern,"[A-Z][A-Za-z&.,'\-/ ]{2,80}?","pipeline literal, release tooling",src/catalog/sweep_manager_loci.py:45,
