input_value,output_value,decided_by,evidence,note
coordinate_dedupe_bucket,2.0,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:80,Words drawn twice within one coordinate bucket collapse to one printed token.
line_tolerance,3.0,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:119,Words within three vertical points form one printed line.
cluster_tolerance,12.0,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:135,Numeric starts within twelve horizontal points form one candidate column.
value_assignment_tolerance,25.0,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:227,A printed value joins its nearest column only within twenty-five coordinate points.
label_band_offset,8.0,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:528,The row-label band ends eight points before the first value centre.
prose_stopword_min,2,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:214,Two function words classify a candidate header line as prose.
block_gap_ratio,2.5,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:265,A vertical gap exceeding two and one-half row pitches starts a new table block.
block_gap_addition,8.0,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:265,A vertical gap also exceeds the row pitch by eight points before starting a new block.
doubled_label_min_length,4,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:236,At least four non-space characters are required before duplicate-draw repair.
column_min_population,2,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:154,A column with fewer members is a stray mark.
value_band,right_of_dense_core_with_extension,"grid-quality review 2026-09-01",tests/test_page_grid.py:91|tests/test_page_grid.py:98,"The dense core locates the band; populated nearby leading columns and every column to the right stay, while a distant vintage embedded before a fund name stays in the row label."
dense_core_floor,3,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:173,The dense core requires at least three values.
dense_core_ratio,0.4,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:174,The dense core retains columns carrying at least forty percent of the page peak.
wide_gap_ratio,2.2,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:182,A gap wider than this multiple of the typical gap may separate label digits from values.
max_left_junk_clusters,2,"grid-quality review 2026-09-01",src/catalog/simple_pdf_extraction/page_grid.py:191,Only one or two clusters before a wide gap may be discarded as label material.
band_edge_ratio,2.0,"grid-quality review 2026-09-01",tests/test_page_grid.py:91,A legitimate sparse leading value column may sit up to two typical column gaps left of the dense core.
band_extension_max_gap,65.0,"grid-quality review 2026-09-01",tests/test_page_grid.py:91,A sparse leading extension remains within sixty-five coordinate points of the dense core.
band_extension_min_ratio,0.2,"grid-quality review 2026-09-01",tests/test_page_grid.py:91,A leading extension must carry at least twenty percent of the page peak and at least the dense-core floor.
doubled_label,first_half_kept,"pipeline literal, extraction support",src/catalog/simple_pdf_extraction/page_grid.py:236,An overlapping draw interleaves the words; ignoring whitespace the sequence is a literal repeat.
header_assignment,column_hint_then_overlap,"grid-quality review 2026-09-01",tests/test_page_grid.py:31|tests/test_page_grid.py:47,"A phrase first uses the nearest column hint; an unhinted phrase uses its strongest value-span overlap, which prevents one label from contaminating neighbouring columns."
header_stack,two_lines,"grid-quality review 2026-09-01",src/catalog/simple_pdf_extraction/page_grid.py:425,Two qualifying printed header lines combine from top to bottom.
