input_value,output_value,decided_by,evidence,note
capital_call,capital_call,"pipeline literal, promotion module",src/load/promote_extracted_to_fund_level.py:120,"Nine printed categories become five cash-flow types; contribution and capital_call, and return_of_capital, preferred_return and distribution, and fee and expense stop being distinguishable here."
contribution,capital_call,"pipeline literal, promotion module",src/load/promote_extracted_to_fund_level.py:120,"Nine printed categories become five cash-flow types; contribution and capital_call, and return_of_capital, preferred_return and distribution, and fee and expense stop being distinguishable here."
distribution,distribution,"pipeline literal, promotion module",src/load/promote_extracted_to_fund_level.py:120,"Nine printed categories become five cash-flow types; contribution and capital_call, and return_of_capital, preferred_return and distribution, and fee and expense stop being distinguishable here."
expense,fee,"pipeline literal, promotion module",src/load/promote_extracted_to_fund_level.py:120,"Nine printed categories become five cash-flow types; contribution and capital_call, and return_of_capital, preferred_return and distribution, and fee and expense stop being distinguishable here."
fee,fee,"pipeline literal, promotion module",src/load/promote_extracted_to_fund_level.py:120,"Nine printed categories become five cash-flow types; contribution and capital_call, and return_of_capital, preferred_return and distribution, and fee and expense stop being distinguishable here."
preferred_return,distribution,"pipeline literal, promotion module",src/load/promote_extracted_to_fund_level.py:120,"Nine printed categories become five cash-flow types; contribution and capital_call, and return_of_capital, preferred_return and distribution, and fee and expense stop being distinguishable here."
recallable_distribution,recallable_distribution,"pipeline literal, promotion module",src/load/promote_extracted_to_fund_level.py:120,"Nine printed categories become five cash-flow types; contribution and capital_call, and return_of_capital, preferred_return and distribution, and fee and expense stop being distinguishable here."
return_of_capital,distribution,"pipeline literal, promotion module",src/load/promote_extracted_to_fund_level.py:120,"Nine printed categories become five cash-flow types; contribution and capital_call, and return_of_capital, preferred_return and distribution, and fee and expense stop being distinguishable here."
subscription,subscription,"pipeline literal, promotion module",src/load/promote_extracted_to_fund_level.py:120,"Nine printed categories become five cash-flow types; contribution and capital_call, and return_of_capital, preferred_return and distribution, and fee and expense stop being distinguishable here."
*,other,"pipeline literal, promotion module",src/load/promote_extracted_to_fund_level.py:467,A cash-flow observation whose category is named by no row is typed other; the printed category stays on the source observation.
