input_value,output_value,decided_by,evidence,note,since_contract
1,observation_id,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
2,document_id,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
3,route,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
4,canonical_doc_type,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
5,product_tier,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
6,page_id,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
7,source_page,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
8,source_structure_type,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
9,source_section,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
10,source_table,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
11,source_row_label,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
12,source_column_label,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
13,source_occurrence,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
14,record_family,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
15,metric_id,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
16,metric_category,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
17,metric_name,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
18,subject_type,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
19,subject_alias_id,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
20,subject_entity_id,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
21,subject_name,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
22,subject_standardized_name,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
23,subject_manager_name,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
24,manager_alias_id,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
25,manager_entity_id,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
26,investor_alias_id,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
27,investor_entity_id,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
28,portfolio_name,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
29,asset_class,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
30,strategy,"pipeline literal, flatten",src/flatten/flatten_extracted.py:144 (migration-complete),,2026-08-22.2
