input_value,output_value,decided_by,evidence,note,preferred_family,qualified,required_dimensions,disposition
management_fee,"Management fee rate, basis, and step-downs.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379|src/catalog/simple_pdf_extraction/csv_wide_contract.py:420,,legal_term,no,,qualitative
carried_interest,Carried interest rate and basis.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,legal_term,no,,qualitative
catch_up,GP catch-up provision.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,legal_term,no,,qualitative
waterfall,"Distribution waterfall, including the preferred return hurdle.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,legal_term,no,,qualitative
clawback,GP clawback provision.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,legal_term,no,,qualitative
fee_offset,Offset of transaction or monitoring fees against the management fee.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,legal_term,no,,qualitative
organizational_expense,Organizational expense cap or treatment.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,legal_term,no,,qualitative
recycling,Reinvestment or recycling of proceeds.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,legal_term,no,,qualitative
fund_term,Term of the fund or agreement.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,legal_term,no,,qualitative
term_extension,Extension of the term.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,legal_term,no,,qualitative
commitment_period,Commitment period.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,legal_term,no,,qualitative
investment_period,Investment period.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,legal_term,no,,qualitative
key_person,Key-person provision.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,legal_clause,no,,qualitative
gp_removal,"Removal of the general partner, for cause or without.","pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,legal_clause,no,,qualitative
no_fault_termination,Termination without cause.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,legal_clause,no,,qualitative
mfn,Most-favoured-nation provision.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,legal_clause,no,,qualitative
reporting,Reporting duties.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,legal_clause,no,,qualitative
transfer,Transfer or assignment of interests.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,legal_clause,no,,qualitative
tax,Tax provisions and certifications.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,legal_clause,no,,qualitative
governing_law,Governing law.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,legal_clause,no,,qualitative
confidentiality,Confidentiality.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,legal_clause,no,,qualitative
notice,Notice provisions.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,legal_clause,no,,qualitative
subscription_fund,The fund subscribed to.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,subscription_reference,no,,qualitative
general_partner,The general partner named.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,subscription_reference,no,,qualitative
requested_commitment,Commitment requested.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,subscription_reference,no,,qualitative
accepted_commitment,Commitment accepted.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,subscription_reference,no,,qualitative
subscriber_entity_type,Entity type of the subscriber.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,subscription_reference,no,,qualitative
fund_jurisdiction,Jurisdiction of the fund.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,subscription_reference,no,,qualitative
execution_date,Execution date.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,subscription_reference,no,,qualitative
stewardship_policy,A stewardship or voting policy statement.,"pipeline literal, extraction contract",src/catalog/simple_pdf_extraction/csv_wide_contract.py:274|src/catalog/simple_pdf_extraction/csv_wide_contract.py:379,,stewardship_policy,no,,qualitative
