input_value,output_value,decided_by,evidence,note
data/extracted/tables/fact_observation.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/extracted/tables/observation_lineage.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/warehouse/extracted.duckdb,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/csv/manager_master.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/csv/document_manager_map.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/csv/fund_master.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/csv/fund_observations.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/csv/manager_observations.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/csv/fund_cashflows.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/csv/fund_periods.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/csv/fund_terms.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/csv/fund_term_clauses.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/csv/fund_holdings.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/extracted/fund-level/manager_master.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/extracted/fund-level/document_manager_map.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/extracted/fund-level/fund_master.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/extracted/fund-level/document_fund_map.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/extracted/fund-level/fund_observations.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/extracted/fund-level/manager_observations.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/extracted/fund-level/fund_cashflows.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/extracted/fund-level/fund_periods.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/extracted/fund-level/fund_terms.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/extracted/fund-level/fund_term_clauses.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/extracted/fund-level/fund_holdings.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/extracted/fund-level/quality_results.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/extracted/fund-level/fund_metrics.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/csv/benchmark_returns.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/csv/synthetic_parameters.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/csv/defect_injections.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/integrated/gap-ledger.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/integrated/cell-lineage.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
data/integrated/reconciliation-results.csv,governed,"pipeline literal, release tooling",src/pipeline/publish_review_release.py:82,
