"contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status","extractor_model"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","allocation_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Absolute return","Percent of Total Fair Value","1","asset_class","Absolute return","","","","","","","","","","2021","","","actual_allocation","Percent of Total Fair Value","15.10","%","","","","","Absolute return 5,920,978 4,115,751 (3,455,001) 293,280 6,875,008 15.10","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","allocation_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Debt securities","Percent of Total Fair Value","1","asset_class","Debt securities","","","","","","","","","","2021","","","actual_allocation","Percent of Total Fair Value","11.98","%","","","","","Debt securities 5,318,719 29,143,838 (28,835,389) (170,438) 5,456,730 11.98","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","allocation_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Equities","Percent of Total Fair Value","1","asset_class","Equities","","","","","","","","","","2021","","","actual_allocation","Percent of Total Fair Value","37.14","%","","","","","Equities 15,669,072 4,654,716 (4,412,467) 1,001,364 16,912,685 37.14","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","allocation_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Private equity","Percent of Total Fair Value","1","asset_class","Private equity","","","","","","","","","","2021","","","actual_allocation","Percent of Total Fair Value","13.12","%","","","","","Private equity 4,535,107 1,059,436 (680,891) 1,059,954 5,973,606 13.12","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","allocation_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Real assets","Percent of Total Fair Value","1","asset_class","Real assets","","","","","","","","","","2021","","","actual_allocation","Percent of Total Fair Value","15.26","%","","","","","Real assets 5,232,310 1,701,615 (781,551) 796,491 6,948,865 15.26","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","allocation_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Short-term securities","Percent of Total Fair Value","1","asset_class","Short-term securities","","","","","","","","","","2021","","","actual_allocation","Percent of Total Fair Value","7.40%","%","","","","","Short-term securities $ 2,631,822 34,353,284 (33,610,800) (3,527) 3,370,779 7.40 %%","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","allocation_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Totals","Percent of Total Fair Value","1","portfolio","Totals","","","","","","","","","","2021","","","actual_allocation","Percent of Total Fair Value","100.00%","%","","","","","Totals $ 39,308,008 75,028,640 (71,776,099) 2,977,124 45,537,673 100.00 %","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","document_context","1","DOCUMENT","Defined Benefit Investments (Continued)","","DOCUMENT","","1","document","2021 Annual Comprehensive Financial Report","","","","Utah Retirement Systems","","Utah Retirement Investment Fund","","","","2021","","","","","","","","Defined Benefit Investments","","","2021 Annual Comprehensive Financial Report","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Absolute return","2021 Beginning Fair Value","1","asset_class","Absolute return","","","","","","","","","","2021","","dollars in thousands","beginning_capital","2021 Beginning Fair Value","5,920,978","","","","","","Absolute return 5,920,978 4,115,751 (3,455,001) 293,280 6,875,008 15.10","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Absolute return","2021 Ending Fair Value Balance","1","asset_class","Absolute return","","","","","","","","","","2021","","dollars in thousands","ending_capital","2021 Ending Fair Value Balance","6,875,008","","","","","","Absolute return 5,920,978 4,115,751 (3,455,001) 293,280 6,875,008 15.10","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Absolute return","Increase (Decrease) in Fair Value","1","asset_class","Absolute return","","","","","","","","","","2021","","dollars in thousands","unrealized_gain_loss","Increase (Decrease) in Fair Value","293,280","","","","","","Absolute return 5,920,978 4,115,751 (3,455,001) 293,280 6,875,008 15.10","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Absolute return","Purchases","1","asset_class","Absolute return","","","","","","","","","","2021","","dollars in thousands","contribution","Purchases","4,115,751","","","","","","Absolute return 5,920,978 4,115,751 (3,455,001) 293,280 6,875,008 15.10","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Absolute return","Sales and Redemptions","1","asset_class","Absolute return","","","","","","","","","","2021","","dollars in thousands","distribution","Sales and Redemptions","(3,455,001)","","","","","","Absolute return 5,920,978 4,115,751 (3,455,001) 293,280 6,875,008 15.10","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Debt securities","2021 Beginning Fair Value","1","asset_class","Debt securities","","","","","","","","","","2021","","dollars in thousands","beginning_capital","2021 Beginning Fair Value","5,318,719","","","","","","Debt securities 5,318,719 29,143,838 (28,835,389) (170,438) 5,456,730 11.98","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Debt securities","2021 Ending Fair Value Balance","1","asset_class","Debt securities","","","","","","","","","","2021","","dollars in thousands","ending_capital","2021 Ending Fair Value Balance","5,456,730","","","","","","Debt securities 5,318,719 29,143,838 (28,835,389) (170,438) 5,456,730 11.98","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Debt securities","Increase (Decrease) in Fair Value","1","asset_class","Debt securities","","","","","","","","","","2021","","dollars in thousands","unrealized_gain_loss","Increase (Decrease) in Fair Value","(170,438)","","","","","","Debt securities 5,318,719 29,143,838 (28,835,389) (170,438) 5,456,730 11.98","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Debt securities","Purchases","1","asset_class","Debt securities","","","","","","","","","","2021","","dollars in thousands","contribution","Purchases","29,143,838","","","","","","Debt securities 5,318,719 29,143,838 (28,835,389) (170,438) 5,456,730 11.98","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Debt securities","Sales and Redemptions","1","asset_class","Debt securities","","","","","","","","","","2021","","dollars in thousands","distribution","Sales and Redemptions","(28,835,389)","","","","","","Debt securities 5,318,719 29,143,838 (28,835,389) (170,438) 5,456,730 11.98","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Equities","2021 Beginning Fair Value","1","asset_class","Equities","","","","","","","","","","2021","","dollars in thousands","beginning_capital","2021 Beginning Fair Value","15,669,072","","","","","","Equities 15,669,072 4,654,716 (4,412,467) 1,001,364 16,912,685 37.14","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Equities","2021 Ending Fair Value Balance","1","asset_class","Equities","","","","","","","","","","2021","","dollars in thousands","ending_capital","2021 Ending Fair Value Balance","16,912,685","","","","","","Equities 15,669,072 4,654,716 (4,412,467) 1,001,364 16,912,685 37.14","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Equities","Increase (Decrease) in Fair Value","1","asset_class","Equities","","","","","","","","","","2021","","dollars in thousands","unrealized_gain_loss","Increase (Decrease) in Fair Value","1,001,364","","","","","","Equities 15,669,072 4,654,716 (4,412,467) 1,001,364 16,912,685 37.14","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Equities","Purchases","1","asset_class","Equities","","","","","","","","","","2021","","dollars in thousands","contribution","Purchases","4,654,716","","","","","","Equities 15,669,072 4,654,716 (4,412,467) 1,001,364 16,912,685 37.14","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Equities","Sales and Redemptions","1","asset_class","Equities","","","","","","","","","","2021","","dollars in thousands","distribution","Sales and Redemptions","(4,412,467)","","","","","","Equities 15,669,072 4,654,716 (4,412,467) 1,001,364 16,912,685 37.14","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Private equity","2021 Beginning Fair Value","1","asset_class","Private equity","","","","","","","","","","2021","","dollars in thousands","beginning_capital","2021 Beginning Fair Value","4,535,107","","","","","","Private equity 4,535,107 1,059,436 (680,891) 1,059,954 5,973,606 13.12","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Private equity","2021 Ending Fair Value Balance","1","asset_class","Private equity","","","","","","","","","","2021","","dollars in thousands","ending_capital","2021 Ending Fair Value Balance","5,973,606","","","","","","Private equity 4,535,107 1,059,436 (680,891) 1,059,954 5,973,606 13.12","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
"2026-08-22.2","SRC192","b3af59d56f279544cb25facf64f5998fc8108300a745dd3fa7a91a63ab855230","Institutional_Report","03-institutional-report","CORE","ADJUDICATED","fund_economics_observation","1","TABLE","Defined Benefit Investments (Continued)","2021 Investment Summary","Private equity","Increase (Decrease) in Fair Value","1","asset_class","Private equity","","","","","","","","","","2021","","dollars in thousands","unrealized_gain_loss","Increase (Decrease) in Fair Value","1,059,954","","","","","","Private equity 4,535,107 1,059,436 (680,891) 1,059,954 5,973,606 13.12","actual","","A+B+ADJUDICATOR","RESOLVED","claude-sonnet-5+gpt-5+claude-opus-5"
