check_id,status,actual,expected,source,reason
V2C01_PROTECTED_BASELINE,PASS,0,0,v2-baseline.json,
V2C02_FUND_DISPOSITIONS,PASS,800,800,decisions.csv,
V2C03_CURRENT_PERIODS,PASS,693,693,fund-diagnostics.csv,
V2C04_XIRR_COVERAGE,PASS,693 available; 0 unexplained,each return or missing reason,fund-diagnostics.csv,
V2C05_PME_MAPPING_AND_CURRENCY,PASS,546 rows; 0 bad,0 bad,fund-diagnostics.csv,
V2C06_REALIZATION_IDENTITY,PASS,0,0,fund-diagnostics.csv,
V2C07_HOLDINGS_RECONCILIATION,PASS,0,0,fund-diagnostics.csv,
V2C08_LOSS_DEFINITION_BOUNDARY,PASS,0,0,fund-diagnostics.csv,
V2C09_ZERO_NAV_STRESS,PASS,6.460254553530831e-11,<=1e-9,fund-scenarios.csv,
V2C10_NAV_MONOTONICITY,PASS,0,0,fund-scenarios.csv,
V2C11_WEIGHT_BASELINE,PASS,8.000711204658728e-11,<=1e-9,fund-scenarios.csv,
V2C12_LEAVE_ONE_OUT_ELIGIBILITY,PASS,0,0,manager-scenarios.csv,
V2C13_READINESS_BOUNDS,PASS,0,0,evidence-readiness.csv,
V2C14_REAL_EVIDENCE_NOT_RANKED,PASS,0,0,evidence.json,
V2C15_PEER_SELF_EXCLUSION,PASS,0,0,cohort-membership.csv,
V2C16_V1_SCORE_REFERENCE,PASS,38 rows; 0 drift,38 rows; 0 drift,manager-diagnostics.csv,
V2C17_INPUT_HASH_STABILITY,PASS,0,0,manifest.json,
V2C25_CAPITAL_AND_BENCHMARK,PASS,0,0,fund-diagnostics.csv,
V2C26_SCORE_CONTRIBUTIONS,PASS,0,0,manager-diagnostics.csv,
V2C18_CASE_MANAGER_COUNT,PASS,3,3,case-manifest.json,
V2C19_CASE_POPULATION,PASS,0,0,case bundle,
V2C20_CASE_CONFLICT_RESOLUTION,PASS,1,>=1 complete,conflict resolutions,
V2C21_CASE_EVIDENCE,PASS,0,0,case evidence,
V2C22_CASE_TIMING_TVPI,PASS,0,0,case scenarios,
V2C23_CASE_FACILITY_PAIR,PASS,1,1,case scenarios,
V2C24_MODEL_PREVIEW_NO_NETWORK,PASS,6,>=2 no-network previews,model-previews.json,
V2C27_OPERATING_RECONCILIATION,PASS,3 companies; 0 failed,positive count; 0 failed,evidence.json,
