stage,directory,file,rows
clean,clean,benchmark_returns.csv,450
clean,clean,defect_injections.csv,0
clean,clean,fund_cashflows.csv,23983
clean,clean,fund_holdings.csv,89503
clean,clean,fund_master.csv,800
clean,clean,fund_observations.csv,327970
clean,clean,fund_periods.csv,32797
clean,clean,fund_term_clauses.csv,3400
clean,clean,fund_terms.csv,1084
clean,clean,manager_master.csv,200
clean,clean,manager_observations.csv,600
clean,clean,portfolio_allocations.csv,2400
clean,clean,quality_results.csv,649490
clean,clean,synthetic_parameters.csv,152
defects,defects,benchmark_returns.csv,450
defects,defects,defect_injections.csv,144
defects,defects,detection_scorecard.csv,12
defects,defects,fund_cashflows.csv,23995
defects,defects,fund_holdings.csv,89503
defects,defects,fund_master.csv,800
defects,defects,fund_observations.csv,327970
defects,defects,fund_periods.csv,32797
defects,defects,fund_term_clauses.csv,3400
defects,defects,fund_terms.csv,1084
defects,defects,manager_master.csv,200
defects,defects,manager_observations.csv,600
defects,defects,portfolio_allocations.csv,2400
defects,defects,quality_results.csv,649502
defects,defects,synthetic_parameters.csv,152
analytics,analytics,fund_metrics.csv,131188
analytics,analytics,pme_results.csv,65594
analytics,analytics,portfolio_allocations.csv,800
