quality_result_id,run_id,record_table,record_id,fund_id,rule_id,severity,status,actual_value,expected_value,difference,tolerance,source_document_id,synthetic_parameter_set_id,checked_at,notes
QR_DEMO_QC_V1_FP_SYNTH_DEMO_001_R01_NONNEGATIVE_BALANCES,DEMO_QC_V1,fund_periods,FP_SYNTH_DEMO_001,FUND_SYNTH_DEMO_001,R01_NONNEGATIVE_BALANCES,error,PASS,45,0,45,0,,DEMO_ASSUMED_V1,2026-08-02T00:00:00Z,"minimum of paid-in capital, distributions, and NAV"
QR_DEMO_QC_V1_FP_SYNTH_DEMO_001_R02_TVPI_COMPONENTS,DEMO_QC_V1,fund_periods,FP_SYNTH_DEMO_001,FUND_SYNTH_DEMO_001,R02_TVPI_COMPONENTS,error,PASS,1.5,1.5,0,0.005,,DEMO_ASSUMED_V1,2026-08-02T00:00:00Z,tvpi compared with dpi plus rvpi
QR_DEMO_QC_V1_FP_SYNTH_DEMO_001_R03_DPI_RECOMPUTE,DEMO_QC_V1,fund_periods,FP_SYNTH_DEMO_001,FUND_SYNTH_DEMO_001,R03_DPI_RECOMPUTE,error,PASS,0.5,0.5,0,0.005,,DEMO_ASSUMED_V1,2026-08-02T00:00:00Z,dpi compared with distributions divided by paid-in capital
QR_DEMO_QC_V1_FP_SYNTH_DEMO_001_R04_RVPI_RECOMPUTE,DEMO_QC_V1,fund_periods,FP_SYNTH_DEMO_001,FUND_SYNTH_DEMO_001,R04_RVPI_RECOMPUTE,error,PASS,1,1,0,0.005,,DEMO_ASSUMED_V1,2026-08-02T00:00:00Z,rvpi compared with nav divided by paid-in capital
QR_DEMO_QC_V1_FP_SYNTH_DEMO_001_R05_TVPI_RECOMPUTE,DEMO_QC_V1,fund_periods,FP_SYNTH_DEMO_001,FUND_SYNTH_DEMO_001,R05_TVPI_RECOMPUTE,error,PASS,1.5,1.5,0,0.005,,DEMO_ASSUMED_V1,2026-08-02T00:00:00Z,tvpi compared with distributions plus nav divided by paid-in capital
QR_DEMO_QC_V1_FP_SYNTH_DEMO_001_R06_COMMITMENT_RECONCILIATION,DEMO_QC_V1,fund_periods,FP_SYNTH_DEMO_001,FUND_SYNTH_DEMO_001,R06_COMMITMENT_RECONCILIATION,warning,PASS,100,100,0,1,,DEMO_ASSUMED_V1,2026-08-02T00:00:00Z,commitment compared with paid-in capital plus unfunded commitment minus recallable distributions
QR_DEMO_QC_V1_FP_SYNTH_DEMO_001_R07_NAV_ROLLFORWARD,DEMO_QC_V1,fund_periods,FP_SYNTH_DEMO_001,FUND_SYNTH_DEMO_001,R07_NAV_ROLLFORWARD,error,PASS,90,90,0,1,,DEMO_ASSUMED_V1,2026-08-02T00:00:00Z,ending nav roll-forward
QR_DEMO_QC_V1_FP_SYNTH_DEMO_001_R08_XIRR_RECOMPUTE,DEMO_QC_V1,fund_periods,FP_SYNTH_DEMO_001,FUND_SYNTH_DEMO_001,R08_XIRR_RECOMPUTE,error,PASS,0.1223995051,0.122399505055,4.48037024148e-11,0.005,,DEMO_ASSUMED_V1,2026-08-02T00:00:00Z,reported IRR compared with XIRR of dated cash flows plus ending NAV
QR_DEMO_QC_V1_FP_SYNTH_DEMO_001_R09_VINTAGE_DATE,DEMO_QC_V1,fund_periods,FP_SYNTH_DEMO_001,FUND_SYNTH_DEMO_001,R09_VINTAGE_DATE,error,PASS,2020,2024,-4,0,,DEMO_ASSUMED_V1,2026-08-02T00:00:00Z,vintage year must fall on or before the as-of year
QR_DEMO_QC_V1_FP_SYNTH_DEMO_001_R10_FUND_SIZE_BOUND,DEMO_QC_V1,fund_periods,FP_SYNTH_DEMO_001,FUND_SYNTH_DEMO_001,R10_FUND_SIZE_BOUND,warning,PASS,500,100,400,1,,DEMO_ASSUMED_V1,2026-08-02T00:00:00Z,fund size must be at least the LP commitment
QR_DEMO_QC_V1_FP_SYNTH_DEMO_001_R11_PROVENANCE_REQUIREMENTS,DEMO_QC_V1,fund_periods,FP_SYNTH_DEMO_001,FUND_SYNTH_DEMO_001,R11_PROVENANCE_REQUIREMENTS,error,PASS,complete,complete,,,,DEMO_ASSUMED_V1,2026-08-02T00:00:00Z,SYNTHETIC provenance evidence requirements
QR_DEMO_QC_V1_FP_SYNTH_DEMO_001_R12_SYNTHETIC_IDENTITY_SEPARATION,DEMO_QC_V1,fund_periods,FP_SYNTH_DEMO_001,FUND_SYNTH_DEMO_001,R12_SYNTHETIC_IDENTITY_SEPARATION,error,PASS,separated,separated,,,,DEMO_ASSUMED_V1,2026-08-02T00:00:00Z,synthetic identity must remain separate from real source identities
QR_DEMO_QC_V1_FP_SYNTH_DEMO_001_R13_DUPLICATE_CASHFLOW,DEMO_QC_V1,fund_periods,FP_SYNTH_DEMO_001,FUND_SYNTH_DEMO_001,R13_DUPLICATE_CASHFLOW,warning,PASS,0,0,0,0,,DEMO_ASSUMED_V1,2026-08-02T00:00:00Z,each economic cash-flow signature must be unique within a fund
QR_DEMO_QC_V1_FP_SYNTH_DEMO_001_R14_CURRENCY_CONSISTENCY,DEMO_QC_V1,fund_periods,FP_SYNTH_DEMO_001,FUND_SYNTH_DEMO_001,R14_CURRENCY_CONSISTENCY,error,PASS,0,0,0,0,,DEMO_ASSUMED_V1,2026-08-02T00:00:00Z,cash-flow currencies must match the fund period or carry a reconciling FX conversion
QR_DEMO_QC_V1_FP_SYNTH_DEMO_001_R15_CASHFLOW_SIGN_CONVENTION,DEMO_QC_V1,fund_periods,FP_SYNTH_DEMO_001,FUND_SYNTH_DEMO_001,R15_CASHFLOW_SIGN_CONVENTION,error,PASS,0,0,0,0,,DEMO_ASSUMED_V1,2026-08-02T00:00:00Z,"calls, subscriptions, and fees must be negative; distributions must be positive"
QR_DEMO_QC_V1_FP_SYNTH_DEMO_002_R01_NONNEGATIVE_BALANCES,DEMO_QC_V1,fund_periods,FP_SYNTH_DEMO_002,FUND_SYNTH_DEMO_002,R01_NONNEGATIVE_BALANCES,error,PASS,24,0,24,0,,DEMO_ASSUMED_V1,2026-08-02T00:00:00Z,"minimum of paid-in capital, distributions, and NAV"
QR_DEMO_QC_V1_FP_SYNTH_DEMO_002_R02_TVPI_COMPONENTS,DEMO_QC_V1,fund_periods,FP_SYNTH_DEMO_002,FUND_SYNTH_DEMO_002,R02_TVPI_COMPONENTS,error,FAIL,1.45,1.2,0.25,0.005,,DEMO_ASSUMED_V1,2026-08-02T00:00:00Z,tvpi compared with dpi plus rvpi
QR_DEMO_QC_V1_FP_SYNTH_DEMO_002_R03_DPI_RECOMPUTE,DEMO_QC_V1,fund_periods,FP_SYNTH_DEMO_002,FUND_SYNTH_DEMO_002,R03_DPI_RECOMPUTE,error,PASS,0.3,0.3,0,0.005,,DEMO_ASSUMED_V1,2026-08-02T00:00:00Z,dpi compared with distributions divided by paid-in capital
QR_DEMO_QC_V1_FP_SYNTH_DEMO_002_R04_RVPI_RECOMPUTE,DEMO_QC_V1,fund_periods,FP_SYNTH_DEMO_002,FUND_SYNTH_DEMO_002,R04_RVPI_RECOMPUTE,error,PASS,0.9,0.9,0,0.005,,DEMO_ASSUMED_V1,2026-08-02T00:00:00Z,rvpi compared with nav divided by paid-in capital
QR_DEMO_QC_V1_FP_SYNTH_DEMO_002_R05_TVPI_RECOMPUTE,DEMO_QC_V1,fund_periods,FP_SYNTH_DEMO_002,FUND_SYNTH_DEMO_002,R05_TVPI_RECOMPUTE,error,FAIL,1.45,1.2,0.25,0.005,,DEMO_ASSUMED_V1,2026-08-02T00:00:00Z,tvpi compared with distributions plus nav divided by paid-in capital
QR_DEMO_QC_V1_FP_SYNTH_DEMO_002_R06_COMMITMENT_RECONCILIATION,DEMO_QC_V1,fund_periods,FP_SYNTH_DEMO_002,FUND_SYNTH_DEMO_002,R06_COMMITMENT_RECONCILIATION,warning,FAIL,100,110,-10,1,,DEMO_ASSUMED_V1,2026-08-02T00:00:00Z,commitment compared with paid-in capital plus unfunded commitment minus recallable distributions
QR_DEMO_QC_V1_FP_SYNTH_DEMO_002_R07_NAV_ROLLFORWARD,DEMO_QC_V1,fund_periods,FP_SYNTH_DEMO_002,FUND_SYNTH_DEMO_002,R07_NAV_ROLLFORWARD,error,FAIL,72,70,2,1,,DEMO_ASSUMED_V1,2026-08-02T00:00:00Z,ending nav roll-forward
QR_DEMO_QC_V1_FP_SYNTH_DEMO_002_R08_XIRR_RECOMPUTE,DEMO_QC_V1,fund_periods,FP_SYNTH_DEMO_002,FUND_SYNTH_DEMO_002,R08_XIRR_RECOMPUTE,error,FAIL,0.4,0.0651846755358,0.334815324464,0.005,,DEMO_ASSUMED_V1,2026-08-02T00:00:00Z,reported IRR compared with XIRR of dated cash flows plus ending NAV
QR_DEMO_QC_V1_FP_SYNTH_DEMO_002_R09_VINTAGE_DATE,DEMO_QC_V1,fund_periods,FP_SYNTH_DEMO_002,FUND_SYNTH_DEMO_002,R09_VINTAGE_DATE,error,PASS,2021,2024,-3,0,,DEMO_ASSUMED_V1,2026-08-02T00:00:00Z,vintage year must fall on or before the as-of year
