"source_page","final_page_status","final_expected_observation_count","reason"
"3","ELIGIBLE_DATA_EXTRACTED","4","Counted from the page-3 PNG: four printed definitions, SAI, Shareholder Reports, SEC and accredited investors. A found two and B declared the page NO_ELIGIBLE_DATA. B's zero is wrong because a printed definition is a definition_context record on a page carrying no numbers; the two A missed are added."
"4","ELIGIBLE_DATA_EXTRACTED","1","Both lanes returned zero. The page-4 PNG prints one definition, the parenthetical (the ""Distributor"") on Apollo Global Securities, LLC, added here. The remaining text is offer, suitability and deposit-insurance boilerplate outside the PPM whitelist, so one row is the count."
"5","REFERENCE_ONLY","0","NO_ELIGIBLE_REASON: The page-5 PNG is the TABLE OF CONTENTS. Its only numeric column is the page-number column beside each section title, which is navigation and matches no metric_category or term_category in any allowed family. The section titles themselves are headings, not definitions or whitelisted provisions. A called it NO_ELIGIBLE_DATA and B REFERENCE_ONLY; a contents listing is reference material, so REFERENCE_ONLY with zero rows."
"6","ELIGIBLE_DATA_EXTRACTED","17","Counted from the page-6 PNG: sixteen printed parenthetical defined terms (Fund, Declaration of Trust, 1940 Act, Shares, accredited investors, Securities Act, SEC, Board, Trustee, interested persons, Independent Trustees, Advisers Act, Apollo, private market investments, Portfolio Funds, Traditional Secondary Investments) plus the printed summary row The Investment Adviser, seventeen records. A's count of 17 is confirmed. B's NO_ELIGIBLE_DATA is wrong: the page prints definitions throughout and a definition is a record without a number."
"7","ELIGIBLE_DATA_EXTRACTED","7","Counted from the page-7 PNG: seven printed defined terms (Non-Traditional Secondary Investments, Secondary Investments, Secondaries, Co-Investments, Primary Investments, Primaries, Liquid Assets). A's eighth row, ETFs, is rejected because the page uses the abbreviation without defining it. The 80%, 20% and 33 1/3% investment and borrowing policies are not in the PPM legal_term whitelist and are not counted. B's NO_ELIGIBLE_DATA is wrong."
"8","ELIGIBLE_DATA_EXTRACTED","6","Counted from the page-8 PNG: six printed defined terms (Private Credit Investments, Subsidiary, Subsidiaries, RIC, Shareholders, over-commit). A found five and missed over-commit, added here. The Principal Risk Factors narrative that begins on this page is risk-factor transcription, excluded from PPM scope. B's NO_ELIGIBLE_DATA is wrong."
"19","ELIGIBLE_DATA_EXTRACTED","2","Counted from the page-19 PNG: two printed parenthetical definitions, Distributor and Apollo Employees. A's count of 2 is confirmed. The $25,000 and $5,000 minimum investment amounts are quantitative facts with no PPM family: minimum_investment is a ddq_quantitative_observation category and is not in the PPM legal_term whitelist, so they are not counted. B's NO_ELIGIBLE_DATA is wrong."
"20","ELIGIBLE_DATA_EXTRACTED","2","Counted from the page-20 PNG: two printed definitions, accredited investor within the meaning of Rule 501 and SAI. A's third row, Declaration of Trust, is rejected because the page only refers to that document without defining it. B's NO_ELIGIBLE_DATA is wrong."
"21","ELIGIBLE_DATA_EXTRACTED","1","Counted from the page-21 PNG: one printed parenthetical definition, Transfer Agent. The rest of the page is subscription and acceptance procedure, outside the PPM term whitelist. A's count of 1 is confirmed; B's NO_ELIGIBLE_DATA is wrong."
"22","ELIGIBLE_DATA_EXTRACTED","4","Counted from the page-22 PNG: four printed parenthetical definitions, NAV, IRS, DRIP and Plan Agent. A's fifth row, RIC, is rejected because the page uses the abbreviation without defining it. The 90% distribution requirement is not in the PPM legal_term whitelist. B's NO_ELIGIBLE_DATA is wrong."
