sample_order,file_id,filename,page_count,review_status,record_groups_observed,new_candidate_fields,new_extension_structures,important_tables_or_sections,notes
1,SRC060,Performance_Oregon_PERS_Alternatives_Portfolio_Q3_2022.pdf,2.0,REVIEWED,report_context; return_observation; fund_metric; allocation,as_of_date; entity_name; return_method; gross_net_basis; fund_name; vintage_year; commitment; contributed_capital; distributions; irr,,Vintage,Older reported Performance count in document-types.md: 105; current source_ledger population: 46. Full TXT reviewed; source PDF table layout inspected with pdfplumber.
2,SRC363,Performance_University_of_Michigan_Endowment_Fund_Profile_Jun2024.pdf,2,REVIEWED,report_context; return_observation; fund_metric; allocation; portfolio_snapshot,horizon; annualization_basis; benchmark_name; benchmark_return; allocation_dimension; allocation_label; distribution_per_share,allocation rows by dimension/category,INVESTMENT PERFORMANCE; ASSET ALLOCATION,Full TXT reviewed; source PDF table layout inspected with pdfplumber.
3,SRC035,Performance_Oregon_Growth_Account_VC_Program_Q4_2021.pdf,3.0,REVIEWED,report_context; return_observation; fund_metric; allocation,strategy; unfunded_capital,,Performance Analysis; Fund Performance; Vintage,Full TXT reviewed; source PDF table layout inspected with pdfplumber.
4,SRC056,Performance_JLLIPT_Quarterly_Update_3Q23.pdf,4.0,REVIEWED,report_context; return_observation; fund_metric; allocation; portfolio_snapshot,standard_deviation; nav; nav_per_share; distribution_rate; leverage_ratio; occupancy_pct; asset_or_property_count,share-class snapshot,INVESTMENT PERFORMANCE; Returns Summary; Distribution Summary,Full TXT reviewed; source PDF table layout inspected with pdfplumber.
5,SRC121,Performance_LACERA_Private_Equity_Holdings_2020Q3.pdf,4,REVIEWED,report_context; return_observation; fund_metric; allocation,dpi,,,Full TXT reviewed; source PDF table layout inspected with pdfplumber.
6,SRC149,Performance_PSERS_Benchmarking_Direct_Alpha_PME_Jun2018.pdf,4,REVIEWED,report_context; return_observation; fund_metric; allocation,base_currency; rvpi; direct_alpha; pme,,PERFORMANCE & BENCHMARKING WITH DIRECT ALPHA & PME,Full TXT reviewed; source PDF table layout inspected with pdfplumber.
7,SRC114,NAV_Statement_BHMacro_Monthly_Apr2024.pdf,5.0,REVIEWED,return_observation; fund_metric; allocation; portfolio_snapshot; attribution,attribution_dimension; attribution_label; attribution_metric; attribution_value,attribution/exposure rows,Performance Contribution by Asset Class; Assets and NAV Per Share; EXPOSURE,Full TXT reviewed; source PDF table layout inspected with pdfplumber.
8,SRC594,Performance_UTIMCO_PUF_GEF_Investment_Performance_FY2025_Aug31.pdf,5,REVIEWED,report_context; return_observation; fund_metric; allocation; attribution,,,Rate of Return,Full TXT reviewed; source PDF table layout inspected with pdfplumber.
9,SRC108,NAV_Statement_ThirdPoint_Monthly_Aug2025.pdf,6.0,REVIEWED,report_context; return_observation; fund_metric; allocation; portfolio_snapshot; attribution,aum; premium_discount_to_nav,,Key Statistics and AUM Summary; EXPOSURE,Full TXT reviewed; source PDF table layout inspected with pdfplumber.
10,SRC070,Performance_WSIB_Private_Equity_Portfolio_Overview.pdf,7.0,REVIEWED,report_context; return_observation; fund_metric; allocation; attribution,,,Performance Summary By Strategy; Rate of Return,Full TXT reviewed; source PDF table layout inspected with pdfplumber.
11,SRC138,Performance_PSERS_PEVCSS_PEIP_Partnership_Data_4Q2016.pdf,7,REVIEWED,report_context; return_observation; fund_metric; allocation; attribution,,,,Full TXT reviewed; source PDF table layout inspected with pdfplumber.
12,SRC120,Performance_Oregon_OPERF_Private_Equity_Portfolio_2025Q3.pdf,9,REVIEWED,report_context; return_observation; fund_metric; allocation; attribution,,,,Full TXT reviewed; source PDF table layout inspected with pdfplumber.
13,SRC467,Performance_CalSTRS_Private_Equity_Portfolio_FYE2024.pdf,9,REVIEWED,report_context; return_observation; fund_metric; allocation; attribution,,,Private Equity Portfolio Performance,Full TXT reviewed; source PDF table layout inspected with pdfplumber.
14,SRC196,Performance_SERS_Ohio_Quarterly_Alternative_Investment_Q2_2023.pdf,11,REVIEWED,report_context; return_observation; fund_metric; allocation; attribution,excess_return; market_value_context,,IRR and Performance Multiples; TOTAL NET OF FEES,Full TXT reviewed; source PDF table layout inspected with pdfplumber.
15,SRC169,Performance_OCERS_Private_Equity_Portfolio_Q2_2025.pdf,13,REVIEWED,report_context; return_observation; fund_metric; allocation; portfolio_snapshot; attribution,total_exposure; gain_loss,,Portfolio Summary by Status,Full TXT reviewed; source PDF table layout inspected with pdfplumber.
16,SRC340,Performance_Temasek_Review_2025_Highlights.pdf,13,REVIEWED,report_context; return_observation; fund_metric; allocation; portfolio_snapshot; attribution,,,Total Shareholder Return; Returns,Full TXT reviewed; source PDF table layout inspected with pdfplumber.
17,SRC179,Performance_FCERA_Fresno_Investment_Performance_Review_Q4_2023.pdf,14,REVIEWED,report_context; return_observation; fund_metric; allocation; attribution; risk_statistic; portfolio_snapshot,peer_rank; risk_metric; risk_value; net_contributions_withdrawals; investment_income; change_in_market_value,risk-statistic rows,Asset Allocation by Asset Class; Returns; Private Equity - Illiquid,Full TXT reviewed; source PDF table layout inspected with pdfplumber.
18,SRC188,Performance_CalPERS_Private_Equity_Annual_Program_Review_Jun2025.pdf,16,REVIEWED,report_context; return_observation; fund_metric; allocation; portfolio_snapshot; attribution; risk_statistic,,,Returns; NAV by Strategy; Capital Contributions and Distributions; Peer Time-weighted Benchmarks,Full TXT reviewed; source PDF table layout inspected with pdfplumber.
19,SRC194,Performance_CalSTRS_Real_Estate_Semi_Annual_Report_Q3_2025.pdf,19,REVIEWED,report_context; return_observation; fund_metric; allocation; portfolio_snapshot; attribution,target_allocation_pct; policy_range; benchmark_allocation_pct,,Returns; Net Time Weighted Returns; Compliance -Allocation; Compliance -Leverage,Full TXT reviewed; source PDF table layout inspected with pdfplumber.
20,SRC071,Performance_CalPERS_PERF_Partnership_Report.pdf,20.0,REVIEWED,report_context; return_observation; fund_metric; allocation; attribution; risk_statistic,,,Returns; Ending Market Value & Performance Summary,Full TXT reviewed; source PDF table layout inspected with pdfplumber.
21,SRC183,Performance_Alaska_PERS_Investment_Section_ACFR_FY2021.pdf,22,REVIEWED,report_context; return_observation; fund_metric; allocation; attribution; risk_statistic; investment_observation,investment_name,underlying investment/deal rows,Schedule of Investment Results; Asset Allocation; Top Ten Holdings,Full TXT reviewed page-by-page; source PDF tables inspected with pdfplumber where layout affected meaning.
22,SRC198,Performance_MOSERS_ACFR_Investment_Section_FY2025.pdf,24,REVIEWED,report_context; return_observation; fund_metric; allocation; attribution; risk_statistic; portfolio_snapshot; investment_observation,,,Schedule of Investment Results; Asset Allocation; Schedule of Investment Manager Fees,Full TXT reviewed page-by-page; source PDF tables inspected with pdfplumber where layout affected meaning.
23,SRC069,Performance_Landmark_Real_Estate_Fund_IX_Secondaries.pdf,25.0,REVIEWED,report_context; return_observation; fund_metric; allocation; portfolio_snapshot; attribution; investment_observation,geography; performance_status,underlying investment/deal rows,,Full TXT reviewed page-by-page; source PDF tables inspected with pdfplumber where layout affected meaning.
24,SRC064,Performance_PSERS_Private_Markets_Combined_Portfolio_Report_Q3_2025.pdf,35.0,REVIEWED,report_context; return_observation; fund_metric; allocation; portfolio_snapshot; attribution; risk_statistic,,,Portfolio Summary by Asset Class; Exposure by Strategy; Benchmark Detail,Full TXT reviewed page-by-page; source PDF tables inspected with pdfplumber where layout affected meaning.
