"source_page","final_page_status","final_expected_observation_count","reason"
"1","REFERENCE_ONLY","0","A bare cover: the fund name, 'Financial Statements', '(Expressed in Canadian dollars)', '(UNAUDITED)', 'Liquidated' and the period. No figure of any kind, so the zero both lanes reached is right and the label is REFERENCE_ONLY, which is what a cover is, rather than NO_ELIGIBLE_DATA, which is for a page that prints substantive figures falling outside the allowed categories."
"2","ELIGIBLE_DATA_EXTRACTED","7","Counted from page-002.png: the Balance Sheet prints 2016 and 2015 columns, and the 2016 column is almost entirely dashes because the partnership dissolved on December 20, 2016. Six populated cells map to an allowed category: Cash for 2015, Capital contributions and Capital - organization and offering expenses for both years, and Distribution for 2016. Plus the single document_context row both lanes filed here. The two receivable lines, the two payable lines and the Deficit component have no allowed category, and the four subtotal rows print no label at all, so none of them is extracted. Both lanes reached the same seven."
"3","ELIGIBLE_DATA_EXTRACTED","16","Counted from page-003.png: eight labelled rows in an allowed category across two columns, being Professional fees, Office and administrative, Legal fees, Loss before the undernoted, Change in unrealized gain (loss) in fair value of investments, Realized gain (loss) on investments, and the beginning and end of year Deficit lines. Interest from investments, Other interest, Management fees, Insurance and Foreign exchange gain (loss) print dashes both years, the two expense and gain subtotals print no label, and Net income (loss) is net income rather than net investment income, which the Loss before the undernoted line already carries. Both lanes reached the same sixteen."
"4","ELIGIBLE_DATA_EXTRACTED","8","Counted from page-004.png: Cash, beginning of year for both years, Cash, end of period for 2015 (2016 is a dash), Distribution for 2016, and the Change in unrealized loss (gain) and Realized loss (gain) reconciling lines for both years. A wrote only two of these, having taken Cash, beginning of year alone. B's twelve adds Change in non-cash operating items and Increase (decrease) in cash typed as 'cash', which are movements and not the balance. Net income (loss), Foreign exchange loss (gain), Proceeds from investments and Capital contributions print dashes or have no category, and the two subtotals print no label. The OCR line for this page attaches 12,908 to Proceeds from investments; the image shows Proceeds is a dash and 12,908 belongs to Change in non-cash operating items."
"5","NO_ELIGIBLE_DATA","0","The Statement of Investments prints two named positions, Common shares - Distributed to Partners and Convertible debenture - Distributed to Partners. Their Number of shares cells are covered by a solid FOIA redaction bar and their Amount cells are blank. The contract allows a redacted printed value to be recorded as REDACTED, but the only category available for a share count is quantity, and the validator rejects a metric value carrying no digit outside the qualitative categories, of which quantity is not one. So the two redacted counts cannot be represented on this route and the zero both lanes reached stands."
"6","REFERENCE_ONLY","0","Organization narrative and the valuation-of-investments accounting policy. Dates and qualitative description only, no printed amount, so REFERENCE_ONLY rather than NO_ELIGIBLE_DATA."
"7","REFERENCE_ONLY","0","The Level 1, Level 2 and Level 3 fair value hierarchy definitions and the investment-transaction policy. Definitions with no printed amount."
"8","REFERENCE_ONLY","0","Revenue recognition, foreign exchange translation, offering and organizational expenses, and use of estimates. Accounting-policy narrative with no printed amount."
"9","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: confirmed from page-009.png. The page prints two related-party tables, due from (Limited Partners $13 for 2015, everything else a dash) and due to (Jefferson Partners Fund IV, L.P. $1,280 and Limited Partners 52 for 2015). These are receivable and payable balances and no allowed Financials category states a receivable or a payable; the closing sentence explaining that the Limited Partner amounts represent unfunded and overfunded contributions describes their origin, it does not relabel the line as an unfunded commitment. Both totals print no label. The management-fee note is qualitative."
"10","ELIGIBLE_DATA_EXTRACTED","1","The note states the partners' committed capital as $29,323,226, which is the one figure on the page in an allowed category and which the page 11 tables print again as their total commitment. The commitment-period end date is a date, not a metric. Both lanes reached one."
"11","ELIGIBLE_DATA_EXTRACTED","28","Counted from page-011.png, a rotated landscape scan carrying two capital-account tables. The inception-to-date table prints six populated columns against the two named partner rows, its Capital account balance column being a dash throughout, which is twelve cells. The current-year table prints eight populated columns against the same two rows, its Capital account, end of year column being a dash throughout, which is sixteen. Both unlabeled total rows are excluded. That is B's twenty-eight; A's twenty-four omitted Total commitment and Distribution in the current-year table, and the two printed zeros in that table's Net capital contributions and Management fees columns are populated values, since the contract excludes only a dash, an em dash, a blank, a '$ -' and N/A. The transcription is checked against the printed arithmetic: the two partner rows sum to the printed total in every column of both tables."
"12","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: the distribution and carried-interest waterfall. Its figures are contract terms rather than observed amounts: an 8% per annum preferred return, and 30 and 45 day distribution windows. No allowed Financials category states a contractual rate or a timing window."
"13","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: the custodian-deposit mechanics and the indemnification of the General Partner. Its one figure, 10% of PSERS's subscription, is a contract term setting a deposit threshold, not an observed amount in any allowed category."
"14","REFERENCE_ONLY","0","Indemnification continued, the financial instruments note, the capital management note and the future accounting changes note. Narrative disclosure with dates but no printed amount."
