"observation_id","route","file_id","source_page","source_table","source_row_label","source_column_label","source_occurrence","record_family","metric_category","metric_value_raw","unit","pair_id","pair_status","difference_fields","a_row_number","b_row_number","resolution_row_number","resolution_decision","resolution_reason","final_row_number","source_agents","adjudication_status","source_sha256","source_pdf_path","records_a_path","records_b_path","pair_index_path","resolution_path","records_final_path","subject_type","subject_name","as_of_date","period_start","period_end","evidence_quote"
"0a536e0ee601cb579093","02-performance","SRC035","3","Fund Performance: Sorted By Vintage And Strategy","Total","Committed","1","fund_economics_observation","commitment","$256,758,381","","PAIR_9DC1B08D7CFDC53D18A05DCB","CLASSIFICATION_CONFLICT","source_section|subject_name|evidence_quote","452","452","452","MERGE","Verified against page-3 image. source_section is the exact printed section heading, 'Performance Analysis', which every page prints under the program name and above the table; the trailing '| As of December 31, 2021' is a date and is excluded. A left it blank, and on the context row used the table title instead; subject_name is the printed row label, 'Total'; B substituted the page header, which names the program and not this row; evidence_quote is the full printed line, which proves the value; B quoted the bare figure only.","452","A+B+ADJUDICATOR","RESOLVED","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","data/documents/pdf/Performance_Oregon_Growth_Account_VC_Program_Q4_2021.pdf","ledgers/working/pdf-extraction-csv/02-performance/SRC035/records-a.csv","ledgers/working/pdf-extraction-csv/02-performance/SRC035/records-b.csv","ledgers/working/pdf-extraction-csv/02-performance/SRC035/pair-index.csv","ledgers/working/pdf-extraction-csv/02-performance/SRC035/resolution.csv","ledgers/working/pdf-extraction-csv/02-performance/SRC035/records-final.csv","portfolio","Total","December 31, 2021","","","Total $256,758,381 $201,038,615 $56,724,280 $155,254,731 $189,665,500 1.72 9.00"
"e3486150e27a5a8ba226","02-performance","SRC035","3","Fund Performance: Sorted By Vintage And Strategy","Total","Contributed","1","fund_economics_observation","paid_in_capital","$201,038,615","","PAIR_FD1C35DBB0AC31E55C705488","CLASSIFICATION_CONFLICT","source_section|subject_name|evidence_quote","453","453","453","MERGE","Verified against page-3 image. source_section is the exact printed section heading, 'Performance Analysis', which every page prints under the program name and above the table; the trailing '| As of December 31, 2021' is a date and is excluded. A left it blank, and on the context row used the table title instead; subject_name is the printed row label, 'Total'; B substituted the page header, which names the program and not this row; evidence_quote is the full printed line, which proves the value; B quoted the bare figure only.","453","A+B+ADJUDICATOR","RESOLVED","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","data/documents/pdf/Performance_Oregon_Growth_Account_VC_Program_Q4_2021.pdf","ledgers/working/pdf-extraction-csv/02-performance/SRC035/records-a.csv","ledgers/working/pdf-extraction-csv/02-performance/SRC035/records-b.csv","ledgers/working/pdf-extraction-csv/02-performance/SRC035/pair-index.csv","ledgers/working/pdf-extraction-csv/02-performance/SRC035/resolution.csv","ledgers/working/pdf-extraction-csv/02-performance/SRC035/records-final.csv","portfolio","Total","December 31, 2021","","","Total $256,758,381 $201,038,615 $56,724,280 $155,254,731 $189,665,500 1.72 9.00"
"a84b69328924c8f27ccd","02-performance","SRC035","1","","DOCUMENT","","1","document_context","","","","PAIR_319B8D246F7D947D6AC82AE7","CONTEXT_CONFLICT","source_section|source_table|investor_name|portfolio_name|evidence_quote","1","1","15","MERGE","Verified against page-1 image. source_section is the exact printed section heading, 'Performance Analysis', which every page prints under the program name and above the table; the trailing '| As of December 31, 2021' is a date and is excluded. A left it blank, and on the context row used the table title instead; manager_name exactly as the page footer prints it; A's title case matches only the TXT header block's issuer line, which is not a printed page value. investor_name names the asset owner, which A left blank, and portfolio_name is the program itself, since the full header string is the report heading and a report name is not a portfolio. source_table blank because a DOCUMENT-structure row is not read out of a table, and source_section satisfies the source_table-or-source_section requirement. evidence_quote kept from A because it prints the as_of_date this row carries.","1","A+B+ADJUDICATOR","RESOLVED","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","data/documents/pdf/Performance_Oregon_Growth_Account_VC_Program_Q4_2021.pdf","ledgers/working/pdf-extraction-csv/02-performance/SRC035/records-a.csv","ledgers/working/pdf-extraction-csv/02-performance/SRC035/records-b.csv","ledgers/working/pdf-extraction-csv/02-performance/SRC035/pair-index.csv","ledgers/working/pdf-extraction-csv/02-performance/SRC035/resolution.csv","ledgers/working/pdf-extraction-csv/02-performance/SRC035/records-final.csv","document","Oregon Growth Account Private Equity Program","December 31, 2021","","","Performance Analysis |As of December 31, 2021"
"cb600ac25d835c7da07f","02-performance","SRC035","1","Fund Performance: Sorted By Vintage And Strategy","Adventure Fund I, L.P.","Committed","1","fund_economics_observation","commitment","$3,000,000","","PAIR_74427FC05CDB1F18FB7D681A","CONTEXT_CONFLICT","source_section|evidence_quote","2","2","1","MERGE","Verified against page-1 image. source_section is the exact printed section heading, 'Performance Analysis', which every page prints under the program name and above the table; the trailing '| As of December 31, 2021' is a date and is excluded. A left it blank, and on the context row used the table title instead; subject_type corrected to 'fund' on a row both lanes typed 'investment': the label names a vehicle (L.P., LLC, or a named fund) in a fund schedule carrying Vintage, Strategy and capital-account columns, and a vehicle is 'fund' while 'investment' is a holding inside one. The 'By Investment' column header names the program's relationship to these funds, not what they are, and a whole table of 'investment' is the documented sign the label was not read. Agreement between the lanes does not settle a classification, and SRC063 in this shard types the same kind of object 'fund'; evidence_quote is the full printed line, which proves the value; B quoted the bare figure only.","2","A+B+ADJUDICATOR","RESOLVED","efccda783490f37c841b4335300e864503edab8861c88ea4aff51b0e1ff3a189","data/documents/pdf/Performance_Oregon_Growth_Account_VC_Program_Q4_2021.pdf","ledgers/working/pdf-extraction-csv/02-performance/SRC035/records-a.csv","ledgers/working/pdf-extraction-csv/02-performance/SRC035/records-b.csv","ledgers/working/pdf-extraction-csv/02-performance/SRC035/pair-index.csv","ledgers/working/pdf-extraction-csv/02-performance/SRC035/resolution.csv","ledgers/working/pdf-extraction-csv/02-performance/SRC035/records-final.csv","fund","Adventure Fund I, L.P.","December 31, 2021","","","Adventure Fund I, L.P. 2007 Growth Equity $3,000,000 $2,558,543 $0 $4,987,944 $0 1.95 11.97"
"bac1a1a0ad1c3be76c28","04-quarterly-report","SRC384","1","EXECUTIVE SUMMARY","UC endowment","","3","fund_economics_observation","distribution","$4.5","","","ADJUDICATOR_ADD","","","","13","ADD","Recovered: the page states a distribution the endowment paid out over a printed period, an allowed fund_economics category neither lane extracted. Occurrence 3 because the page prints this subject twice already on rows 1 and 2.","2","ADJUDICATOR","ADDED","b2e06d492dceca8b867aac1fe20a93724668dd623d6f3a714882afac32b4c59e","data/documents/pdf/Performance_UC_Regents_Chief_Investment_Officer_Report_May2025.pdf","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/records-a.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/records-b.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/pair-index.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/resolution.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/records-final.csv","portfolio","UC endowment","March 31, 2025","","","billion to $30 billion—and paid out $4.5 billion to support UC students, faculty, and various"
"fdcdf1b8a42b843aff61","04-quarterly-report","SRC384","1","EXECUTIVE SUMMARY","Blue and Gold Endowment Pool","","2","performance_observation","aum","$250","","","ADJUDICATOR_ADD","","","","15","ADD","Recovered: the pool's stated value at a printed date. Occurrence 2 because the pool's March 31, 2025 balance already holds occurrence 1 on this page.","4","ADJUDICATOR","ADDED","b2e06d492dceca8b867aac1fe20a93724668dd623d6f3a714882afac32b4c59e","data/documents/pdf/Performance_UC_Regents_Chief_Investment_Officer_Report_May2025.pdf","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/records-a.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/records-b.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/pair-index.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/resolution.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/records-final.csv","portfolio","Blue and Gold Endowment Pool","March 31, 2019","","","The Blue and Gold Endowment Pool, which was launched on March 31, 2019 with $250 million,"
"49d153425218e765ccd6","04-quarterly-report","SRC384","1","EXECUTIVE SUMMARY","University of California's investment portfolios","","1","performance_observation","aum","$184.7","","PAIR_FCE76B4323A3A8B5F3631DDD","A_ONLY","","7","","11","MERGE","source_section: pages 2-4 print no section heading (only the running header 'INVESTMENTS COMMITTEE -n- I1 / May 13, 2025' and the figure captions), so blank is right there; page 1 prints EXECUTIVE SUMMARY. Confirmed on the page images. as_of_date: the page states 'As of March 31, 2025', and a date printed once governs every value under it, so a blank here is a defect. subject_type: a pool or the owner's plan-level aggregate is portfolio, matching how both lanes typed Endowment, Blue & Gold, Pension, Total Plan and Short Term in the figures. subject_name takes the full printed name: the page prints 'University of California's investment portfolios', never the abbreviation 'UC investment portfolios'. metric_name takes the printed wording that introduces the value ('ended ... at'), never an invented label such as 'Total Investment Portfolios'.","12","A+B+ADJUDICATOR","RESOLVED","b2e06d492dceca8b867aac1fe20a93724668dd623d6f3a714882afac32b4c59e","data/documents/pdf/Performance_UC_Regents_Chief_Investment_Officer_Report_May2025.pdf","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/records-a.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/records-b.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/pair-index.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/resolution.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/records-final.csv","portfolio","University of California's investment portfolios","March 31, 2025","","the third quarter of the 2024–25 fiscal year","year at $184.7 billion, a $4.9 billion increase over the previous fiscal year."
"9fc48cf4850ba88aed20","04-quarterly-report","SRC384","1","EXECUTIVE SUMMARY","pension","","1","performance_observation","return","3.6","%","PAIR_A519FF6200F73FA8FAB75DB6","B_ONLY","","","8","3","MERGE","subject_type: a pool or the owner's plan-level aggregate is portfolio, matching how both lanes typed Endowment, Blue & Gold, Pension, Total Plan and Short Term in the figures.","5","A+B+ADJUDICATOR","RESOLVED","b2e06d492dceca8b867aac1fe20a93724668dd623d6f3a714882afac32b4c59e","data/documents/pdf/Performance_UC_Regents_Chief_Investment_Officer_Report_May2025.pdf","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/records-a.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/records-b.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/pair-index.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/resolution.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/records-final.csv","portfolio","pension","March 31, 2025","","","was up 4.2 percent, while the pension returned 3.6 percent and working capital returned"
"65980535bbe314d3f16f","04-quarterly-report","SRC384","1","EXECUTIVE SUMMARY","pension","","2","performance_observation","aum","$101.8","","PAIR_88AC9F8FE75D588D5B96622F","B_ONLY","","","3","4","MERGE","Narrative figures stated as fact for a named pool are eligible on every page of this document (both lanes extracted them on page 1); a pool's or plan's stated total assets is aum under performance_observation, never nav, which belongs to a capital-account table. subject_type: a pool or the owner's plan-level aggregate is portfolio, matching how both lanes typed Endowment, Blue & Gold, Pension, Total Plan and Short Term in the figures.","6","A+B+ADJUDICATOR","RESOLVED","b2e06d492dceca8b867aac1fe20a93724668dd623d6f3a714882afac32b4c59e","data/documents/pdf/Performance_UC_Regents_Chief_Investment_Officer_Report_May2025.pdf","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/records-a.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/records-b.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/pair-index.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/resolution.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/records-final.csv","portfolio","pension","March 31, 2025","","","billion to $101.8 billion as of March 31, 2025."
"1d252ddda0f3b6722cd5","04-quarterly-report","SRC384","1","EXECUTIVE SUMMARY","UC endowment","","1","performance_observation","return","4.2","%","PAIR_2FBFE555524C0139AE2D5C3C","VALUE_CONFLICT","source_section|subject_type|horizon|currency_scale|metric_category|metric_name|metric_value_raw|unit|evidence_quote","5","9","7","MERGE","subject_type: a pool or the owner's plan-level aggregate is portfolio, matching how both lanes typed Endowment, Blue & Gold, Pension, Total Plan and Short Term in the figures.","7","A+B+ADJUDICATOR","RESOLVED","b2e06d492dceca8b867aac1fe20a93724668dd623d6f3a714882afac32b4c59e","data/documents/pdf/Performance_UC_Regents_Chief_Investment_Officer_Report_May2025.pdf","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/records-a.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/records-b.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/pair-index.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/resolution.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/records-final.csv","portfolio","UC endowment","March 31, 2025","","","was up 4.2 percent, while the pension returned 3.6 percent and working capital returned"
"b652c8bae31965e54cb0","04-quarterly-report","SRC384","3","Figure 3. Pension as of March 31, 2025","Value Added","10 Year","4","performance_observation","alpha","(0.3)","%","PAIR_CE577A554FE8807BB761CA24","VALUE_CONFLICT","source_section|metric_category|metric_name|metric_value_raw|evidence_quote","387","402","408","MERGE","source_section: pages 2-4 print no section heading (only the running header 'INVESTMENTS COMMITTEE -n- I1 / May 13, 2025' and the figure captions), so blank is right there; page 1 prints EXECUTIVE SUMMARY. Confirmed on the page images. Value Added is the portfolio's return minus its benchmark's, so metric_category is alpha, and it is a measure row, so metric_name is the printed row label 'Value Added'. source_occurrence: counted by position on the page alone, so every printed occurrence of the row label counts whether or not that column is populated. A's numbering restarts per column on populated cells only, which gives one printed row different numbers under different columns (Private Equity Value Added is 5 under 20 Year and 6 under 15 Year), so B's page-order numbering is the correct key and B's value belongs at it.","407","A+B+ADJUDICATOR","RESOLVED","b2e06d492dceca8b867aac1fe20a93724668dd623d6f3a714882afac32b4c59e","data/documents/pdf/Performance_UC_Regents_Chief_Investment_Officer_Report_May2025.pdf","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/records-a.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/records-b.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/pair-index.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/resolution.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC384/records-final.csv","other_printed_scope","Value Added","March 31, 2025","","","Value Added (0.6) (0.1) (0.9) (1.2) (0.3) 0.2 0.1 0.2 0.2"
"9bd5fe9f1b4efb0b7c79","04-quarterly-report","SRC457","2","Client Overview","Plan Size","","1","performance_observation","aum","$14.2","","PAIR_9FA696A8FD49F47663828F78","A_ONLY","","14","","16","MERGE","source_section: the page prints its own heading (Portfolio Snapshot); a heading INSIDE the table that governs the rows beneath it is those rows' asset_class, never source_section. A plan's stated total size is aum under performance_observation, not nav, which belongs to a capital-account table. subject_name takes the name printed on the cited page, in full and at the most specific level; a name assembled from the institution is not printed there. Page 2 prints no name for the plan, so the subject takes the printed heading of the panel the row sits in.","27","A+B+ADJUDICATOR","RESOLVED","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","data/documents/pdf/Performance_NMERB_Real_Estate_Natural_Resources_Q4_2020.pdf","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC457/records-a.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC457/records-b.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC457/pair-index.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC457/resolution.csv","ledgers/working/pdf-extraction-csv/04-quarterly-report/SRC457/records-final.csv","reporting_entity","Client Overview","December 31, 2020","","","$14.2 billion"
"2954d569628a1129f7fe","06-statements-and-economics","SRC462","1","Statement of Partner’s Capital Account","DOCUMENT","","1","document_context","","","","PAIR_09476AAA9572B50390CD00CE","EXACT","","1","42","15","MERGE","Both lanes agree; confirmed against page-001.png. The fund is the document subject and the limited partner is recorded once here as investor_name, which is where the contract keeps it.","17","A+B+ADJUDICATOR","RESOLVED","781662bf1c5ba4799d5da223c17c18d29a6a475934548a84c926ba38be788feb","data/documents/pdf/PCAP_Global_Infrastructure_Partners_II_C_Northumberland_FOI_Mar2017.pdf","ledgers/working/pdf-extraction-csv/06-statements-and-economics/SRC462/records-a.csv","ledgers/working/pdf-extraction-csv/06-statements-and-economics/SRC462/records-b.csv","ledgers/working/pdf-extraction-csv/06-statements-and-economics/SRC462/pair-index.csv","ledgers/working/pdf-extraction-csv/06-statements-and-economics/SRC462/resolution.csv","ledgers/working/pdf-extraction-csv/06-statements-and-economics/SRC462/records-final.csv","document","Global Infrastructure Partners II-C, L.P.","March 31, 2017","","","Statement of Partner’s Capital Account"
