record_type,population,metric_id,group_name,canonical_asset_class,canonical_strategy,canonical_sector,row_count,min_value,p25_value,median_value,p75_value,max_value,weighted_value,unit,provenance_type,source_file,notes
distribution,EXTRACTED,dpi,ALL,,,,268,0,0.0672892362,0.509533302,1.2176590284,6.9226818182,,multiple,EXTRACTED,data/extracted/fund-level/fund_metrics.csv,Reviewer-facing distribution; source rows remain unchanged.
distribution,EXTRACTED,rvpi,ALL,,,,268,0,0.0017379078,0.6216027154,1.0059555829,4.4927393333,,multiple,EXTRACTED,data/extracted/fund-level/fund_metrics.csv,Reviewer-facing distribution; source rows remain unchanged.
distribution,EXTRACTED,tvpi,ALL,,,,268,0,0.9986642521,1.2094848815,1.5783333334,7.2281418182,,multiple,EXTRACTED,data/extracted/fund-level/fund_metrics.csv,Reviewer-facing distribution; source rows remain unchanged.
distribution,INTEGRATED,direct_alpha,ALL,,,,945,-0.8314066786,-0.1065964698,-0.0997031208,-0.0836159499,0.2005865129,,decimal_rate,SYNTHETIC,data/csv/fund_metrics.csv | data/csv/pme_results.csv,Reviewer-facing distribution; source rows remain unchanged.
distribution,INTEGRATED,dpi,ALL,,,,945,0.01,0.2615274568,0.5972832601,0.9708671553,4,,multiple,SYNTHETIC,data/csv/fund_metrics.csv | data/csv/pme_results.csv,Reviewer-facing distribution; source rows remain unchanged.
distribution,INTEGRATED,ks_pme,ALL,,,,945,0.0085896372,0.318847903,0.4169035551,0.5779242289,2.1873558513,,multiple,SYNTHETIC,data/csv/fund_metrics.csv | data/csv/pme_results.csv,Reviewer-facing distribution; source rows remain unchanged.
distribution,INTEGRATED,rvpi,ALL,,,,945,0.05,0.2553341872,0.5712106843,0.881454616,4,,multiple,SYNTHETIC,data/csv/fund_metrics.csv | data/csv/pme_results.csv,Reviewer-facing distribution; source rows remain unchanged.
distribution,INTEGRATED,tvpi,ALL,,,,945,0.06,1.169272692,1.2096469712,1.2625324006,5.506227,,multiple,SYNTHETIC,data/csv/fund_metrics.csv | data/csv/pme_results.csv,Reviewer-facing distribution; source rows remain unchanged.
distribution,INTEGRATED,xirr,ALL,,,,945,-0.8017951379,0.0168052133,0.021418985,0.0384603909,0.3787214933,,decimal_rate,SYNTHETIC,data/csv/fund_metrics.csv | data/csv/pme_results.csv,Reviewer-facing distribution; source rows remain unchanged.
coverage,EXTRACTED,analyzable_periods,ALL,,,,268,,,,,,0.5942350333,fraction_of_periods,EXTRACTED,data/extracted/fund-level/fund_periods.csv | data/extracted/fund-level/fund_metrics.csv,"Source-only periods with recomputable DPI, RVPI, and TVPI. Denominator=451."
coverage,INTEGRATED,analyzable_periods,ALL,,,,945,,,,,,1,fraction_of_periods,SYNTHETIC,data/csv/fund_periods.csv | data/csv/fund_metrics.csv,Completed real-fund periods with the four configured metrics. Denominator=945.
distribution,INTEGRATED_PORTFOLIO,target_weight,ALL,,,,945,0.0010581616,0.0010582011,0.0010582011,0.0010582011,0.0010582011,0.0218578605,portfolio_fraction,DERIVED,data/csv/portfolio_allocations.csv,Bounded equal-weight demonstration; weighted_value is portfolio expected return. Volatility and liquidity remain blank because no defensible risk panel was supplied.
strategy_exposure,INTEGRATED_PORTFOLIO,target_weight,Agriculture,natural_resources,agriculture,,4,0.0010582011,0.0010582011,0.0010582011,0.0010582011,0.0010582011,0.0042328044,portfolio_fraction,DERIVED,data/csv/portfolio_allocations.csv,"Exposure reflects the completed demonstration population, not an investment recommendation."
strategy_exposure,INTEGRATED_PORTFOLIO,target_weight,Buyout,private_equity,buyout,,7,0.0010582011,0.0010582011,0.0010582011,0.0010582011,0.0010582011,0.0074074077,portfolio_fraction,DERIVED,data/csv/portfolio_allocations.csv,"Exposure reflects the completed demonstration population, not an investment recommendation."
strategy_exposure,INTEGRATED_PORTFOLIO,target_weight,Core,real_estate,core,,2,0.0010582011,0.0010582011,0.0010582011,0.0010582011,0.0010582011,0.0021164022,portfolio_fraction,DERIVED,data/csv/portfolio_allocations.csv,"Exposure reflects the completed demonstration population, not an investment recommendation."
strategy_exposure,INTEGRATED_PORTFOLIO,target_weight,Direct Investments/Co-Investments,private_equity,co_investment,,5,0.0010582011,0.0010582011,0.0010582011,0.0010582011,0.0010582011,0.0052910055,portfolio_fraction,DERIVED,data/csv/portfolio_allocations.csv,"Exposure reflects the completed demonstration population, not an investment recommendation."
strategy_exposure,INTEGRATED_PORTFOLIO,target_weight,Diversified Alternatives,multi_asset,,,430,0.0010581616,0.0010582011,0.0010582011,0.0010582011,0.0010582011,0.4550264335,portfolio_fraction,DERIVED,data/csv/portfolio_allocations.csv,"Exposure reflects the completed demonstration population, not an investment recommendation."
strategy_exposure,INTEGRATED_PORTFOLIO,target_weight,Early Secondary Investments,private_equity,secondaries,,14,0.0010582011,0.0010582011,0.0010582011,0.0010582011,0.0010582011,0.0148148154,portfolio_fraction,DERIVED,data/csv/portfolio_allocations.csv,"Exposure reflects the completed demonstration population, not an investment recommendation."
strategy_exposure,INTEGRATED_PORTFOLIO,target_weight,Energy,natural_resources,energy,,10,0.0010582011,0.0010582011,0.0010582011,0.0010582011,0.0010582011,0.010582011,portfolio_fraction,DERIVED,data/csv/portfolio_allocations.csv,"Exposure reflects the completed demonstration population, not an investment recommendation."
strategy_exposure,INTEGRATED_PORTFOLIO,target_weight,Growth Equity,private_equity,growth,,7,0.0010582011,0.0010582011,0.0010582011,0.0010582011,0.0010582011,0.0074074077,portfolio_fraction,DERIVED,data/csv/portfolio_allocations.csv,"Exposure reflects the completed demonstration population, not an investment recommendation."
strategy_exposure,INTEGRATED_PORTFOLIO,target_weight,Infrastructure,infrastructure,,,1,0.0010582011,0.0010582011,0.0010582011,0.0010582011,0.0010582011,0.0010582011,portfolio_fraction,DERIVED,data/csv/portfolio_allocations.csv,"Exposure reflects the completed demonstration population, not an investment recommendation."
strategy_exposure,INTEGRATED_PORTFOLIO,target_weight,Mezzanine,private_debt,mezzanine,,1,0.0010582011,0.0010582011,0.0010582011,0.0010582011,0.0010582011,0.0010582011,portfolio_fraction,DERIVED,data/csv/portfolio_allocations.csv,"Exposure reflects the completed demonstration population, not an investment recommendation."
strategy_exposure,INTEGRATED_PORTFOLIO,target_weight,Money Market Funds,cash_and_equivalents,,,2,0.0010582011,0.0010582011,0.0010582011,0.0010582011,0.0010582011,0.0021164022,portfolio_fraction,DERIVED,data/csv/portfolio_allocations.csv,"Exposure reflects the completed demonstration population, not an investment recommendation."
strategy_exposure,INTEGRATED_PORTFOLIO,target_weight,Natural Resources,natural_resources,,,3,0.0010582011,0.0010582011,0.0010582011,0.0010582011,0.0010582011,0.0031746033,portfolio_fraction,DERIVED,data/csv/portfolio_allocations.csv,"Exposure reflects the completed demonstration population, not an investment recommendation."
strategy_exposure,INTEGRATED_PORTFOLIO,target_weight,Opportunistic,real_estate,opportunistic,,17,0.0010582011,0.0010582011,0.0010582011,0.0010582011,0.0010582011,0.0179894187,portfolio_fraction,DERIVED,data/csv/portfolio_allocations.csv,"Exposure reflects the completed demonstration population, not an investment recommendation."
