attribution_id,case_id,manager_id,fund_id,portfolio_company_id,person_id,action_date,role,attribution_weight,source_kind,evidence_id,synthetic_flag,generator_version
ATTR_CASE_001_01,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,COMPANY_SYNTH_000701_01,PERSON_00176_01,2022-03-11,lead,1.000000,SYNTHETIC_CASE,EV_ATTR_CASE_001_01,true,gp_v2_cases_2
ATTR_CASE_001_02,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,COMPANY_SYNTH_000701_03,PERSON_00176_02,2023-04-12,lead,1.000000,SYNTHETIC_CASE,EV_ATTR_CASE_001_02,true,gp_v2_cases_2
ATTR_CASE_001_03,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,COMPANY_SYNTH_000701_04,PERSON_00176_03,2021-05-13,lead,1.000000,SYNTHETIC_CASE,EV_ATTR_CASE_001_03,true,gp_v2_cases_2
ATTR_CASE_001_04,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,COMPANY_SYNTH_000701_05,PERSON_00176_01,2022-06-14,lead,1.000000,SYNTHETIC_CASE,EV_ATTR_CASE_001_04,true,gp_v2_cases_2
ATTR_CASE_002_01,CASE_002,MANAGER_SYNTH_00091,FUND_SYNTH_000361,COMPANY_SYNTH_000361_01,PERSON_00091_02,2022-03-11,lead,1.000000,SYNTHETIC_CASE,EV_ATTR_CASE_002_01,true,gp_v2_cases_2
ATTR_CASE_002_02,CASE_002,MANAGER_SYNTH_00091,FUND_SYNTH_000361,COMPANY_SYNTH_000361_02,PERSON_00091_02,2023-04-12,lead,1.000000,SYNTHETIC_CASE,EV_ATTR_CASE_002_02,true,gp_v2_cases_2
ATTR_CASE_002_03,CASE_002,MANAGER_SYNTH_00091,FUND_SYNTH_000361,COMPANY_SYNTH_000361_03,PERSON_00091_03,2021-05-13,lead,1.000000,SYNTHETIC_CASE,EV_ATTR_CASE_002_03,true,gp_v2_cases_2
ATTR_CASE_003_01,CASE_003,MANAGER_SYNTH_00164,FUND_SYNTH_000654,COMPANY_SYNTH_000654_01,PERSON_00164_01,2022-03-11,lead,1.000000,SYNTHETIC_CASE,EV_ATTR_CASE_003_01,true,gp_v2_cases_2
ATTR_CASE_003_02,CASE_003,MANAGER_SYNTH_00164,FUND_SYNTH_000654,COMPANY_SYNTH_000654_02,PERSON_00164_02,2023-04-12,lead,1.000000,SYNTHETIC_CASE,EV_ATTR_CASE_003_02,true,gp_v2_cases_2
ATTR_CASE_003_03,CASE_003,MANAGER_SYNTH_00164,FUND_SYNTH_000654,COMPANY_SYNTH_000654_03,PERSON_00164_03,2021-05-13,lead,1.000000,SYNTHETIC_CASE,EV_ATTR_CASE_003_03,true,gp_v2_cases_2
ATTR_CASE_003_04,CASE_003,MANAGER_SYNTH_00164,FUND_SYNTH_000654,COMPANY_SYNTH_000654_04,PERSON_00164_01,2022-06-14,lead,1.000000,SYNTHETIC_CASE,EV_ATTR_CASE_003_04,true,gp_v2_cases_2
