fact_id,case_id,manager_id,fund_id,document_family,field_name,value_numeric,value_text,unit,effective_date,available_at,locator,review_status,conflict_group,source_kind,synthetic_flag,generator_version
FACT_CASE_001_001,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,ddq,current_strategy,,buyout / middle_market,,2026-06-30,2026-07-15,#fact_case_001_001,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_001_002,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,ddq,valuation_policy,,Quarterly marks are reviewed by the valuation committee; material overrides require documented rationale.,,2026-06-30,2026-07-15,#fact_case_001_002,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_001_003,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,lpa_terms,key_person_provision,,Departure of two named senior professionals suspends the investment period pending LPAC review.,,2026-06-30,2026-07-15,#fact_case_001_003,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_001_004,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,lpa_terms,management_fee_rate,0.018,,decimal_rate,2026-06-30,2026-07-15,#fact_case_001_004,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_001_005,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,lpa_terms,carry_rate,0.20,,decimal_rate,2026-06-30,2026-07-15,#fact_case_001_005,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_001_006,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,lpa_terms,hurdle_rate,0.08,,decimal_rate,2026-06-30,2026-07-15,#fact_case_001_006,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_001_007,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,ddq,gp_commitment_pct,0.025,,decimal_rate,2026-06-30,2026-07-15,#fact_case_001_007,REVIEW_REQUIRED,CONFLICT_CASE_001_GP_COMMITMENT,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_001_008,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,lpa_terms,gp_commitment_pct,0.020,,decimal_rate,2026-06-30,2026-07-15,#fact_case_001_008,REVIEW_REQUIRED,CONFLICT_CASE_001_GP_COMMITMENT,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_001_009,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,ddq,governance_event,,LPAC review opened for a proposed related-party continuation process.,,2026-04-15,2026-07-15,#fact_case_001_009,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_001_010,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,ddq,succession_plan,,Documented internal succession plan names two potential successors.,,2026-06-30,2026-07-15,#fact_case_001_010,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_002_001,CASE_002,MANAGER_SYNTH_00091,FUND_SYNTH_000361,ddq,current_strategy,,buyout / middle_market,,2026-06-30,2026-07-15,#fact_case_002_001,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_002_002,CASE_002,MANAGER_SYNTH_00091,FUND_SYNTH_000361,ddq,valuation_policy,,Quarterly marks are reviewed by the valuation committee; material overrides require documented rationale.,,2026-06-30,2026-07-15,#fact_case_002_002,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
FACT_CASE_002_003,CASE_002,MANAGER_SYNTH_00091,FUND_SYNTH_000361,lpa_terms,key_person_provision,,Departure of two named senior professionals suspends the investment period pending LPAC review.,,2026-06-30,2026-07-15,#fact_case_002_003,ACCEPTED,,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
