event_id,case_id,manager_id,fund_id,portfolio_company_id,instrument_id,event_date,event_type,invested_cost,proceeds,distribution,fee,carry,facility_draw,facility_repayment,facility_interest,currency,status_after_event,evidence_id,synthetic_flag,generator_version
CASEEV_CASE_001_01_INVEST,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,COMPANY_SYNTH_000701_01,INSTR_SYNTH_000701_01,2022-04-10,investment,25.000000,,,,,,,,USD,active,EV_CASE_CASE_001_01_INVEST,true,gp_v2_cases_2
CASEEV_CASE_001_01_EXIT,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,COMPANY_SYNTH_000701_01,INSTR_SYNTH_000701_01,2026-03-31,realization,,45.000000,45.000000,,,,,,USD,realized,EV_CASE_CASE_001_01_EXIT,true,gp_v2_cases_2
CASEEV_CASE_001_02_INVEST,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,COMPANY_SYNTH_000701_03,INSTR_SYNTH_000701_03,2021-05-10,investment,20.000000,,,,,,,,USD,active,EV_CASE_CASE_001_02_INVEST,true,gp_v2_cases_2
CASEEV_CASE_001_02_EXIT,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,COMPANY_SYNTH_000701_03,INSTR_SYNTH_000701_03,2026-04-15,realization,,12.000000,12.000000,,,,,,USD,realized,EV_CASE_CASE_001_02_EXIT,true,gp_v2_cases_2
CASEEV_CASE_001_03_INVEST,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,COMPANY_SYNTH_000701_04,INSTR_SYNTH_000701_04,2022-06-10,investment,10.000000,,,,,,,,USD,active,EV_CASE_CASE_001_03_INVEST,true,gp_v2_cases_2
CASEEV_CASE_001_03_EXIT,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,COMPANY_SYNTH_000701_04,INSTR_SYNTH_000701_04,2026-02-28,realization,,0.000000,0.000000,,,,,,USD,writeoff,EV_CASE_CASE_001_03_EXIT,true,gp_v2_cases_2
CASEEV_CASE_001_04_INVEST,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,COMPANY_SYNTH_000701_05,INSTR_SYNTH_000701_05,2021-07-10,investment,45.000000,,,,,,,,USD,active,EV_CASE_CASE_001_04_INVEST,true,gp_v2_cases_2
CASEEV_CASE_001_04_PARTIAL,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,COMPANY_SYNTH_000701_05,INSTR_SYNTH_000701_05,2026-03-15,partial_realization,,10.000000,10.000000,,,,,,USD,active,EV_CASE_CASE_001_04_PARTIAL,true,gp_v2_cases_2
CASEEV_CASE_001_LP_CALL_1,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,,,2022-04-10,lp_capital_call,25.000000,,,0.450000,,,,,USD,funded,EV_CASE_CASE_001_LP_CALL_1,true,gp_v2_cases_2
CASEEV_CASE_001_LP_CALL_2,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,,,2021-05-10,lp_capital_call,20.000000,,,0.360000,,,,,USD,funded,EV_CASE_CASE_001_LP_CALL_2,true,gp_v2_cases_2
CASEEV_CASE_001_LP_CALL_3,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,,,2022-06-10,lp_capital_call,10.000000,,,0.180000,,,,,USD,funded,EV_CASE_CASE_001_LP_CALL_3,true,gp_v2_cases_2
CASEEV_CASE_001_LP_CALL_4,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,,,2021-07-10,lp_capital_call,45.000000,,,0.810000,,,,,USD,funded,EV_CASE_CASE_001_LP_CALL_4,true,gp_v2_cases_2
CASEEV_CASE_002_01_INVEST,CASE_002,MANAGER_SYNTH_00091,FUND_SYNTH_000361,COMPANY_SYNTH_000361_01,INSTR_SYNTH_000361_01,2022-04-10,investment,25.000000,,,,,,,,USD,active,EV_CASE_CASE_002_01_INVEST,true,gp_v2_cases_2
CASEEV_CASE_002_01_EXIT,CASE_002,MANAGER_SYNTH_00091,FUND_SYNTH_000361,COMPANY_SYNTH_000361_01,INSTR_SYNTH_000361_01,2026-03-31,realization,,45.000000,45.000000,,,,,,USD,realized,EV_CASE_CASE_002_01_EXIT,true,gp_v2_cases_2
CASEEV_CASE_002_02_INVEST,CASE_002,MANAGER_SYNTH_00091,FUND_SYNTH_000361,COMPANY_SYNTH_000361_02,INSTR_SYNTH_000361_02,2021-05-10,investment,20.000000,,,,,,,,USD,active,EV_CASE_CASE_002_02_INVEST,true,gp_v2_cases_2
CASEEV_CASE_002_02_EXIT,CASE_002,MANAGER_SYNTH_00091,FUND_SYNTH_000361,COMPANY_SYNTH_000361_02,INSTR_SYNTH_000361_02,2026-04-15,realization,,12.000000,12.000000,,,,,,USD,realized,EV_CASE_CASE_002_02_EXIT,true,gp_v2_cases_2
