document_id,case_id,manager_id,fund_id,document_family,path,sha256,effective_date,available_at,case_locator,source_kind,synthetic_flag,generator_version
DOC_DDQ_CASE_001,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,ddq,data/documents/ddq.html,9eb14778af18ee37f8c100ca1719825383847951d8baecace69ae861c715d3f6,2026-06-30,2026-07-15,#case_001,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
DOC_DDQ_CASE_002,CASE_002,MANAGER_SYNTH_00091,FUND_SYNTH_000361,ddq,data/documents/ddq.html,9eb14778af18ee37f8c100ca1719825383847951d8baecace69ae861c715d3f6,2026-06-30,2026-07-15,#case_002,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
DOC_DDQ_CASE_003,CASE_003,MANAGER_SYNTH_00164,FUND_SYNTH_000654,ddq,data/documents/ddq.html,9eb14778af18ee37f8c100ca1719825383847951d8baecace69ae861c715d3f6,2026-06-30,2026-07-15,#case_003,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
DOC_LPA_TERMS_CASE_001,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,lpa_terms,data/documents/lpa-terms.html,58c4a8727832f243b3854b369bf33b8db4171dc8f7f1b7bf1fea50bd7e345e03,2026-06-30,2026-07-15,#case_001,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
DOC_LPA_TERMS_CASE_002,CASE_002,MANAGER_SYNTH_00091,FUND_SYNTH_000361,lpa_terms,data/documents/lpa-terms.html,58c4a8727832f243b3854b369bf33b8db4171dc8f7f1b7bf1fea50bd7e345e03,2026-06-30,2026-07-15,#case_002,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
DOC_LPA_TERMS_CASE_003,CASE_003,MANAGER_SYNTH_00164,FUND_SYNTH_000654,lpa_terms,data/documents/lpa-terms.html,58c4a8727832f243b3854b369bf33b8db4171dc8f7f1b7bf1fea50bd7e345e03,2026-06-30,2026-07-15,#case_003,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
DOC_TRACK_RECORD_CASE_001,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,track_record,data/documents/track-record.html,4fe56c898f1819de1a52a1c3be0282c769510da27a0c4b750ff342e774db84c9,2026-06-30,2026-07-15,#case_001,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
DOC_TRACK_RECORD_CASE_002,CASE_002,MANAGER_SYNTH_00091,FUND_SYNTH_000361,track_record,data/documents/track-record.html,4fe56c898f1819de1a52a1c3be0282c769510da27a0c4b750ff342e774db84c9,2026-06-30,2026-07-15,#case_002,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
DOC_TRACK_RECORD_CASE_003,CASE_003,MANAGER_SYNTH_00164,FUND_SYNTH_000654,track_record,data/documents/track-record.html,4fe56c898f1819de1a52a1c3be0282c769510da27a0c4b750ff342e774db84c9,2026-06-30,2026-07-15,#case_003,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
DOC_TEAM_ROSTER_CASE_001,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,team_roster,data/documents/team-roster.html,222872c1b21a7fdc8202455375c4cd690e74c329579ec98f3ceb964252e1d05e,2026-06-30,2026-07-15,#case_001,SYNTHETIC_CASE_DOCUMENT,true,gp_v2_cases_2
