candidate_id,expansion_document_id,folder,proposed_doc_type,title,source_format,source_url,resolved_url,final_url,filename,native_path,priority,validation_status,download_status,http_status,bytes,sha256,magic_ok,downloaded_at,error
EXP-001,EXPDOC-001,market-reports,Secondary_Pricing,Lazard Interim 2026 Secondary Market Report,pdf,https://www.lazard.com/media/mbcj4xsi/lazard-interim-2026-secondary-market-report.pdf,https://www.lazard.com/media/mbcj4xsi/lazard-interim-2026-secondary-market-report.pdf,https://www.lazard.com/media/mbcj4xsi/lazard-interim-2026-secondary-market-report.pdf,lazard-interim-2026-secondary-market-report.pdf,Expansion/Data/source-documents/market-reports/lazard-interim-2026-secondary-market-report.pdf,P0,LIVE_VALIDATED,EXISTS,,1482187,db7a709a2686a65d34254ea8d8d19c97ef60916d5cf2e6d88ae2b7cb9c7a0e75,TRUE,2026-09-14T01:56:13Z,
EXP-002,EXPDOC-002,market-reports,Secondary_Pricing,Lazard 2025 Secondary Market Report,pdf,https://www.lazard.com/media/gjzjxh1x/lazard-2025-secondary-market-report_vff.pdf,https://www.lazard.com/media/gjzjxh1x/lazard-2025-secondary-market-report_vff.pdf,https://www.lazard.com/media/gjzjxh1x/lazard-2025-secondary-market-report_vff.pdf,lazard-2025-secondary-market-report.pdf,Expansion/Data/source-documents/market-reports/lazard-2025-secondary-market-report.pdf,P0,LIVE_VALIDATED,EXISTS,,1404968,bce0a9989ffbe69192a0d8421c10f0ca89b637e05a3321af1cdb48f02df42ad6,TRUE,2026-09-14T01:56:13Z,
EXP-003,EXPDOC-003,market-reports,Secondary_Pricing,Lazard 2024 Secondary Market Report,pdf,https://www.lazard.com/media/drch42gk/lazard-2024-secondary-market-report.pdf,https://www.lazard.com/media/drch42gk/lazard-2024-secondary-market-report.pdf,https://www.lazard.com/media/drch42gk/lazard-2024-secondary-market-report.pdf,lazard-2024-secondary-market-report.pdf,Expansion/Data/source-documents/market-reports/lazard-2024-secondary-market-report.pdf,P0,LIVE_VALIDATED,EXISTS,,1310882,9efabdc0825450ec09aae2d502e2f3cff3d58ea344fa380f3975a968940a828a,TRUE,2026-09-14T01:56:13Z,
EXP-004,EXPDOC-004,market-reports,Secondary_Pricing,Lazard Interim 2024 Secondary Market Report,pdf,https://www.lazard.com/media/oehdl3as/lazard-interim-2024-secondary-market-report.pdf,https://www.lazard.com/media/oehdl3as/lazard-interim-2024-secondary-market-report.pdf,https://www.lazard.com/media/oehdl3as/lazard-interim-2024-secondary-market-report.pdf,lazard-interim-2024-secondary-market-report.pdf,Expansion/Data/source-documents/market-reports/lazard-interim-2024-secondary-market-report.pdf,P1,LIVE_VALIDATED,EXISTS,,1475185,ef4d3e2f406ec3bfaf4b3130bb6fcaa504e46c7ed824e4a99ecd273d286400fe,TRUE,2026-09-14T01:56:13Z,
EXP-005,EXPDOC-005,market-reports,Secondary_Pricing,Evercore PCA 2025 Secondary Market Report,pdf,https://www.evercore.com/wp-content/uploads/2026/02/Evercore-PCA-2025-Secondary-Market-Report.pdf,https://www.evercore.com/wp-content/uploads/2026/02/Evercore-PCA-2025-Secondary-Market-Report.pdf,https://www.evercore.com/wp-content/uploads/2026/02/Evercore-PCA-2025-Secondary-Market-Report.pdf,evercore-pca-2025-secondary-market-report.pdf,Expansion/Data/source-documents/market-reports/evercore-pca-2025-secondary-market-report.pdf,P0,LIVE_VALIDATED,EXISTS,,3790671,3ff5d6b5b415bfafee938f4872fb01523c8a42bd6ae1e3aeb42be4691355b8ab,TRUE,2026-09-14T01:56:13Z,
EXP-006,EXPDOC-006,market-reports,Secondary_Pricing,Jefferies 2025 Global Secondary Market Review,html,https://www.jefferies.com/insights/leadership-spotlight/2025-global-secondary-market-review-another-record-breaking-year/,https://www.jefferies.com/insights/leadership-spotlight/2025-global-secondary-market-review-another-record-breaking-year/,https://www.jefferies.com/insights/leadership-spotlight/2025-global-secondary-market-review-another-record-breaking-year/,jefferies-2025-global-secondary-market-review.html,Expansion/Data/source-documents/market-reports/jefferies-2025-global-secondary-market-review.html,P0,LIVE_VALIDATED,EXISTS,,278914,d0a9f3dfcfe25b8c834b743f75769bae42f44dba46a5e261f6a13ddf6b4de831,TRUE,2026-09-14T01:56:13Z,
EXP-007,EXPDOC-007,ilpa,Continuation_Fund,ILPA Continuation Funds Considerations for LPs and GPs,pdf,https://ilpa.org/wp-content/uploads/2023/05/Continuation-Funds-Considerations-for-Limited-Partners-and-General-Partners.pdf,https://ilpa.org/wp-content/uploads/2023/05/Continuation-Funds-Considerations-for-Limited-Partners-and-General-Partners.pdf,https://ilpa.org/wp-content/uploads/2023/05/Continuation-Funds-Considerations-for-Limited-Partners-and-General-Partners.pdf,ilpa-continuation-funds-considerations.pdf,Expansion/Data/source-documents/ilpa/ilpa-continuation-funds-considerations.pdf,P0,LIVE_VALIDATED,DOWNLOADED,200,352709,30323290c269464e5fa0530cd39017f16d3a0f0e13677d4ec94b1baad9392ca8,TRUE,2026-09-14T01:56:13Z,
EXP-008,EXPDOC-008,ilpa,Continuation_Fund,ILPA Continuation Fund Disclosure Mock Multi-Asset,pdf,https://ilpa.org/wp-content/uploads/2026/04/ILPA-Continuation-Fund-Disclosure-Template_Coller-Response_Multi-Asset.pdf,https://ilpa.org/wp-content/uploads/2026/04/ILPA-Continuation-Fund-Disclosure-Template_Coller-Response_Multi-Asset.pdf,https://ilpa.org/wp-content/uploads/2026/04/ILPA-Continuation-Fund-Disclosure-Template_Coller-Response_Multi-Asset.pdf,ilpa-continuation-disclosure-mock-multi-asset.pdf,Expansion/Data/source-documents/ilpa/ilpa-continuation-disclosure-mock-multi-asset.pdf,P0,LIVE_VALIDATED,DOWNLOADED,200,247399,2c42e4abfa9a38c4933f0fbcc58d8826c4acd09a24b44eb6356343a6a2e8fadd,TRUE,2026-09-14T01:56:13Z,
EXP-009,EXPDOC-009,ilpa,Continuation_Fund,ILPA Continuation Fund Disclosure Mock Single-Asset,pdf,https://ilpa.org/wp-content/uploads/2026/04/ILPA-Continuation-Fund-Disclosure-Template_Coller-Response_Single-Asset.pdf,https://ilpa.org/wp-content/uploads/2026/04/ILPA-Continuation-Fund-Disclosure-Template_Coller-Response_Single-Asset.pdf,https://ilpa.org/wp-content/uploads/2026/04/ILPA-Continuation-Fund-Disclosure-Template_Coller-Response_Single-Asset.pdf,ilpa-continuation-disclosure-mock-single-asset.pdf,Expansion/Data/source-documents/ilpa/ilpa-continuation-disclosure-mock-single-asset.pdf,P0,LIVE_VALIDATED,DOWNLOADED,200,244532,6a5e476483771b26a1204504cffcdb05071689b1346938e26ac1d6c859c5c0ec,TRUE,2026-09-14T01:56:13Z,
EXP-010,EXPDOC-010,ilpa,Cash_Flow_Notice,ILPA Capital Call and Distribution Template Definitions,pdf,https://ilpa.org/wp-content/uploads/2025/09/Capital-Call-Template-Definitions.pdf,https://ilpa.org/wp-content/uploads/2025/09/Capital-Call-Template-Definitions.pdf,https://ilpa.org/wp-content/uploads/2025/09/Capital-Call-Template-Definitions.pdf,ilpa-capital-call-distribution-definitions.pdf,Expansion/Data/source-documents/ilpa/ilpa-capital-call-distribution-definitions.pdf,P0,LIVE_VALIDATED,DOWNLOADED,200,199120,9da23fec7688ec73589000b9d1fc9dda325d4d28d89691ba10b90efb69c2fb3d,TRUE,2026-09-14T01:56:13Z,
EXP-011,EXPDOC-011,ilpa,Cash_Flow_Notice,ILPA Capital Call and Distribution Suggested Guidance,pdf,https://ilpa.org/wp-content/uploads/2025/09/ILPA-Suggested-Guidance-2025-Final.pdf,https://ilpa.org/wp-content/uploads/2025/09/ILPA-Suggested-Guidance-2025-Final.pdf,https://ilpa.org/wp-content/uploads/2025/09/ILPA-Suggested-Guidance-2025-Final.pdf,ilpa-capital-call-distribution-guidance.pdf,Expansion/Data/source-documents/ilpa/ilpa-capital-call-distribution-guidance.pdf,P0,LIVE_VALIDATED,DOWNLOADED,200,866758,5fe91c5f7859aae5cc3164ea205ff722e13d165b37fb40781fe692c2558ec18a,TRUE,2026-09-14T01:56:14Z,
