"pair_id","decision","reason","contract_version","file_id","source_sha256","canonical_doc_type","route","product_tier","agent_role","record_family","source_page","source_structure_type","source_section","source_table","source_row_label","source_column_label","source_occurrence","subject_type","subject_name","asset_class","strategy","geography","manager_name","investor_name","portfolio_name","vintage_year","period_start","period_end","as_of_date","horizon","currency_scale","metric_category","metric_name","metric_value_raw","unit","term_category","text_raw","basis_raw","condition_raw","evidence_quote","evidence_class","notes","source_agents","adjudication_status","definition_keys","method","fee_basis","value_scope","sector"
"PAIR_BD8DA068644D91A45CCEA90B","MERGE","Cover prints Real Estate and PUBLIC SCHOOL EMPLOYEES RETIREMENT SYSTEM on separate lines; A quote is one verbatim line, B quote joins two. Kept A keying and added the printed period_end Second Quarter 2017.","2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","document_context","1","DOCUMENT","Real Estate","Real Estate","DOCUMENT","","1","document","Real Estate","Real Estate","","","","PUBLIC SCHOOL EMPLOYEES’ RETIREMENT SYSTEM","Real Estate","","","Second Quarter 2017","","","","","","","","","","","","Real Estate","actual","","","","","","","",""
"PAIR_3A8645A3D3B04B2A35F87390","MERGE","Page prints the heading Commitments Approved and Executed Since April 1, 2017 above the table, so A section is right; the Type column prints Value Added, which has no row under context strategy in context-grouping-map.csv, so strategy stays blank and the printed word remains in the evidence quote.","2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","fund_economics_observation","3","TABLE","Commitments Approved and Executed Since April 1, 2017","Commitments Approved and Executed Since April 1, 2017","Ares US Real Estate Fund IX, L.P.","Commitment ($M)","1","fund","Ares US Real Estate Fund IX, L.P.","","","","","","","","April 1, 2017","","","","($M)","commitment","Commitment ($M)","$100.0","","","","","","Ares US Real Estate Fund IX, L.P. Value Added $100.0 3/10/17 5/3/17","actual","","","","","","","",""
"PAIR_51533909A099EA1FB4F9E4B6","MERGE","Same table and same reason as the Ares row: A printed section heading kept, Value Added left out of strategy because context-grouping-map.csv carries no strategy row for it.","2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","fund_economics_observation","3","TABLE","Commitments Approved and Executed Since April 1, 2017","Commitments Approved and Executed Since April 1, 2017","AG Europe Realty Fund II, L.P.","Commitment ($M)","1","fund","AG Europe Realty Fund II, L.P.","","","","","","","","April 1, 2017","","","","($M)","commitment","Commitment ($M)","$100.0","","","","","","AG Europe Realty Fund II, L.P. Value Added $100.0 6/16/17 6/19/17","actual","","","","","","","",""
"PAIR_7086F4549D08CE674FBF2696","MERGE","Same table and same reason: A printed section heading kept, Value Added left out of strategy because context-grouping-map.csv carries no strategy row for it.","2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","fund_economics_observation","3","TABLE","Commitments Approved and Executed Since April 1, 2017","Commitments Approved and Executed Since April 1, 2017","Almanac Realty Securities VIII, LP","Commitment ($M)","1","fund","Almanac Realty Securities VIII, LP","","","","","","","","April 1, 2017","","","","($M)","commitment","Commitment ($M)","$150.0","","","","","","Almanac Realty Securities VIII, LP Value Added $150.0 12/8/17 pending","actual","","","","","","","",""
"PAIR_16B6E2AD54F846578F2C519B","MERGE","A printed section heading kept; here the Type column prints Opportunistic, which does have a strategy row in context-grouping-map.csv, so B strategy is carried through.","2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","fund_economics_observation","3","TABLE","Commitments Approved and Executed Since April 1, 2017","Commitments Approved and Executed Since April 1, 2017","Carlyle Realty Partners VIII, L.P.","Commitment ($M)","1","fund","Carlyle Realty Partners VIII, L.P.","","Opportunistic","","","","","","April 1, 2017","","","","($M)","commitment","Commitment ($M)","$200.0","","","","","","Carlyle Realty Partners VIII, L.P. Opportunistic $200.0 3/10/17 5/3/17","actual","","","","","","","",""
"PAIR_60FCDD6F98AAB45A3BB63723","ACCEPT_A","Only difference is source_section; the page prints the heading Portfolio Snapshot for Real Estate above the table, and blank there while the page prints a title is a defect.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_61326E2C36C61BA340E06EF0","ACCEPT_A","A carries the printed section heading; B also put Market Value in condition_raw, but the row a note annotates is not a condition on the note.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAIR_DCF3F85F95E1640294DF2BF6","MERGE","Neither lane complete: A carries the printed heading and asset_class Real Estate from the stub Real Estate ($M), B carries as_of_date 1Q17 and the printed marker. The label prints Capital Committed with superscript (1), so definition_keys is 1 as printed even though the page footnotes are keyed a and b.","2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","fund_economics_observation","5","TABLE","Portfolio Snapshot for Real Estate","Portfolio Snapshot for Real Estate","Capital Committed","1Q17","1","portfolio","Real Estate","Real Estate","","","","","","","","","1Q17","","($M)","commitment","Capital Committed","$21,088.1","","","","","","Capital Committed (1) $21,088.1 $21,546.2 $458.1","actual","","","","1","","","",""
"PAIR_B98A495CA03ED3E54F62FD87","MERGE","Same table and same split as the 1Q17 cell: A heading and asset_class, B as_of_date 2Q17 and printed marker 1.","2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","fund_economics_observation","5","TABLE","Portfolio Snapshot for Real Estate","Portfolio Snapshot for Real Estate","Capital Committed","2Q17","1","portfolio","Real Estate","Real Estate","","","","","","","","","2Q17","","($M)","commitment","Capital Committed","$21,546.2","","","","","","Capital Committed (1) $21,088.1 $21,546.2 $458.1","actual","","","","1","","","",""
"PAIR_CDFDFBAF6332560399F3D18A","MERGE","Change column names no date and no measurement window, so as_of_date and horizon are both blank and the printed column stays in source_column_label; A heading and asset_class kept, printed marker 1 kept.","2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","fund_economics_observation","5","TABLE","Portfolio Snapshot for Real Estate","Portfolio Snapshot for Real Estate","Capital Committed","Change","1","portfolio","Real Estate","Real Estate","","","","","","","","","","","($M)","commitment","Capital Committed","$458.1","","","","","","Capital Committed (1) $21,088.1 $21,546.2 $458.1","actual","","","","1","","","",""
"PAIR_AE2FEF8210BEF77B7CCDFD19","MERGE","A heading and asset_class, B as_of_date; the row carries no printed marker.","2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","fund_economics_observation","5","TABLE","Portfolio Snapshot for Real Estate","Portfolio Snapshot for Real Estate","Unfunded Commitment","1Q17","1","portfolio","Real Estate","Real Estate","","","","","","","","","1Q17","","($M)","unfunded_commitment","Unfunded Commitment","$2,175.7","","","","","","Unfunded Commitment $2,175.7 $2,472.6 $296.9","actual","","","","","","","",""
"PAIR_185FD21230FC073491668234","MERGE","A heading and asset_class, B as_of_date.","2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","fund_economics_observation","5","TABLE","Portfolio Snapshot for Real Estate","Portfolio Snapshot for Real Estate","Unfunded Commitment","2Q17","1","portfolio","Real Estate","Real Estate","","","","","","","","","2Q17","","($M)","unfunded_commitment","Unfunded Commitment","$2,472.6","","","","","","Unfunded Commitment $2,175.7 $2,472.6 $296.9","actual","","","","","","","",""
"PAIR_9F8A9D627A569FF86BAF2ECF","MERGE","Change column names no date and no window; A heading and asset_class kept.","2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","fund_economics_observation","5","TABLE","Portfolio Snapshot for Real Estate","Portfolio Snapshot for Real Estate","Unfunded Commitment","Change","1","portfolio","Real Estate","Real Estate","","","","","","","","","","","($M)","unfunded_commitment","Unfunded Commitment","$296.9","","","","","","Unfunded Commitment $2,175.7 $2,472.6 $296.9","actual","","","","","","","",""
"PAIR_7F779D44218AB62CDEF44A35","MERGE","A heading and asset_class, B as_of_date.","2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","fund_economics_observation","5","TABLE","Portfolio Snapshot for Real Estate","Portfolio Snapshot for Real Estate","Contributions","1Q17","1","portfolio","Real Estate","Real Estate","","","","","","","","","1Q17","","($M)","contribution","Contributions","$143.0","","","","","","Contributions $143.0 $151.5 $8.5","actual","","","","","","","",""
"PAIR_40FEAB3991B3C88412610C81","MERGE","A heading and asset_class, B as_of_date.","2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","fund_economics_observation","5","TABLE","Portfolio Snapshot for Real Estate","Portfolio Snapshot for Real Estate","Contributions","2Q17","1","portfolio","Real Estate","Real Estate","","","","","","","","","2Q17","","($M)","contribution","Contributions","$151.5","","","","","","Contributions $143.0 $151.5 $8.5","actual","","","","","","","",""
"PAIR_CB4108EA08669FDF67564212","MERGE","Change column names no date and no window; A heading and asset_class kept.","2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","fund_economics_observation","5","TABLE","Portfolio Snapshot for Real Estate","Portfolio Snapshot for Real Estate","Contributions","Change","1","portfolio","Real Estate","Real Estate","","","","","","","","","","","($M)","contribution","Contributions","$8.5","","","","","","Contributions $143.0 $151.5 $8.5","actual","","","","","","","",""
"PAIR_9C853F22F36EFADE642986AF","MERGE","A heading and asset_class, B as_of_date; distribution is not a qualified category, so the value_scope A wrote is dropped.","2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","fund_economics_observation","5","TABLE","Portfolio Snapshot for Real Estate","Portfolio Snapshot for Real Estate","Distributions","1Q17","1","portfolio","Real Estate","Real Estate","","","","","","","","","1Q17","","($M)","distribution","Distributions","($289.5)","","","","","","Distributions ($289.5) ($272.1) ($17.5)","actual","","","","","","","",""
"PAIR_CA92DC611D17F18F1FE7D143","MERGE","A heading and asset_class, B as_of_date; distribution is not a qualified category.","2026-09-01.2","SRC099","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","Quarterly_Report","04-quarterly-report","CORE","ADJUDICATED","fund_economics_observation","5","TABLE","Portfolio Snapshot for Real Estate","Portfolio Snapshot for Real Estate","Distributions","2Q17","1","portfolio","Real Estate","Real Estate","","","","","","","","","2Q17","","($M)","distribution","Distributions","($272.1)","","","","","","Distributions ($289.5) ($272.1) ($17.5)","actual","","","","","","","",""
