"source_page","a_page_status","b_page_status","a_layout_checked","b_layout_checked","a_expected_observation_count","b_expected_observation_count","a_source_structures","b_source_structures","a_relevant_record_families","b_relevant_record_families","difference_fields"
"1","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","AIMA'S ILLUSTRATIVE QUESTIONNAIRE FOR DUE DILIGENCE OF | Bear Stearns High Grade Structured Credit Strategies Fund","","","layout_checked|source_structures"
"2","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","AIMA'S ILLUSTRATIVE QUESTIONNAIRE FOR DUE DILIGENCE REVIEW OF HEDGE FUND MANAGERS | DISCLAIMER | IMPORTANT","","","layout_checked|source_structures"
"3","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","AIMA'S ILLUSTRATIVE QUESTIONNAIRE FOR DUE DILIGENCE REVIEW OF HEDGE FUND MANAGERS | CONTENTS","","","layout_checked|source_structures"
"4","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","NO","YES","0","2","","COMPANY | DOCUMENT","","ddq_quantitative_observation | document_context","page_status|layout_checked|expected_observation_count|source_structures|relevant_record_families"
"5","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","NO","YES","0","1","","COMPANY","","ddq_quantitative_observation","page_status|layout_checked|expected_observation_count|source_structures|relevant_record_families"
"6","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","13","14","COMPANY | ORGANISATION | OWNERSHIP","COMPANY | ORGANISATION | OWNERSHIP","ddq_quantitative_observation","ddq_quantitative_observation","expected_observation_count"
"7","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","2","7","FEES","FEES | FUND DETAILS","ddq_quantitative_observation","ddq_quantitative_observation","expected_observation_count|source_structures"
"8","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","5","8","INVESTMENT/REDEMPTION AND LOCK UP TERMS","INVESTMENT/REDEMPTION AND LOCK UP TERMS","ddq_quantitative_observation","ddq_quantitative_observation","expected_observation_count"
"9","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","FUND ADMINISTRATOR | FUND DIRECTORS","","","layout_checked|source_structures"
"10","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","AUDITOR | CUSTODIAN | FUND PRICING | PRIME BROKER","","","layout_checked|source_structures"
"11","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","6","7","FUND ASSETS","FUND ASSETS","ddq_quantitative_observation","ddq_quantitative_observation","expected_observation_count"
"12","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","DRAWDOWNS | FUND PERFORMANCE | MANAGEMENT TEAM'S CO-INVESTMENT | OTHER | WITHDRAWALS","","","layout_checked|source_structures"
"13","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","3","2","DOCUMENT | MANAGER TRACK RECORD","MANAGER TRACK RECORD","ddq_quantitative_observation | document_context","ddq_quantitative_observation","expected_observation_count|source_structures|relevant_record_families"
"14","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","NO","YES","0","1","","INVESTMENT STRATEGY","","ddq_quantitative_observation","page_status|layout_checked|expected_observation_count|source_structures|relevant_record_families"
"15","NO_ELIGIBLE_DATA","ELIGIBLE_DATA_EXTRACTED","NO","YES","0","3","","INVESTMENT STRATEGY","","ddq_quantitative_observation","page_status|layout_checked|expected_observation_count|source_structures|relevant_record_families"
"16","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","4","6","LEVERAGE | RISK MANAGEMENT","LEVERAGE | RISK MANAGEMENT","ddq_quantitative_observation","ddq_quantitative_observation","expected_observation_count"
"17","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","1","1","EXTERNAL CONTROLS","RISK MANAGEMENT","ddq_quantitative_observation","ddq_quantitative_observation","source_structures"
"18","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","INVESTMENT RESEARCH | INVESTOR SERVICE / REPORTING","","","layout_checked|source_structures"
"19","ELIGIBLE_DATA_EXTRACTED","NO_ELIGIBLE_DATA","YES","YES","2","0","COMPLIANCE","COMPLIANCE | EXECUTION & TRADING","ddq_quantitative_observation","","page_status|expected_observation_count|source_structures|relevant_record_families"
"20","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","ANTI-MONEY LAUNDERING POLICY | COMPLIANCE | LEGAL","","","layout_checked|source_structures"
"21","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","BUSINESS CONTINUITY | INSURANCE","","","layout_checked|source_structures"
"22","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","NO","YES","0","0","","BUSINESS CONTINUITY | SIGNATURE","","","layout_checked|source_structures"
