master_id,source,inventory_ids,proposed_matrices,evidence_locations
M001,src/analytics/run_extracted_analytics.py,A:T185|C:T001,data/normalization/transformations/extracted-measurable.csv|data/normalization/transformations/measurability-rule.csv,src/analytics/run_extracted_analytics.py:27
M002,src/analytics/run_integrated_analytics.py,A:T193|C:T002,data/normalization/transformations/portfolio-perspective.csv,src/analytics/run_integrated_analytics.py:31
M003,src/analytics/run_round04_analytics.py,C:T003,data/normalization/transformations/analytics-quality-gate.csv,src/analytics/run_round04_analytics.py:63
M004,src/analytics/run_round04_analytics.py,A:T050|C:T004,data/normalization/transformations/rounding-policy.csv|data/normalization/transformations/weight-quantum.csv,src/analytics/run_round04_analytics.py:64
M005,src/analytics/run_round04_analytics.py,A:T056,data/normalization/transformations/benchmark-join-policy.csv,src/analytics/run_round04_analytics.py:104
M006,src/analytics/run_round04_analytics.py,A:T051,data/normalization/transformations/rounding-policy.csv,src/analytics/run_round04_analytics.py:414
M007,src/analytics/run_round04_analytics.py,A:T057|C:T005,data/normalization/transformations/expected-return-precedence.csv|data/normalization/transformations/field-fallback-order.csv,src/analytics/run_round04_analytics.py:528
M008,src/analytics/run_round04_analytics.py,A:T058,data/normalization/transformations/identifier-composition.csv,src/analytics/run_round04_analytics.py:533
M009,src/analytics/run_round04_analytics.py,A:T049,data/normalization/transformations/quality-approval-policy.csv,src/analytics/run_round04_analytics.py:735
M010,src/analytics/run_round04_analytics.py,A:T053,data/normalization/transformations/identifier-composition.csv,src/analytics/run_round04_analytics.py:871
M011,src/analytics/run_round04_analytics.py,A:T054,data/normalization/transformations/field-fallback-order.csv,src/analytics/run_round04_analytics.py:893
M012,src/analytics/run_round04_analytics.py,A:T055,data/normalization/transformations/benchmark-index-construction.csv,src/analytics/run_round04_analytics.py:955
M013,src/analytics/run_round04_analytics.py,A:T061,data/normalization/transformations/provenance-vocabulary.csv,src/analytics/run_round04_analytics.py:1011
M014,src/analytics/run_round04_analytics.py,A:T052,data/normalization/transformations/record-status-policy.csv,src/analytics/run_round04_analytics.py:1024
M015,src/analytics/run_round04_analytics.py,A:T059,data/normalization/transformations/rounding-policy.csv,src/analytics/run_round04_analytics.py:1102
M016,src/analytics/run_round04_analytics.py,A:T060,data/normalization/transformations/identifier-composition.csv,src/analytics/run_round04_analytics.py:1110
M017,src/catalog/build_txt_corpus.py,A:T174|C:T006,data/normalization/transformations/control-characters.csv|data/normalization/transformations/text-sanitization.csv,src/catalog/build_txt_corpus.py:61
M018,src/catalog/build_txt_corpus.py,A:T175,data/normalization/transformations/ocr-settings.csv,src/catalog/build_txt_corpus.py:89
M019,src/catalog/build_txt_corpus.py,A:T176,data/normalization/transformations/text-sanitization.csv,src/catalog/build_txt_corpus.py:127
M020,src/catalog/census_field_labels.py,A:T183|C:T007,data/normalization/transformations/field-label-census.csv|data/normalization/transformations/field-label-patterns.csv,src/catalog/census_field_labels.py:31
M021,src/catalog/repair_split_numbers.py,A:T177|C:T008,data/normalization/transformations/split-number-rules.csv,src/catalog/repair_split_numbers.py:41
M022,src/catalog/simple_pdf_extraction/build_csv_pipeline.py,A:T090,data/normalization/transformations/numeric-text-format.csv,src/catalog/simple_pdf_extraction/build_csv_pipeline.py:117
M023,src/catalog/simple_pdf_extraction/build_csv_pipeline.py,A:T086|C:T009,data/normalization/transformations/reference-source-rules.csv,src/catalog/simple_pdf_extraction/build_csv_pipeline.py:147
M024,src/catalog/simple_pdf_extraction/build_csv_pipeline.py,A:T088,data/normalization/transformations/routing-status.csv,src/catalog/simple_pdf_extraction/build_csv_pipeline.py:238
M025,src/catalog/simple_pdf_extraction/build_csv_pipeline.py,C:T010,data/normalization/transformations/dispatch-scope-rules.csv,src/catalog/simple_pdf_extraction/build_csv_pipeline.py:270
M026,src/catalog/simple_pdf_extraction/build_csv_pipeline.py,A:T087,data/normalization/transformations/dispatch-scope-rules.csv,src/catalog/simple_pdf_extraction/build_csv_pipeline.py:292
M027,src/catalog/simple_pdf_extraction/build_csv_pipeline.py,A:T091,data/normalization/transformations/table-cell-rule.csv,src/catalog/simple_pdf_extraction/build_csv_pipeline.py:369
M028,src/catalog/simple_pdf_extraction/build_csv_pipeline.py,A:T089|C:T011,data/normalization/transformations/excluded-scope.csv,src/catalog/simple_pdf_extraction/build_csv_pipeline.py:405
M029,src/catalog/simple_pdf_extraction/build_csv_pipeline.py,A:T094,data/normalization/transformations/label-normalization-rules.csv,src/catalog/simple_pdf_extraction/build_csv_pipeline.py:639
M030,src/catalog/simple_pdf_extraction/build_csv_pipeline.py,A:T092|C:T012,data/normalization/transformations/printed-label-to-category.csv,src/catalog/simple_pdf_extraction/build_csv_pipeline.py:706
M031,src/catalog/simple_pdf_extraction/build_csv_pipeline.py,A:T093,data/normalization/transformations/printed-label-to-category.csv,src/catalog/simple_pdf_extraction/build_csv_pipeline.py:733
M032,src/catalog/simple_pdf_extraction/build_csv_pipeline.py,A:T095,data/normalization/transformations/family-signature.csv,src/catalog/simple_pdf_extraction/build_csv_pipeline.py:799
M033,src/catalog/simple_pdf_extraction/build_csv_pipeline.py,A:T096,data/normalization/transformations/adjudication-conventions.csv,src/catalog/simple_pdf_extraction/build_csv_pipeline.py:1377
M034,src/catalog/simple_pdf_extraction/build_page_grids.py,A:T192,data/normalization/transformations/text-layer-classification.csv,src/catalog/simple_pdf_extraction/build_page_grids.py:48
