batch,source,expected_sites
1,src/flatten/pivot_wide.py,14
1,src/load/load_csv_to_duckdb.py,3
1,src/load/promote_extracted_to_fund_level.py,62
1,src/load/validate_round02_promotion.py,18
1,src/quality/run_fund_checks.py,11
2,src/analytics/run_extracted_analytics.py,1
2,src/analytics/run_integrated_analytics.py,1
2,src/analytics/run_round04_analytics.py,14
2,src/common/finance.py,3
2,src/flatten/flatten_extracted.py,39
2,src/flatten/load_star.py,1
2,src/market_data/curate_public_markets.py,34
3,src/catalog/simple_pdf_extraction/build_csv_pipeline.py,12
3,src/catalog/simple_pdf_extraction/build_page_grids.py,1
3,src/catalog/simple_pdf_extraction/csv_wide_contract.py,14
3,src/catalog/simple_pdf_extraction/csv_workflow.py,31
3,src/catalog/simple_pdf_extraction/field_guide.py,1
3,src/catalog/simple_pdf_extraction/fund_attributes.py,6
3,src/catalog/simple_pdf_extraction/name_normalization.py,8
3,src/catalog/simple_pdf_extraction/page_grid.py,4
3,src/pipeline/build_extraction_review.py,25
4,src/catalog/build_txt_corpus.py,3
4,src/catalog/census_field_labels.py,1
4,src/catalog/repair_split_numbers.py,1
4,src/catalog/sweep_manager_loci.py,1
4,src/generate/generate_synthetic_funds.py,15
4,src/pipeline/build_calibration_candidates.py,10
4,src/pipeline/build_extracted_database.py,2
4,src/pipeline/build_integrated_universe.py,55
4,src/pipeline/build_mock_universe.py,3
4,src/pipeline/build_reviewer_publication.py,8
4,src/pipeline/publish_review_release.py,2
4,src/pipeline/reviewer_check.py,3
4,src/pipeline/transformation_lineage.py,2
4,src/repository/build_csv_lineage.py,1
4,src/repository/build_project_manifest.py,3
4,src/repository/build_readmes.py,8
4,src/repository/check_project_structure.py,1
4,src/repository/release_audit.py,2
