"work_order","file_id","filename","page_count","canonical_doc_type","source_header_doc_type","route","product_tier","routing_status","routing_reason","issuer","source_sha256","txt_path","pdf_path","image_dir","grid_path"
"1","SRC384","Performance_UC_Regents_Chief_Investment_Officer_Report_May2025.pdf","4","Quarterly_Report","Quarterly_Report","04-quarterly-report","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","University of California Office of the Chief Investment Officer of the Regents","b2e06d492dceca8b867aac1fe20a93724668dd623d6f3a714882afac32b4c59e","data/documents/txt/Performance_UC_Regents_Chief_Investment_Officer_Report_May2025.txt","data/documents/pdf/Performance_UC_Regents_Chief_Investment_Officer_Report_May2025.pdf","data/documents/images/Performance_UC_Regents_Chief_Investment_Officer_Report_May2025","data/documents/grids/Performance_UC_Regents_Chief_Investment_Officer_Report_May2025.csv"
"2","SRC101","PCAP_Heritage_Fund_I_LP_PSERS_FOIA.pdf","6","Quarterly_Report","PCAP","04-quarterly-report","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","Heritage Partners, Inc. (General Partner)","a56370ea1e16d6916fcc52bd2c23d800a242e27c08d54ec90e5ade85d330c91e","data/documents/txt/PCAP_Heritage_Fund_I_LP_PSERS_FOIA.txt","data/documents/pdf/PCAP_Heritage_Fund_I_LP_PSERS_FOIA.pdf","data/documents/images/PCAP_Heritage_Fund_I_LP_PSERS_FOIA","data/documents/grids/PCAP_Heritage_Fund_I_LP_PSERS_FOIA.csv"
"3","SRC606","Performance_Antares_Private_Credit_Fund_Quarterly_Update_1Q2026.pdf","8","Quarterly_Report","Performance","04-quarterly-report","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","Antares Private Credit Fund","e56a601bd6fc8250db7675fad2cc69f72aa70aa5ff4dd63cc0176ad602482f9f","data/documents/txt/Performance_Antares_Private_Credit_Fund_Quarterly_Update_1Q2026.txt","data/documents/pdf/Performance_Antares_Private_Credit_Fund_Quarterly_Update_1Q2026.pdf","data/documents/images/Performance_Antares_Private_Credit_Fund_Quarterly_Update_1Q2026","data/documents/grids/Performance_Antares_Private_Credit_Fund_Quarterly_Update_1Q2026.csv"
"4","SRC457","Performance_NMERB_Real_Estate_Natural_Resources_Q4_2020.pdf","16","Quarterly_Report","Performance","04-quarterly-report","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","New Mexico Educational Retirement Board","8783ef3e2dc6cf061218360ff1c3db121d172543d661901b2d74131021935dc1","data/documents/txt/Performance_NMERB_Real_Estate_Natural_Resources_Q4_2020.txt","data/documents/pdf/Performance_NMERB_Real_Estate_Natural_Resources_Q4_2020.pdf","data/documents/images/Performance_NMERB_Real_Estate_Natural_Resources_Q4_2020","data/documents/grids/Performance_NMERB_Real_Estate_Natural_Resources_Q4_2020.csv"
"5","SRC455","Performance_NMERB_NEPC_Private_Equity_Q1_2016.pdf","17","Quarterly_Report","Performance","04-quarterly-report","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","NEPC for New Mexico Educational Retirement Board","0f0834afd02bd27f8e8f8bccab38057d61c801d99f07e6fa1ec5707d6f3e4bb6","data/documents/txt/Performance_NMERB_NEPC_Private_Equity_Q1_2016.txt","data/documents/pdf/Performance_NMERB_NEPC_Private_Equity_Q1_2016.pdf","data/documents/images/Performance_NMERB_NEPC_Private_Equity_Q1_2016","data/documents/grids/Performance_NMERB_NEPC_Private_Equity_Q1_2016.csv"
"6","SRC459","Performance_San_Jose_Police_Fire_Private_Markets_Q4_2015.pdf","19","Quarterly_Report","Performance","04-quarterly-report","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","NEPC Private Markets Research Team for San Jose Police and Fire Department Retirement Plan","380d611c624e6c3b174f1022706162b9f992f0310ac167d06d67df4af7af2fa0","data/documents/txt/Performance_San_Jose_Police_Fire_Private_Markets_Q4_2015.txt","data/documents/pdf/Performance_San_Jose_Police_Fire_Private_Markets_Q4_2015.pdf","data/documents/images/Performance_San_Jose_Police_Fire_Private_Markets_Q4_2015","data/documents/grids/Performance_San_Jose_Police_Fire_Private_Markets_Q4_2015.csv"
"7","SRC476","Performance_NMERB_Private_Equity_Q2_2018.pdf","19","Quarterly_Report","Performance","04-quarterly-report","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","NEPC for New Mexico Educational Retirement Board","f1b2d5e378181bc4a542c3fb22b7a5090e59dae5f68dea26e7b5d958b97cc1f7","data/documents/txt/Performance_NMERB_Private_Equity_Q2_2018.txt","data/documents/pdf/Performance_NMERB_Private_Equity_Q2_2018.pdf","data/documents/images/Performance_NMERB_Private_Equity_Q2_2018","data/documents/grids/Performance_NMERB_Private_Equity_Q2_2018.csv"
"8","SRC458","Performance_Nebraska_Investment_Council_Private_Equity_Q2_2025.pdf","20","Quarterly_Report","Performance","04-quarterly-report","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","Nebraska Investment Council","954e569d16ae35379a04a42d5ee6fbe0171ba4d4e3051a2a9fc0b56f36cf967e","data/documents/txt/Performance_Nebraska_Investment_Council_Private_Equity_Q2_2025.txt","data/documents/pdf/Performance_Nebraska_Investment_Council_Private_Equity_Q2_2025.pdf","data/documents/images/Performance_Nebraska_Investment_Council_Private_Equity_Q2_2025","data/documents/grids/Performance_Nebraska_Investment_Council_Private_Equity_Q2_2025.csv"
"9","SRC099","Quarterly_Report_PSERS_Real_Estate_2Q17_FOIA.pdf","21","Quarterly_Report","Quarterly_Report","04-quarterly-report","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Pennsylvania Public School Employees' Retirement System (PSERS), Non-Traditional Investments","9431fea2def509ff0b86747dfb06cd7dfc1531dc86350d120f2fb4ef252e4c66","data/documents/txt/Quarterly_Report_PSERS_Real_Estate_2Q17_FOIA.txt","data/documents/pdf/Quarterly_Report_PSERS_Real_Estate_2Q17_FOIA.pdf","data/documents/images/Quarterly_Report_PSERS_Real_Estate_2Q17_FOIA","data/documents/grids/Quarterly_Report_PSERS_Real_Estate_2Q17_FOIA.csv"
"10","SRC127","Quarterly_Report_ASKIA_PSERS_2017Q4_FOIA.pdf","23","Quarterly_Report","Quarterly_Report","04-quarterly-report","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","ASKIA (for PSERS)","a132fa79fc79b16fdfb62b66f69843593f0c0bd4299aefd78ac4b5a1e51c97ae","data/documents/txt/Quarterly_Report_ASKIA_PSERS_2017Q4_FOIA.txt","data/documents/pdf/Quarterly_Report_ASKIA_PSERS_2017Q4_FOIA.pdf","data/documents/images/Quarterly_Report_ASKIA_PSERS_2017Q4_FOIA","data/documents/grids/Quarterly_Report_ASKIA_PSERS_2017Q4_FOIA.csv"
"11","SRC199","Quarterly_Report_NC_Treasurer_Investment_Report_2025Q1.pdf","23","Quarterly_Report","Quarterly_Report","04-quarterly-report","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","North Carolina Department of State Treasurer, Investment Management Division","46e26ff3c7611aae4f2ac79e949c75e7e68a22f799f081e917faeb85575769e0","data/documents/txt/Quarterly_Report_NC_Treasurer_Investment_Report_2025Q1.txt","data/documents/pdf/Quarterly_Report_NC_Treasurer_Investment_Report_2025Q1.pdf","data/documents/images/Quarterly_Report_NC_Treasurer_Investment_Report_2025Q1","data/documents/grids/Quarterly_Report_NC_Treasurer_Investment_Report_2025Q1.csv"
"12","SRC456","Performance_NMERB_Private_Equity_Q3_2013.pdf","23","Quarterly_Report","Performance","04-quarterly-report","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","NEPC for New Mexico Educational Retirement Board","bdbb716d19d3c75d039d39e3188d042e876bdb04607320af653010fae7f3e26e","data/documents/txt/Performance_NMERB_Private_Equity_Q3_2013.txt","data/documents/pdf/Performance_NMERB_Private_Equity_Q3_2013.pdf","data/documents/images/Performance_NMERB_Private_Equity_Q3_2013","data/documents/grids/Performance_NMERB_Private_Equity_Q3_2013.csv"
"13","SRC100","Performance_USS_Investment_Builder_Quarterly_Report.pdf","25","Quarterly_Report","Quarterly_Report","04-quarterly-report","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Universities Superannuation Scheme Limited (Trustee) / USS Investment Management Ltd","4ac8fc367a2ba68bcc106f3fbe8261e379d5b203c809895abc935ded32f197c5","data/documents/txt/Performance_USS_Investment_Builder_Quarterly_Report.txt","data/documents/pdf/Performance_USS_Investment_Builder_Quarterly_Report.pdf","data/documents/images/Performance_USS_Investment_Builder_Quarterly_Report","data/documents/grids/Performance_USS_Investment_Builder_Quarterly_Report.csv"
"14","SRC166","Performance_WSIB_Quarterly_Investment_Report_Jun2025.pdf","25","Quarterly_Report","Performance","04-quarterly-report","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","Washington State Investment Board (WSIB)","c8fb2419bad80b527425274cbe825c5c67608f30db5cc23931921d39c6dff50e","data/documents/txt/Performance_WSIB_Quarterly_Investment_Report_Jun2025.txt","data/documents/pdf/Performance_WSIB_Quarterly_Investment_Report_Jun2025.pdf","data/documents/images/Performance_WSIB_Quarterly_Investment_Report_Jun2025","data/documents/grids/Performance_WSIB_Quarterly_Investment_Report_Jun2025.csv"
"15","SRC167","Performance_WSIB_Quarterly_Investment_Report_Dec2024.pdf","25","Quarterly_Report","Performance","04-quarterly-report","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","Washington State Investment Board (WSIB)","b87811265bb78d4045bb0e4e56c5f2f1243d8c45c640a1994585a46be61d60a9","data/documents/txt/Performance_WSIB_Quarterly_Investment_Report_Dec2024.txt","data/documents/pdf/Performance_WSIB_Quarterly_Investment_Report_Dec2024.pdf","data/documents/images/Performance_WSIB_Quarterly_Investment_Report_Dec2024","data/documents/grids/Performance_WSIB_Quarterly_Investment_Report_Dec2024.csv"
"16","SRC475","Performance_PA_SERS_Real_Estate_Quarterly_Q4_2022.pdf","26","Quarterly_Report","Performance","04-quarterly-report","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","Pennsylvania State Employees' Retirement System","b73397bc32943bde8594d6cd99f65bfdd80293275633da04b3d99c6b9580f060","data/documents/txt/Performance_PA_SERS_Real_Estate_Quarterly_Q4_2022.txt","data/documents/pdf/Performance_PA_SERS_Real_Estate_Quarterly_Q4_2022.pdf","data/documents/images/Performance_PA_SERS_Real_Estate_Quarterly_Q4_2022","data/documents/grids/Performance_PA_SERS_Real_Estate_Quarterly_Q4_2022.csv"
"17","SRC452","Performance_Dallas_Police_Fire_Meketa_Private_Markets_Q4_2023.pdf","28","Quarterly_Report","Performance","04-quarterly-report","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","Meketa Investment Group for Dallas Police & Fire Pension System","64e8940a7577a6f0f96084497ffe130c1ec167782b6d3af6fdecca3ff4f37580","data/documents/txt/Performance_Dallas_Police_Fire_Meketa_Private_Markets_Q4_2023.txt","data/documents/pdf/Performance_Dallas_Police_Fire_Meketa_Private_Markets_Q4_2023.pdf","data/documents/images/Performance_Dallas_Police_Fire_Meketa_Private_Markets_Q4_2023","data/documents/grids/Performance_Dallas_Police_Fire_Meketa_Private_Markets_Q4_2023.csv"
"18","SRC177","Performance_Sacramento_SCERS_Real_Estate_Performance_Q3_2025.pdf","31","Quarterly_Report","Performance","04-quarterly-report","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","Sacramento County Employees' Retirement System (SCERS)","089f6ffccf1a04983b94d76bc65a827363a81a338d56ec8be25c76f57028af2d","data/documents/txt/Performance_Sacramento_SCERS_Real_Estate_Performance_Q3_2025.txt","data/documents/pdf/Performance_Sacramento_SCERS_Real_Estate_Performance_Q3_2025.pdf","data/documents/images/Performance_Sacramento_SCERS_Real_Estate_Performance_Q3_2025","data/documents/grids/Performance_Sacramento_SCERS_Real_Estate_Performance_Q3_2025.csv"
"19","SRC470","Performance_OCERS_Meketa_Portfolio_Summary_Q1_2025.pdf","38","Quarterly_Report","Performance","04-quarterly-report","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","Meketa Investment Group for Orange County Employees Retirement System","4a570737c49b2fe071b9e18d090c6f44fe861075b770352f3691fa0683ca9b99","data/documents/txt/Performance_OCERS_Meketa_Portfolio_Summary_Q1_2025.txt","data/documents/pdf/Performance_OCERS_Meketa_Portfolio_Summary_Q1_2025.pdf","data/documents/images/Performance_OCERS_Meketa_Portfolio_Summary_Q1_2025","data/documents/grids/Performance_OCERS_Meketa_Portfolio_Summary_Q1_2025.csv"
"20","SRC205","Performance_Pennsylvania_SERS_Private_Equity_Board_Update_2025Q1.pdf","40","Quarterly_Report","Performance","04-quarterly-report","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","Pennsylvania State Employees' Retirement System (PA SERS)","222cc5b5aae04250c0b7d45296f9f4a78a9391d13a474ef088fd6a13f63a3664","data/documents/txt/Performance_Pennsylvania_SERS_Private_Equity_Board_Update_2025Q1.txt","data/documents/pdf/Performance_Pennsylvania_SERS_Private_Equity_Board_Update_2025Q1.pdf","data/documents/images/Performance_Pennsylvania_SERS_Private_Equity_Board_Update_2025Q1","data/documents/grids/Performance_Pennsylvania_SERS_Private_Equity_Board_Update_2025Q1.csv"
