"work_order","file_id","filename","page_count","canonical_doc_type","source_header_doc_type","route","product_tier","routing_status","routing_reason","issuer","source_sha256","txt_path","pdf_path","image_dir","grid_path"
"1","SRC407","Schedule_Inv_Pomona_Investment_Fund_Holdings_Dec2025.pdf","11","Schedule_Inv","Schedule_Inv","06-statements-and-economics","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Pomona Investment Fund (Pomona Capital / Voya)","42fd3fd5192cd82559b79a6adfdcdbf321ee96ab2925a30c3f3513e2aabdc3b6","data/documents/txt/Schedule_Inv_Pomona_Investment_Fund_Holdings_Dec2025.txt","data/documents/pdf/Schedule_Inv_Pomona_Investment_Fund_Holdings_Dec2025.pdf","data/documents/images/Schedule_Inv_Pomona_Investment_Fund_Holdings_Dec2025","data/documents/grids/Schedule_Inv_Pomona_Investment_Fund_Holdings_Dec2025.csv"
"2","SRC499","Regulatory_SEC_Form_13F_Institutional_Manager_Holdings.pdf","14","Schedule_Inv","Regulatory","06-statements-and-economics","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","US Securities and Exchange Commission","ba6065b13267d105fd49f7a47eb24962ad4755cd2dee8d445331432ab1e4ed42","data/documents/txt/Regulatory_SEC_Form_13F_Institutional_Manager_Holdings.txt","data/documents/pdf/Regulatory_SEC_Form_13F_Institutional_Manager_Holdings.pdf","data/documents/images/Regulatory_SEC_Form_13F_Institutional_Manager_Holdings","data/documents/grids/Regulatory_SEC_Form_13F_Institutional_Manager_Holdings.csv"
"3","SRC065","Performance_MSBI_Private_Markets_Asset_Listing_Q4_2025.pdf","16","Schedule_Inv","Performance","06-statements-and-economics","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","Minnesota State Board of Investment (SBI)","31fc798358bb803bddb6297befd3a998b961deb98ad9f3c7654cde6f77b698bc","data/documents/txt/Performance_MSBI_Private_Markets_Asset_Listing_Q4_2025.txt","data/documents/pdf/Performance_MSBI_Private_Markets_Asset_Listing_Q4_2025.pdf","data/documents/images/Performance_MSBI_Private_Markets_Asset_Listing_Q4_2025","data/documents/grids/Performance_MSBI_Private_Markets_Asset_Listing_Q4_2025.csv"
"4","SRC501","Regulatory_SEC_Form_N_PORT_Monthly_Portfolio_Holdings.pdf","19","Schedule_Inv","Regulatory","06-statements-and-economics","CORE","RATIFIED_HEADER_OVERRIDE","SOURCE_LEDGER_ADJUDICATION_SUPERSEDES_STALE_TXT_HEADER","US Securities and Exchange Commission","f953af594dee58522fc3e9fe92b9872aedce5e59a2a954281aa4fbb6d3ded2cf","data/documents/txt/Regulatory_SEC_Form_N_PORT_Monthly_Portfolio_Holdings.txt","data/documents/pdf/Regulatory_SEC_Form_N_PORT_Monthly_Portfolio_Holdings.pdf","data/documents/images/Regulatory_SEC_Form_N_PORT_Monthly_Portfolio_Holdings","data/documents/grids/Regulatory_SEC_Form_N_PORT_Monthly_Portfolio_Holdings.csv"
"5","SRC477","Schedule_Inv_New_Mexico_SIC_Investment_Holdings_Sep2022.pdf","69","Schedule_Inv","Schedule_Inv","06-statements-and-economics","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","New Mexico State Investment Council","cc3a938b8fc8d7a76b8f184f7e1b7459acb086cac2dd50fab707eefde805c85a","data/documents/txt/Schedule_Inv_New_Mexico_SIC_Investment_Holdings_Sep2022.txt","data/documents/pdf/Schedule_Inv_New_Mexico_SIC_Investment_Holdings_Sep2022.pdf","data/documents/images/Schedule_Inv_New_Mexico_SIC_Investment_Holdings_Sep2022","data/documents/grids/Schedule_Inv_New_Mexico_SIC_Investment_Holdings_Sep2022.csv"
"6","SRC359","Schedule_Inv_UTIMCO_PUF_Detail_Schedules_FY2021.pdf","108","Schedule_Inv","Schedule_Inv","06-statements-and-economics","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","University of Texas/Texas A&M Investment Management Company (UTIMCO)","3f1fdc8dcfebd1c41ea440515ba942c76c6462f917776aea468f3d5c82318d23","data/documents/txt/Schedule_Inv_UTIMCO_PUF_Detail_Schedules_FY2021.txt","data/documents/pdf/Schedule_Inv_UTIMCO_PUF_Detail_Schedules_FY2021.pdf","data/documents/images/Schedule_Inv_UTIMCO_PUF_Detail_Schedules_FY2021","data/documents/grids/Schedule_Inv_UTIMCO_PUF_Detail_Schedules_FY2021.csv"
"7","SRC358","Schedule_Inv_UTIMCO_PUF_Detail_Schedules_FY2022.pdf","110","Schedule_Inv","Schedule_Inv","06-statements-and-economics","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","University of Texas/Texas A&M Investment Management Company (UTIMCO)","c2f86fa5587a35b4d2168face4010ec0368921e9c2886513981c72d5a85d954d","data/documents/txt/Schedule_Inv_UTIMCO_PUF_Detail_Schedules_FY2022.txt","data/documents/pdf/Schedule_Inv_UTIMCO_PUF_Detail_Schedules_FY2022.pdf","data/documents/images/Schedule_Inv_UTIMCO_PUF_Detail_Schedules_FY2022","data/documents/grids/Schedule_Inv_UTIMCO_PUF_Detail_Schedules_FY2022.csv"
"8","SRC214","Schedule_Inv_Wisconsin_SWIB_Schedule_Of_Investments_CY2024.pdf","345","Schedule_Inv","Schedule_Inv","06-statements-and-economics","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","State of Wisconsin Investment Board (SWIB)","ba972b20e84e52e75a7229d40a6191233878372ab006bfdd1e0bbf8de1416a7c","data/documents/txt/Schedule_Inv_Wisconsin_SWIB_Schedule_Of_Investments_CY2024.txt","data/documents/pdf/Schedule_Inv_Wisconsin_SWIB_Schedule_Of_Investments_CY2024.pdf","data/documents/images/Schedule_Inv_Wisconsin_SWIB_Schedule_Of_Investments_CY2024","data/documents/grids/Schedule_Inv_Wisconsin_SWIB_Schedule_Of_Investments_CY2024.csv"
"9","SRC215","Schedule_Inv_Wisconsin_SWIB_Schedule_Of_Investments_CY2023.pdf","350","Schedule_Inv","Schedule_Inv","06-statements-and-economics","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","State of Wisconsin Investment Board (SWIB)","d58a5443230b6e60f16ec1284879cd4fce5ec7cddc3a1c78d0717d411547d263","data/documents/txt/Schedule_Inv_Wisconsin_SWIB_Schedule_Of_Investments_CY2023.txt","data/documents/pdf/Schedule_Inv_Wisconsin_SWIB_Schedule_Of_Investments_CY2023.pdf","data/documents/images/Schedule_Inv_Wisconsin_SWIB_Schedule_Of_Investments_CY2023","data/documents/grids/Schedule_Inv_Wisconsin_SWIB_Schedule_Of_Investments_CY2023.csv"
"10","SRC028","Fee_Report_PSERS_Aon_Base_Management_Fees_FY2017.pdf","1","Fee_Report","Fee_Report","06-statements-and-economics","CORE","MATCH","SOURCE_LEDGER_MATCHES_TXT_HEADER","Aon Hewitt Investment Consulting, Inc. (for PSERS)","91068b29d6128f34c2cb9f612208cc934849cc65200842ad7c017de0b59d0eb5","data/documents/txt/Fee_Report_PSERS_Aon_Base_Management_Fees_FY2017.txt","data/documents/pdf/Fee_Report_PSERS_Aon_Base_Management_Fees_FY2017.pdf","data/documents/images/Fee_Report_PSERS_Aon_Base_Management_Fees_FY2017","data/documents/grids/Fee_Report_PSERS_Aon_Base_Management_Fees_FY2017.csv"
