candidate_id,expansion_document_id,package_id,title,folder,priority,download_status,admission_status,admission_reason,proposed_doc_type,report_subtype,canonical_doc_type_if_admitted,dispatch_scope_if_admitted,license_note,source_format,native_file_ext,filename,native_path,source_url,resolved_url,bytes,native_sha256,magic_ok,page_count,has_text_layer,char_count_sample,n_tables_detected,max_table_cols,has_landscape_page,merge_size_ok,type_in_live_enum,canonical_merge_blocked,file_id
EXP-001,EXPDOC-001,PKG-LAZARD-SECONDARY-MARKET,Lazard Interim 2026 Secondary Market Report,market-reports,P0,EXISTS,ADMITTED,admitted as SRC613,Secondary_Pricing,Market_Report,Secondary_Pricing,UNSCHEDULED,freely_published,pdf,pdf,lazard-interim-2026-secondary-market-report.pdf,Expansion/Data/source-documents/market-reports/lazard-interim-2026-secondary-market-report.pdf,https://www.lazard.com/media/mbcj4xsi/lazard-interim-2026-secondary-market-report.pdf,https://www.lazard.com/media/mbcj4xsi/lazard-interim-2026-secondary-market-report.pdf,1482187,db7a709a2686a65d34254ea8d8d19c97ef60916d5cf2e6d88ae2b7cb9c7a0e75,TRUE,22,TRUE,6059,8,8,TRUE,TRUE,TRUE,FALSE,SRC613
EXP-002,EXPDOC-002,PKG-LAZARD-SECONDARY-MARKET,Lazard 2025 Secondary Market Report,market-reports,P0,EXISTS,ADMITTED,admitted as SRC614,Secondary_Pricing,Market_Report,Secondary_Pricing,UNSCHEDULED,freely_published,pdf,pdf,lazard-2025-secondary-market-report.pdf,Expansion/Data/source-documents/market-reports/lazard-2025-secondary-market-report.pdf,https://www.lazard.com/media/gjzjxh1x/lazard-2025-secondary-market-report_vff.pdf,https://www.lazard.com/media/gjzjxh1x/lazard-2025-secondary-market-report_vff.pdf,1404968,bce0a9989ffbe69192a0d8421c10f0ca89b637e05a3321af1cdb48f02df42ad6,TRUE,23,TRUE,5815,12,6,TRUE,TRUE,TRUE,FALSE,SRC614
EXP-003,EXPDOC-003,PKG-LAZARD-SECONDARY-MARKET,Lazard 2024 Secondary Market Report,market-reports,P0,EXISTS,ADMITTED,admitted as SRC615,Secondary_Pricing,Market_Report,Secondary_Pricing,UNSCHEDULED,freely_published,pdf,pdf,lazard-2024-secondary-market-report.pdf,Expansion/Data/source-documents/market-reports/lazard-2024-secondary-market-report.pdf,https://www.lazard.com/media/drch42gk/lazard-2024-secondary-market-report.pdf,https://www.lazard.com/media/drch42gk/lazard-2024-secondary-market-report.pdf,1310882,9efabdc0825450ec09aae2d502e2f3cff3d58ea344fa380f3975a968940a828a,TRUE,25,TRUE,10073,36,8,TRUE,TRUE,TRUE,FALSE,SRC615
EXP-004,EXPDOC-004,PKG-LAZARD-SECONDARY-MARKET,Lazard Interim 2024 Secondary Market Report,market-reports,P1,EXISTS,ADMITTED,admitted as SRC616,Secondary_Pricing,Market_Report,Secondary_Pricing,UNSCHEDULED,freely_published,pdf,pdf,lazard-interim-2024-secondary-market-report.pdf,Expansion/Data/source-documents/market-reports/lazard-interim-2024-secondary-market-report.pdf,https://www.lazard.com/media/oehdl3as/lazard-interim-2024-secondary-market-report.pdf,https://www.lazard.com/media/oehdl3as/lazard-interim-2024-secondary-market-report.pdf,1475185,ef4d3e2f406ec3bfaf4b3130bb6fcaa504e46c7ed824e4a99ecd273d286400fe,TRUE,24,TRUE,7132,19,16,TRUE,TRUE,TRUE,FALSE,SRC616
EXP-005,EXPDOC-005,PKG-EVERCORE-SECONDARY-MARKET,Evercore PCA 2025 Secondary Market Report,market-reports,P0,EXISTS,ADMITTED,admitted as SRC617,Secondary_Pricing,Market_Report,Secondary_Pricing,UNSCHEDULED,freely_published,pdf,pdf,evercore-pca-2025-secondary-market-report.pdf,Expansion/Data/source-documents/market-reports/evercore-pca-2025-secondary-market-report.pdf,https://www.evercore.com/wp-content/uploads/2026/02/Evercore-PCA-2025-Secondary-Market-Report.pdf,https://www.evercore.com/wp-content/uploads/2026/02/Evercore-PCA-2025-Secondary-Market-Report.pdf,3790671,3ff5d6b5b415bfafee938f4872fb01523c8a42bd6ae1e3aeb42be4691355b8ab,TRUE,19,TRUE,8142,37,5,TRUE,TRUE,TRUE,FALSE,SRC617
EXP-006,EXPDOC-006,PKG-JEFFERIES-SECONDARY-MARKET,Jefferies 2025 Global Secondary Market Review,market-reports,P0,EXISTS,HOLD,native is not PDF; merge and page pipeline require a canonical PDF,Secondary_Pricing,Market_Report,,UNSCHEDULED,freely_published,html,html,jefferies-2025-global-secondary-market-review.html,Expansion/Data/source-documents/market-reports/jefferies-2025-global-secondary-market-review.html,https://www.jefferies.com/insights/leadership-spotlight/2025-global-secondary-market-review-another-record-breaking-year/,https://www.jefferies.com/insights/leadership-spotlight/2025-global-secondary-market-review-another-record-breaking-year/,278914,d0a9f3dfcfe25b8c834b743f75769bae42f44dba46a5e261f6a13ddf6b4de831,TRUE,,,,,,,TRUE,TRUE,TRUE,
EXP-007,EXPDOC-007,PKG-ILPA-CONTINUATION,ILPA Continuation Funds Considerations for LPs and GPs,ilpa,P0,DOWNLOADED,ADMITTED,admitted as SRC618,Continuation_Fund,Continuation_Disclosure,Continuation_Fund,UNSCHEDULED,freely_published,pdf,pdf,ilpa-continuation-funds-considerations.pdf,Expansion/Data/source-documents/ilpa/ilpa-continuation-funds-considerations.pdf,https://ilpa.org/wp-content/uploads/2023/05/Continuation-Funds-Considerations-for-Limited-Partners-and-General-Partners.pdf,https://ilpa.org/wp-content/uploads/2023/05/Continuation-Funds-Considerations-for-Limited-Partners-and-General-Partners.pdf,352709,30323290c269464e5fa0530cd39017f16d3a0f0e13677d4ec94b1baad9392ca8,TRUE,14,TRUE,14062,1,1,FALSE,TRUE,TRUE,FALSE,SRC618
EXP-008,EXPDOC-008,PKG-ILPA-CONTINUATION,ILPA Continuation Fund Disclosure Mock Multi-Asset,ilpa,P0,DOWNLOADED,ADMITTED,admitted as SRC619,Continuation_Fund,Continuation_Disclosure,Continuation_Fund,REFERENCE,model_template,pdf,pdf,ilpa-continuation-disclosure-mock-multi-asset.pdf,Expansion/Data/source-documents/ilpa/ilpa-continuation-disclosure-mock-multi-asset.pdf,https://ilpa.org/wp-content/uploads/2026/04/ILPA-Continuation-Fund-Disclosure-Template_Coller-Response_Multi-Asset.pdf,https://ilpa.org/wp-content/uploads/2026/04/ILPA-Continuation-Fund-Disclosure-Template_Coller-Response_Multi-Asset.pdf,247399,2c42e4abfa9a38c4933f0fbcc58d8826c4acd09a24b44eb6356343a6a2e8fadd,TRUE,9,TRUE,19309,6,4,FALSE,TRUE,TRUE,FALSE,SRC619
EXP-009,EXPDOC-009,PKG-ILPA-CONTINUATION,ILPA Continuation Fund Disclosure Mock Single-Asset,ilpa,P0,DOWNLOADED,ADMITTED,admitted as SRC620,Continuation_Fund,Continuation_Disclosure,Continuation_Fund,REFERENCE,model_template,pdf,pdf,ilpa-continuation-disclosure-mock-single-asset.pdf,Expansion/Data/source-documents/ilpa/ilpa-continuation-disclosure-mock-single-asset.pdf,https://ilpa.org/wp-content/uploads/2026/04/ILPA-Continuation-Fund-Disclosure-Template_Coller-Response_Single-Asset.pdf,https://ilpa.org/wp-content/uploads/2026/04/ILPA-Continuation-Fund-Disclosure-Template_Coller-Response_Single-Asset.pdf,244532,6a5e476483771b26a1204504cffcdb05071689b1346938e26ac1d6c859c5c0ec,TRUE,8,TRUE,20036,6,4,FALSE,TRUE,TRUE,FALSE,SRC620
EXP-010,EXPDOC-010,PKG-ILPA-CCD,ILPA Capital Call and Distribution Template Definitions,ilpa,P0,DOWNLOADED,ADMITTED,admitted as SRC621,Cash_Flow_Notice,Capital_Call_Detail,Cash_Flow_Notice,REFERENCE,model_template,pdf,pdf,ilpa-capital-call-distribution-definitions.pdf,Expansion/Data/source-documents/ilpa/ilpa-capital-call-distribution-definitions.pdf,https://ilpa.org/wp-content/uploads/2025/09/Capital-Call-Template-Definitions.pdf,https://ilpa.org/wp-content/uploads/2025/09/Capital-Call-Template-Definitions.pdf,199120,9da23fec7688ec73589000b9d1fc9dda325d4d28d89691ba10b90efb69c2fb3d,TRUE,7,TRUE,10010,,,FALSE,TRUE,TRUE,FALSE,SRC621
