"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC265","4","1","Total Net Returns as of December","2","239","","20251"
"SRC265","4","2","Class S No Sales Load","1","172","","0.11%"
"SRC265","4","2","Class S No Sales Load","2","239","","0.11%"
"SRC265","4","2","Class S No Sales Load","3","308","","-3.01%"
"SRC265","4","2","Class S No Sales Load","4","376","","4.63%"
"SRC265","4","2","Class S No Sales Load","5","444","","5.24%"
"SRC265","4","3","Class S With Sales Load","1","172","","-3.28%"
"SRC265","4","3","Class S With Sales Load","2","239","","-3.28%"
"SRC265","4","3","Class S With Sales Load","3","308","","-4.11%"
"SRC265","4","3","Class S With Sales Load","4","376","","3.91%"
"SRC265","4","3","Class S With Sales Load","5","444","","4.64%"
"SRC265","4","4","Class D No Sales Load","1","172","","0.68%"
"SRC265","4","4","Class D No Sales Load","2","239","","0.68%"
"SRC265","4","4","Class D No Sales Load","3","308","","-1.77%"
"SRC265","4","4","Class D No Sales Load","5","444","","-1.64%"
"SRC265","4","5","Class D With Sales Load","1","172","","-0.81%"
"SRC265","4","5","Class D With Sales Load","2","239","","-0.81%"
"SRC265","4","5","Class D With Sales Load","3","308","","-2.26%"
"SRC265","4","5","Class D With Sales Load","5","444","","-2.05%"
"SRC265","4","6","Class T No Sales Load","1","172","","0.38%"
"SRC265","4","7","Class T With Sales Load","1","172","","-3.01%"
"SRC265","4","8","Class I","1","172","","1.00%"
"SRC265","4","8","Class I","2","239","","1.00%"
"SRC265","4","8","Class I","3","308","","-2.11%"
"SRC265","4","8","Class I","4","376","","5.44%"
"SRC265","4","8","Class I","5","444","","6.26%"
"SRC265","4","8","Class I","6","512","","6.88%"
