"file_id","filename","pages","gridded_pages","value_cells","named_columns","total_columns","text_layer","note"
"SRC001","PPM_Fundsmith_Equity_Fund.pdf","47","5","23","6","11","native",""
"SRC002","PPM_Worcester_Fund_LLC.pdf","85","3","31","8","11","native",""
"SRC003","LPA_ILPA_Model_Whole_of_Fund.pdf","75","2","15","2","6","native",""
"SRC004","LPA_SCP_Private_Equity_Partners_II_Public_FOIA.pdf","62","10","263","16","20","native",""
"SRC005","Subscription_ILPA_Model_Subscription_Agreement.pdf","25","0","0","0","0","native","no numeric tables detected"
"SRC006","Subscription_Hedge_Fund_Template.pdf","18","3","8","4","6","native",""
"SRC007","Side_Letter_MEABF_Sample.pdf","13","0","0","0","0","native","no numeric tables detected"
"SRC008","Side_Letter_Fiducient_Private_Fund_Sample.pdf","8","0","0","0","0","native","no numeric tables detected"
"SRC011","PCAP_Invest_Europe_Individual_Capital_Account_Statement.pdf","3","3","118","11","20","native",""
"SRC013","PPM_RockStep_Hometown_America_Fund_I.pdf","69","4","51","9","19","native",""
"SRC014","PPM_Blackcommerce_LLC_SEC_EDGAR.pdf","112","22","1201","61","118","native",""
"SRC017","Quarterly_Report_Hamilton_Lane_PSERS_4Q17_Public_FOIA.pdf","41","30","2484","113","189","native",""
"SRC024","Capital_Call_Morgan_Lewis_Deskbook_Sample_Notice.pdf","6","0","0","0","0","native","no numeric tables detected"
"SRC026","Financials_KPMG_PE_Illustrative_2025.pdf","51","17","295","20","47","native",""
"SRC028","Fee_Report_PSERS_Aon_Base_Management_Fees_FY2017.pdf","1","1","91","6","6","native",""
"SRC029","Performance_PSERS_Direct_Alpha_Buyout_Funds_2017.pdf","5","2","106","8","11","native",""
"SRC034","Financials_Versa_Capital_Fund_II_LP_PSERS_FOIA.pdf","14","0","0","0","0","ocr","no text layer to grid; read the page images"
"SRC035","Performance_Oregon_Growth_Account_VC_Program_Q4_2021.pdf","3","3","551","24","25","native",""
"SRC036","Performance_Ohio_Capital_Fund_Annual_Report_2022.pdf","32","11","384","30","50","native",""
"SRC037","Financials_Utah_Fund_of_Funds_LLC_FY2021.pdf","38","19","288","20","60","native",""
"SRC038","Performance_MassVentures_Annual_Report_FY2015.pdf","17","4","39","10","11","native",""
"SRC039","Financials_Connecticut_Innovations_FY2021.pdf","44","23","609","74","133","native",""
"SRC040","Financials_TEDCO_Maryland_Annual_Report_FY2021.pdf","17","7","211","11","19","native",""
"SRC041","Schedule_Inv_FS_KKR_Capital_Corp_ARS_FY2025.pdf","208","110","8212","234","583","mixed",""
"SRC042","Schedule_Inv_Blackstone_Secured_Lending_Fund_ARS_FY2025.pdf","318","136","7477","402","568","native",""
"SRC043","Schedule_Inv_Blackstone_Private_Credit_Fund_ARS_FY2025.pdf","522","309","21330","922","1342","native",""
"SRC044","Schedule_Inv_Sixth_Street_Specialty_Lending_ARS_FY2025.pdf","151","76","4596","155","375","native",""
"SRC045","Schedule_Inv_MidCap_Financial_Investment_Corp_ARS_FY2025.pdf","262","153","7874","404","738","native",""
"SRC046","Schedule_Inv_Apollo_Debt_Solutions_BDC_ARS_FY2025.pdf","220","143","7531","449","605","native",""
"SRC047","Schedule_Inv_BlackRock_TCP_Capital_Corp_ARS_FY2025.pdf","172","92","6617","286","534","native",""
"SRC048","Schedule_Inv_AB_Private_Credit_Investors_Corp_ARS_FY2025.pdf","181","111","7098","368","588","native",""
"SRC049","Schedule_Inv_Franklin_BSP_Capital_Corp_ARS_FY2025.pdf","195","120","7814","311","543","native",""
"SRC050","Schedule_Inv_Monroe_Capital_Corp_ARS_FY2023.pdf","194","114","6333","167","517","native",""
"SRC051","NAV_Statement_SREIT_NAV_Supplement_May2025.pdf","54","26","3186","107","166","mixed",""
"SRC052","NAV_Statement_BREIT_Prospectus_With_Supplements.pdf","501","125","6014","204","553","native",""
"SRC053","Performance_SREIT_Stockholder_Update_Apr2026.pdf","5","3","16","2","16","native",""
"SRC054","Performance_SREIT_Fact_Sheet_Aug2025.pdf","6","4","87","0","27","native",""
"SRC055","Quarterly_Report_JLLIPT_10Q_3Q2025.pdf","59","40","2481","71","213","native",""
"SRC056","Performance_JLLIPT_Quarterly_Update_3Q23.pdf","4","2","34","5","13","native",""
"SRC058","Quarterly_Report_Oregon_PERS_OPERF_Real_Estate_Q4_2024.pdf","3","3","873","16","16","native",""
"SRC059","Performance_LACERS_Real_Estate_Portfolio_Q4_2021.pdf","43","23","3331","168","207","native",""
"SRC060","Performance_Oregon_PERS_Alternatives_Portfolio_Q3_2022.pdf","2","2","525","14","14","native",""
"SRC061","Reporting_NJ_Division_of_Investment_Reporting_Package_Apr2026.pdf","24","18","2989","97","134","native",""
"SRC063","Performance_CalPERS_Real_Assets_Partnership_Report_Jun2023.pdf","2","2","220","10","10","native",""
"SRC064","Performance_PSERS_Private_Markets_Combined_Portfolio_Report_Q3_2025.pdf","35","31","2979","74","220","native",""
"SRC065","Performance_MSBI_Private_Markets_Asset_Listing_Q4_2025.pdf","16","12","3194","96","132","native",""
"SRC066","Performance_HVPE_Annual_Report.pdf","116","62","1918","80","352","native",""
"SRC067","Performance_Pantheon_International_Annual_Report.pdf","190","65","1102","101","281","native",""
"SRC068","Performance_San_Jose_Federated_Private_Markets_Q2_2017.pdf","47","11","387","42","58","native",""
"SRC069","Performance_Landmark_Real_Estate_Fund_IX_Secondaries.pdf","25","7","142","21","38","native",""
