"file_id","source_page","row_index","source_row_label","column_index","column_x","source_column_label","value_raw"
"SRC287","5","1","We determined materiality for the Company to be £13.32m (2024: £12.59m), which","1","340","","1%"
"SRC287","5","1","We determined materiality for the Company to be £13.32m (2024: £12.59m), which","2","383","","1%)"
"SRC287","5","2","OPINIONS ON OTHER MATTERS PRESCRIBED BY THE COMPANIES ACT","1","340","","2006"
"SRC287","5","3","We have nothing to report in respect of the following matters in relation to which the","2","383","","2006"
"SRC287","8","1","Income, gains and losses on investments 2,10","2","243","Revenue return","1,060"
"SRC287","8","1","Income, gains and losses on investments 2,10","3","282","Capital return","134,156"
"SRC287","8","1","Income, gains and losses on investments 2,10","4","329","Total","135,216"
"SRC287","8","1","Income, gains and losses on investments 2,10","5","378","Revenue return","2,365"
"SRC287","8","1","Income, gains and losses on investments 2,10","6","421","Capital return","39,369"
"SRC287","8","1","Income, gains and losses on investments 2,10","7","466","Total","41,734"
"SRC287","8","2","Deposit interest","1","214","","2"
"SRC287","8","2","Deposit interest","2","243","Revenue return","48"
"SRC287","8","2","Deposit interest","4","329","Total","48"
"SRC287","8","2","Deposit interest","5","378","Revenue return","405"
"SRC287","8","2","Deposit interest","7","466","Total","405"
"SRC287","8","3","Other income","1","214","","2"
"SRC287","8","3","Other income","2","243","Revenue return","5"
"SRC287","8","3","Other income","4","329","Total","5"
"SRC287","8","3","Other income","5","378","Revenue return","104"
"SRC287","8","3","Other income","7","466","Total","104"
"SRC287","8","4","Foreign exchange gains and losses","3","282","Capital return","(729)"
"SRC287","8","4","Foreign exchange gains and losses","4","329","Total","(729)"
"SRC287","8","4","Foreign exchange gains and losses","6","421","Capital return","1,193"
"SRC287","8","4","Foreign exchange gains and losses","7","466","Total","1,193"
"SRC287","8","5","Investment management charges","1","214","","3"
"SRC287","8","5","Investment management charges","2","243","Revenue return","(1,618)"
"SRC287","8","5","Investment management charges","3","282","Capital return","(14,558)"
"SRC287","8","5","Investment management charges","4","329","Total","(16,175)"
"SRC287","8","5","Investment management charges","5","378","Revenue return","(1,615)"
"SRC287","8","5","Investment management charges","6","421","Capital return","(14,533)"
"SRC287","8","5","Investment management charges","7","466","Total","(16,148)"
"SRC287","8","6","Other expenses including finance costs","1","214","","4"
"SRC287","8","6","Other expenses including finance costs","2","243","Revenue return","(2,439)"
"SRC287","8","6","Other expenses including finance costs","3","282","Capital return","(8,417)"
"SRC287","8","6","Other expenses including finance costs","4","329","Total","(10,856)"
"SRC287","8","6","Other expenses including finance costs","5","378","Revenue return","(2,520)"
"SRC287","8","6","Other expenses including finance costs","6","421","Capital return","(7,402)"
"SRC287","8","6","Other expenses including finance costs","7","466","Total","(9,922)"
"SRC287","8","7","Profit/(loss) before tax","2","243","Revenue return","(2,943)"
"SRC287","8","7","Profit/(loss) before tax","3","282","Capital return","110,453"
"SRC287","8","7","Profit/(loss) before tax","4","329","Total","107,510"
"SRC287","8","7","Profit/(loss) before tax","5","378","Revenue return","(1,261)"
"SRC287","8","7","Profit/(loss) before tax","6","421","Capital return","18,627"
"SRC287","8","7","Profit/(loss) before tax","7","466","Total","17,366"
"SRC287","8","8","Taxation","1","214","","6"
"SRC287","8","9","Profit/(loss) for the period","2","243","Revenue return","(2,943)"
"SRC287","8","9","Profit/(loss) for the period","3","282","Capital return","110,453"
"SRC287","8","9","Profit/(loss) for the period","4","329","Total","107,510"
"SRC287","8","9","Profit/(loss) for the period","5","378","Revenue return","(1,261)"
"SRC287","8","9","Profit/(loss) for the period","6","421","Capital return","18,627"
"SRC287","8","9","Profit/(loss) for the period","7","466","Total","17,366"
"SRC287","8","10","Equity shareholders","2","243","Revenue return","(2,943)"
"SRC287","8","10","Equity shareholders","3","282","Capital return","110,453"
"SRC287","8","10","Equity shareholders","4","329","Total","107,510"
"SRC287","8","10","Equity shareholders","5","378","Revenue return","(1,261)"
"SRC287","8","10","Equity shareholders","6","421","Capital return","18,627"
"SRC287","8","10","Equity shareholders","7","466","Total","17,366"
"SRC287","8","11","Basic and diluted earnings per share","1","214","","7"
"SRC287","8","12","62 ICG ENTERPRISE TRUST PLC ANNUAL REPORT AND","2","243","Revenue return","2025"
"SRC287","9","1","Investments held at fair value 9,10,17","2","439","31 January 2025","1,469,549"
"SRC287","9","1","Investments held at fair value 9,10,17","3","486","31 January 2024","1,296,382"
"SRC287","9","2","Cash and cash equivalents","1","409","","11"
"SRC287","9","2","Cash and cash equivalents","2","439","31 January 2025","3,927"
"SRC287","9","2","Cash and cash equivalents","3","486","31 January 2024","9,722"
"SRC287","9","3","Prepayments and receivables","1","409","","12"
"SRC287","9","3","Prepayments and receivables","2","439","31 January 2025","2,018"
"SRC287","9","3","Prepayments and receivables","3","486","31 January 2024","2,258"
"SRC287","9","4","Borrowings","2","439","31 January 2025","(131,931)"
"SRC287","9","4","Borrowings","3","486","31 January 2024","(20,000)"
"SRC287","9","5","Payables","1","409","","13"
"SRC287","9","5","Payables","2","439","31 January 2025","(11,171)"
"SRC287","9","5","Payables","3","486","31 January 2024","(5,139)"
"SRC287","9","6","Net current assets / (liabilities)","2","439","31 January 2025","(137,157)"
"SRC287","9","6","Net current assets / (liabilities)","3","486","31 January 2024","(13,159)"
"SRC287","9","7","Total assets less current liabilities","2","439","31 January 2025","1,332,392"
"SRC287","9","7","Total assets less current liabilities","3","486","31 January 2024","1,283,223"
"SRC287","9","8","Share capital","1","409","","14"
"SRC287","9","8","Share capital","2","439","31 January 2025","7,292"
"SRC287","9","8","Share capital","3","486","31 January 2024","7,292"
"SRC287","9","9","Capital redemption reserve","2","439","31 January 2025","2,112"
"SRC287","9","9","Capital redemption reserve","3","486","31 January 2024","2,112"
"SRC287","9","10","Share premium","2","439","31 January 2025","12,936"
"SRC287","9","10","Share premium","3","486","31 January 2024","12,936"
"SRC287","9","11","Capital reserve","2","439","31 January 2025","1,315,727"
"SRC287","9","11","Capital reserve","3","486","31 January 2024","1,279,751"
"SRC287","9","12","Revenue reserve","2","439","31 January 2025","(5,675)"
"SRC287","9","12","Revenue reserve","3","486","31 January 2024","(2,733)"
"SRC287","9","13","Total equity","2","439","31 January 2025","1,332,392"
"SRC287","9","13","Total equity","3","486","31 January 2024","1,283,223"
"SRC287","9","14","Net Asset Value per Share (basic and diluted)","1","409","","15"
"SRC287","10","1","Sale of portfolio investments","1","422","31 January 2025","19,966"
"SRC287","10","1","Sale of portfolio investments","2","465","31 January 2024","40,611"
"SRC287","10","2","Purchase of portfolio investments","1","422","31 January 2025","(34,144)"
"SRC287","10","2","Purchase of portfolio investments","2","465","31 January 2024","(25,162)"
"SRC287","10","3","Cash flow to subsidiaries' investments","1","422","31 January 2025","(152,174)"
"SRC287","10","3","Cash flow to subsidiaries' investments","2","465","31 January 2024","(116,084)"
"SRC287","10","4","Cash flow from subsidiaries' investments","1","422","31 January 2025","125,769"
"SRC287","10","4","Cash flow from subsidiaries' investments","2","465","31 January 2024","195,300"
"SRC287","10","5","Interest income received from portfolio investments","1","422","31 January 2025","494"
