"source_page","final_page_status","final_expected_observation_count","reason"
"1","REFERENCE_ONLY","0","A cover: it prints 'New Mexico Educational Retirement Board' over 'December 31, 2020 Quarterly Investment Report' and no figure in any allowed category, so the zero count both lanes reached is right and the label is REFERENCE_ONLY rather than A's NO_ELIGIBLE_DATA."
"2","ELIGIBLE_DATA_EXTRACTED","27","Counted from page-002.png, plus the single document_context row both lanes filed here: the Portfolio Snapshot table prints seven eligible rows across three columns (12/31/2019, 12/31/2020, Change) for Capital Committed, Unfunded Commitment, Paid-In Capital, Capital Distributed, Market Value, Total Value Multiple and Total Portfolio Net IRR, which is 21; the Client Overview panel adds the $14.2 billion plan size and the four Target / Current allocation figures. A missed the Change column entirely, B missed the plan size. Active and inactive partnership counts, GP relationship counts and the average age of commitments map to no category this document type allows."
"3","ELIGIBLE_DATA_EXTRACTED","2","Counted from page-003.png: the Year-to-Date Commitments table is transposed, and of its eight attribute rows only Commitment carries a value in an allowed category, giving one cell per fund. Target Fund Size is the general partner's fundraising target for the vehicle, not the investor's commitment, and maps to no allowed category, so B's two rows for it are rejected. Closing Date, General Partner, Existing Manager, Strategy, Geographic Focus and Risk Category carry no eligible value; the last three are recorded as dimensions on the commitment rows instead."
"4","ELIGIBLE_DATA_EXTRACTED","72","Counted from page-004.png: the three (Net) rows carry seventeen printed cells each and the four benchmark and Difference rows six each, which is 75, less the three Initial CF Date cells, which map to no category this family allows. B's 72 is exactly that. A's 57 skipped the Commitment, the two percent columns, the Unfunded and the PIC columns, which is the fifteen-cell gap and the reason its family was wrong."
"5","ELIGIBLE_DATA_EXTRACTED","10","Counted from page-005.png: the Net Total Portfolio Performance table prints five time horizons against two series, Portfolio IRR and Portfolio Net TWR. The bar chart above restates the same ten figures and is not counted twice. Both lanes reached ten."
"6","ELIGIBLE_DATA_EXTRACTED","31","Counted from page-006.png: the five Total Portfolio Diversification pie charts print 6, 8, 2, 2 and 13 slices. Both lanes reached the same 31 and disagreed only on how to name the section and the metric."
"7","ELIGIBLE_DATA_EXTRACTED","36","Counted from page-007.png: the five Real Estate Diversification pie charts print 11, 7, 3, 2 and 13 slices. Both lanes reached 36."
"8","ELIGIBLE_DATA_EXTRACTED","30","Counted from page-008.png: the four Natural Resources Diversification pie charts print 9, 9, 2 and 10 slices. Both lanes reached 30."
"9","ELIGIBLE_DATA_EXTRACTED","558","Counted from page-009.png by column: Commitment 43, Unfunded 40, Market Value 42, Qtr 49, 1 Year 46, 3 Year 39, 5 Year 30, 7 Year 22, Since Inception 45, SI IRR 39, TVPI 40, RVPI 40, DPI 40, PIC 43. Dashes and N/A produce nothing, and the Initial CF Date column maps to no category this family allows. A's 432 is the same page with Commitment, Unfunded and PIC left unread, which is the 126-cell gap that follows from typing the table performance_observation."
"10","ELIGIBLE_DATA_EXTRACTED","412","Counted from page-010.png the same way: the Natural Resources half of the Investment Detail schedule, with the same fourteen eligible columns and the same treatment of dashes, N/A and the Initial CF Date column. A's 327 again omits Commitment, Unfunded and PIC."
"11","ELIGIBLE_DATA_EXTRACTED","194","Counted from page-011.png: 24 Natural Resources funds and their total, then 44 Real Estate funds and the Active, Realized and Total subtotals, then the Portfolio Total, across three columns, less the dash and N/A cells. That is A's 194 exactly. B's 191 is the same page with the Edgewood Partners, L.P. row unread, and that row is printed with all three of its values."
"12","ELIGIBLE_DATA_EXTRACTED","365","Counted from page-012.png: 52 quarters against eight printed value columns, plus a Total row carrying three. The table is fund_economics_observation because it prints contributed, distributed and remaining value with the multiples and IRR beside them, so Contributions 53, Distributions 52, Reported Market Value 52, TVPI 52, IRR 52, DPI 52 and RVPI 52 are all eligible. Both lanes took only the three cash-flow columns and left 260 printed cells unread; those are recovered here, checked against the printed arithmetic that DPI plus RVPI equals TVPI on every row. Net Cash Flows has no category in this family and a category is never forced onto the wrong family, so its 53 cells produce no rows."
"13","REFERENCE_ONLY","0","Glossary of Terms: definitions of Capital Committed, Capital Contributed, Capital Distributed, Cost Basis and the rest. Reference content, so the zero count both lanes reached is right and A's NO_ELIGIBLE_DATA label is not."
"14","REFERENCE_ONLY","0","Important Disclosures: confidentiality, forward-looking-statement and performance-methodology boilerplate. Reference content, zero rows."
"15","REFERENCE_ONLY","0","Disclosures Continued: the consent language between the general partner of Conservation Forestry Fund IV and NMERB. Reference content, zero rows."
"16","REFERENCE_ONLY","0","Hamilton Lane Global Offices: an office and contact directory. Reference content, zero rows."
