"source_page","a_page_status","b_page_status","a_layout_checked","b_layout_checked","a_expected_observation_count","b_expected_observation_count","a_source_structures","b_source_structures","a_relevant_record_families","b_relevant_record_families","difference_fields"
"1","NO_ELIGIBLE_DATA","NO_ELIGIBLE_DATA","YES","YES","0","0","","","","","DETERMINISTIC_SAMPLE"
"2","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","20","26","Client Overview | Portfolio Snapshot | Since Inception IRR Performance | Target / Current Allocation","DOCUMENT | Portfolio Snapshot | Target / Current Allocation","allocation_observation | document_context | fund_economics_observation | performance_observation","allocation_observation | document_context | fund_economics_observation","expected_observation_count|source_structures|relevant_record_families"
"3","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","2","4","Commitment Activity","Year-to-Date Commitments","fund_economics_observation","fund_economics_observation","expected_observation_count|source_structures"
"4","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","57","72","Total Portfolio Performance","Total Portfolio Performance","performance_observation","fund_economics_observation","expected_observation_count|relevant_record_families"
"5","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","10","10","New Mexico Educational Retirement Board Portfolio IRR / Portfolio Net TWR","Net Total Portfolio Performance","performance_observation","performance_observation","source_structures"
"7","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","36","36","Asset Class by Exposed Market Value (Real Estate) | Geography by Exposed Market Value (Real Estate) | Risk Category by Total Exposure (Real Estate) | US v Non-US by Exposed Market Value (Real Estate) | Vintage Year by Commitment Amount (Real Estate)","Asset Class by Exposed Market Value | Geography by Exposed Market Value | Risk Category by Total Exposure | US v Non-US by Exposed Market Value | Vintage Year by Commitment Amount","allocation_observation","allocation_observation","source_structures"
"8","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","30","30","Asset Class by Exposed Market Value (Natural Resources) | Geography by Exposed Market Value (Natural Resources) | US v Non-US by Exposed Market Value (Natural Resources) | Vintage Year by Commitment Amount (Natural Resources)","Asset Class by Exposed Market Value | Geography by Exposed Market Value | US v Non-US by Exposed Market Value | Vintage Year by Commitment Amount","allocation_observation","allocation_observation","source_structures"
"9","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","432","558","Investment Detail","Investment Detail","performance_observation","fund_economics_observation","expected_observation_count|relevant_record_families"
"10","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","327","412","Investment Detail","Investment Detail","performance_observation","fund_economics_observation","expected_observation_count|relevant_record_families"
"11","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","194","191","Management Fees","Management Fees","fund_economics_observation","fund_economics_observation","expected_observation_count"
"12","ELIGIBLE_DATA_EXTRACTED","ELIGIBLE_DATA_EXTRACTED","YES","YES","155","158","Summary of Portfolio Cash Flows – Private Investments","Summary of Portfolio Cash Flows – Private Investments","cash_flow_observation","cash_flow_observation","expected_observation_count"
"13","NO_ELIGIBLE_DATA","REFERENCE_ONLY","YES","YES","0","0","","Glossary of Terms","","","page_status|source_structures"
"14","NO_ELIGIBLE_DATA","REFERENCE_ONLY","YES","YES","0","0","","Important Disclosures","","","page_status|source_structures"
"15","NO_ELIGIBLE_DATA","REFERENCE_ONLY","YES","YES","0","0","","Hamilton Lane Global Offices","","","page_status|source_structures"
"16","NO_ELIGIBLE_DATA","REFERENCE_ONLY","YES","YES","0","0","","Closing / blank page","","","page_status|source_structures"
