"source_page","final_page_status","final_expected_observation_count","reason"
"1","ELIGIBLE_DATA_EXTRACTED","2","Counted off page-001.png: the cover states which fund the subscription materials are for, which is one subscription_fund record, and the document_context row is filed here because its page is 1 by contract. A read the page as empty and B counted the same two; the count is confirmed against the image, not taken from B."
"2","REFERENCE_ONLY","0","Instructions A to F for completing the materials, ending in a wire-transfer block whose account details are absent. Boilerplate throughout, and the fund and general partner are named only inside explanatory prose, which the document-wide prose ruling does not record. Both lanes labelled every zero-count page NO_ELIGIBLE_DATA. The zeros are right on the pages that carry none of this document type's categories, but the label is not: a page of instructions, definitions, a divider, a contact or wire directory, or an inapplicable unfilled annex is REFERENCE_ONLY, and NO_ELIGIBLE_DATA is kept for pages that print substantive completed content falling outside the allowed categories."
"3","ELIGIBLE_DATA_EXTRACTED","1","Counted off page-003.png: under 'F. Delivery of Documents' the page names the fund's general partner as the delivery recipient, which is one general_partner record. The street address and named contact on the same block are excluded personal and operational detail and produce nothing. A missed the page."
"4","REFERENCE_ONLY","0","Section cover for the Confidential Purchaser Questionnaire with explanatory text about the questionnaire's purpose, and no completed field. Both lanes labelled every zero-count page NO_ELIGIBLE_DATA. The zeros are right on the pages that carry none of this document type's categories, but the label is not: a page of instructions, definitions, a divider, a contact or wire directory, or an inapplicable unfilled annex is REFERENCE_ONLY, and NO_ELIGIBLE_DATA is kept for pages that print substantive completed content falling outside the allowed categories."
"5","ELIGIBLE_DATA_EXTRACTED","1","Counted off page-005.png: question 1.2, 'Amount of Subscription Requested', is completed with '$25 million', which is one requested_commitment record. Question 1.1 names the purchaser, but no whitelisted category covers a subscriber name, so it is carried on the document_context row instead and produces no record here; the 1.3 checkboxes on this page are all unmarked. The completed answers on this form sit in an annotation layer the TXT does not carry, so the page reads as an empty form in text and only the image shows what was filled in. Both lanes worked from the TXT here and reported zero."
"6","ELIGIBLE_DATA_EXTRACTED","1","Counted off page-006.png: the 1.3 form-of-ownership list continues here and category (k), governmental plan, is marked X, which is one subscriber_entity_type record. The benefit plan investor percentage and date of determination above it are blank, and the ERISA Title I 'Yes' beneath it is a representation, so neither produces a record. The completed answers on this form sit in an annotation layer the TXT does not carry, so the page reads as an empty form in text and only the image shows what was filled in. Both lanes worked from the TXT here and reported zero."
"7","REFERENCE_ONLY","0","A blank request for additional contact persons, their titles and contact details. A contact directory, and personal identifiers are excluded for this document type. Both lanes labelled every zero-count page NO_ELIGIBLE_DATA. The zeros are right on the pages that carry none of this document type's categories, but the label is not: a page of instructions, definitions, a divider, a contact or wire directory, or an inapplicable unfilled annex is REFERENCE_ONLY, and NO_ELIGIBLE_DATA is kept for pages that print substantive completed content falling outside the allowed categories."
"8","REFERENCE_ONLY","0","The purchaser's correspondence chart: names, titles and contact routes. A contact directory of excluded personal detail. Both lanes labelled every zero-count page NO_ELIGIBLE_DATA. The zeros are right on the pages that carry none of this document type's categories, but the label is not: a page of instructions, definitions, a divider, a contact or wire directory, or an inapplicable unfilled annex is REFERENCE_ONLY, and NO_ELIGIBLE_DATA is kept for pages that print substantive completed content falling outside the allowed categories."
"9","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: tax questions, being the purchaser's tax year end, state of residence and taxpayer identification. None of the seven subscription_reference categories covers a tax attribute of the subscriber, and taxpayer identifiers are excluded outright. Zero records, as both lanes found."
"10","REFERENCE_ONLY","0","A wire instructions page. Bank and wire data is excluded outright for this document type. Both lanes labelled every zero-count page NO_ELIGIBLE_DATA. The zeros are right on the pages that carry none of this document type's categories, but the label is not: a page of instructions, definitions, a divider, a contact or wire directory, or an inapplicable unfilled annex is REFERENCE_ONLY, and NO_ELIGIBLE_DATA is kept for pages that print substantive completed content falling outside the allowed categories."
"11","REFERENCE_ONLY","0","Section 2, the additional questions for purchasers who are individuals. This purchaser is an entity and the form directs it to skip the section, which is left unfilled. Both lanes labelled every zero-count page NO_ELIGIBLE_DATA. The zeros are right on the pages that carry none of this document type's categories, but the label is not: a page of instructions, definitions, a divider, a contact or wire directory, or an inapplicable unfilled annex is REFERENCE_ONLY, and NO_ELIGIBLE_DATA is kept for pages that print substantive completed content falling outside the allowed categories."
"12","ELIGIBLE_DATA_EXTRACTED","1","Counted off page-012.png: question 3.1, 'Type of entity (please select only one)', is answered on the 'Other entity' line as 'state government pension plan', which is one subscriber_entity_type record. The date formed, the count of beneficiaries and the purchaser's own jurisdiction of formation are also completed but fall outside the seven categories, and the 3.2 answers are representations, so none of them produces a record. The completed answers on this form sit in an annotation layer the TXT does not carry, so the page reads as an empty form in text and only the image shows what was filled in. Both lanes worked from the TXT here and reported zero."
"13","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: completed accredited-investor and qualified-purchaser questions. The dollar thresholds printed here belong to the qualification tests themselves, and qualification questionnaires and representations are excluded for this document type; none of the seven subscription_reference categories covers them. Zero records, as both lanes found."
"14","NO_ELIGIBLE_DATA","0","NO_ELIGIBLE_REASON: completed accredited-investor and qualified-purchaser questions. The dollar thresholds printed here belong to the qualification tests themselves, and qualification questionnaires and representations are excluded for this document type; none of the seven subscription_reference categories covers them. Zero records, as both lanes found."
